,BTC,ETH,XRP,XEM,ETC,LTC,DASH,XMR,DGB,XLM,ZEC,DOGE,BAT,NEO,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.239291709958086,0,0,0.273068705302124,0.0527471633226648,0.107218824357197,0.0689733551433676,0,-0.154419072611071,0.0127303223555427,0.0088975560230442,0,-0.119618621307737,0,0,0
ETH,0,0,-0.11095944906195,0.130194944180047,0.444228180069414,-0.143289943708604,0.085050545160346,2.16840434497101e-19,0.100589696686904,0.141849502237576,0.202726586396803,0.0774195158568747,0.104893734165418,-0.167708536904853,0,0,0,0,0.31880800728857
XRP,0,-0.489615681353934,0,-0.0732448742492651,-0.0912358828900792,0,0.182234612756182,-0.0797364732519273,0.0479814355070343,0.71848299434052,0.29736508154428,0,0.16446364594643,-0.0165145805555937,0,0,0,0,0
XEM,0.481187240137107,0.012974193977582,0.274909098905249,0,-0.126022926704471,0.0916885574114617,0,0,-0.12416771927511,6.93889390390723e-18,0.026310859565994,0.435874930482693,0,0.0613454114255018,0,0,0,0,0
ETC,0,0.0412336410541731,-0.304428433620283,-0.272772404478868,0,0.0153265087585018,0.325000827282478,0,-0.164253486345008,0.0415781120746043,-0.142857281217441,0,0.154787261574318,0.556508683675705,0,0,0,0,-0.145004949092435
LTC,0,0.0705560672519108,0,0.329323677562213,0,0,0,0.479137164617107,0.103388900332457,-0.305916427056986,-0.155439487022164,0,0.128106236024093,0.325379961354115,0,0,0,0,0.302649311941607
DASH,0.980354056567468,0.575739137860813,0.701272934315457,0.305587746865356,0.285809001901132,-0.294803657631556,0,0.392613704158306,0,-0.808199940427549,-0.112003795461679,0.00154041268296951,-0.0318492509720723,0,0,-0.413707859946022,0,0,-0.114582765686525
XMR,0,0,-0.472604759693687,0,-0.231954156491027,0.931733683928709,0.523174324465703,0,-0.0205503187102879,0.486863942836742,0.173506205788532,0,0,-0.263252710521596,0,0,0,0,-0.209172402172451
DGB,-1.99832979485437,0.539119108105272,0.719647846073817,-0.955999219498271,-0.305377932825481,2.03864685243231,1.48735683758886,-1.24525041880937,0,0.0860429161390084,-0.320060090135145,0.885819677496004,0,-0.587651603873911,0,0,0,0,-2.69006670710823
XLM,0.320488187571275,0,0.624016998362964,0,0.0976563723418871,0,0,0.267035761381456,-0.00869020824846822,0,-0.318655625184865,0.247845457652818,0.0729389255124434,-3.46944695195361e-18,0,0,0,0,0
ZEC,0,0.236011468141582,0,0,0,0.396962950523039,0,0.152691050481045,-0.0288631857659872,0,0,0,0,0,0,0,0,0,0
DOGE,0,0,0,0.343988312229648,0,0,0,0,0.26165730043695,0,0.147529831720984,0,0.0346701691220872,0.169743316977236,0,0,0,0,0
BAT,0,0.326318610158138,0.485382606517286,0,0.0815479803343281,0.153795422479316,0,-0.035233158637768,-0.241978539167604,-0.376830646435756,-0.196300591403677,0.226998162555156,0,-0.120560127814144,0,0,0,0,-0.75810101183532
NEO,0,0,0,0.529096951214902,1.17951705478676,0.775450487414879,0.466692641184355,-0.45659160767054,-0.314776854507497,0.132167095223217,0,-0.359509969566917,-0.0928064453213568,0,0,0,0,0,0
BV010082.Index,0.00602893083143188,-0.00576136799363807,0,0,0.0104626938879191,0,0,0,0.00111654735058979,-0.00146877101505961,-0.00249852078289619,0,0.00161609139559524,0.0235620459775169,0,0,0,0,-0.0386591481373208
CVIX.Index,0,0.0890595336217436,0,-0.00773293097597781,0,0.0916152368993712,-0.121416247701793,-0.00750840966627211,-0.00939869201061311,-0.019431848535084,0.0317751980030532,-0.0110307702608254,-0.00847203113690277,0.0115897247730645,0,0,0,0,0.148064231591155
DXY.Curncy,0.0164672341253716,0.0150759288514781,0,0.0063029224612856,0.0079881891613307,0,-0.00475804594366122,0,-0.00930365220903608,-0.00452277033878091,-0.00719911223715711,0.0003806824415986,-0.00056510571467919,-0.00221873320798952,0,0,0,0,0.00118687582007894
SPX.Index,0,-0.00247643824524051,0,0.00264573825607227,0,0,0,0.00398972565786734,0.00497185720863601,-0.00614884657380799,0,0,0.00136170548971924,0.000749635780585591,0,0,0,0,-0.0208117310664432
VIX.Index,-0.271066242601207,0.0890576427771593,0.244634295957617,0,0.106592807350467,0.516917772135746,0.397913531582373,-0.40472749411159,-0.276092812247335,0,-0.103246215898463,0.171679075992191,0.000981401280572676,-0.299741840508658,0,0,0,0,0
