,BTC,ETH,BCH,XRP,LTC,DASH,XEM,XMR,MIOTA,ETC,NEO,ZEC,EOS,XLM,BAT,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.40647297779631,0,0,0,0.0281938728078658,0.0972787180845953,-0.0125639390163338,0,0,0,0,0.0708508128174079,0.0450628422077877,0.115684625535292,0,0,0,0,0
ETH,0.647121789126412,0,0,0,0,0,0.0249651427620886,0.0818742591127241,0.181765709595065,0.035048954193556,0.0715095851533744,0,0,0,0.0227107972500124,0,0,0,0,0.0427822633915932
BCH,0,0,0,0.201769370491667,0,0.0542308783451341,0.324401066638154,0,0.151196838957445,0.336872028448606,0.339243040553179,0,-0.177346424747306,0,-0.31378184397201,0,0.661046151875031,0,0,0
XRP,0,0,0,0,-0.145169994067161,-0.107418960444195,0.249535473474395,0.139817390025961,1.0842021724855e-19,0,0.0339020326938498,-0.0957880419022965,-0.0106231051356832,0.453772318823758,0.0471930640697072,0,0,0,0,0.175692095240915
LTC,0,0,0.170353330140963,0,0,0,0.0880675474929637,0,-0.0461617416327047,0.558952456800752,0,0,-0.00461319301623492,0.149433250476975,0.125022505355448,0,0,0,0,0
DASH,0.688912594350838,0,0.164384939840281,0,-0.230565620006962,0,0,0.0435667698644849,0,0,-0.0600127186472946,0.559456660526485,0.0399755887350186,-3.46944695195361e-18,0,0,0,0,0,-0.312558445698299
XEM,1.51924708281092,0,0.478808526484156,0.161651217147555,0,0,0,0.177093021038461,-0.0670101294048212,-0.306288328559958,-0.160708492882669,-0.153403605406655,0,0,0.0117300699987821,0,-0.123988162181659,0,0,-0.196401419089056
XMR,0,0,0.414255218804899,0.327850473667175,0,0,0,0,0.096916684360537,0,0.0475068317605634,0.1541918559481,0,-1.38777878078145e-17,0,0,0,0,0,-0.305701429292081
MIOTA,0,0,0.431713344670002,-0.335571326142223,0,-0.0138017723561527,0,0.225728937469875,0,-0.120435371116807,-0.384594138990111,0.21905814801308,0.939260832663094,0,0,0,-1.10348130205294,0,0,0.600183462044996
ETC,0,0,0,0.0443762578842322,0.776860210399821,0.180102596721953,0,0,-0.138518123381397,0,0,0,-0.150071131632889,0.247852731691897,0,0,0,0,0,0
NEO,0,0.37109092266157,1.39394001679594,0,0.0927145057354348,-0.66257321345209,-0.497376222521994,0.55372782264591,0,-0.273894294549983,0,0.440533841360499,0.114441574861958,-1.36019657063514,0.94163399220535,0,0,0,0,-0.545646701867843
ZEC,0,0,0,0,0,0.337427659821081,0,0,0,1.38777878078145e-17,0.0353500959308182,0,0,0.114434917159065,0.440931044599227,0,0,0,0,0
EOS,0,0,0,0.395262691283526,0,-0.239625400901457,-0.304458363421296,0,0.266884501865966,0,0.309433690043221,0.520274270425758,0,0,0.449472540636993,0,0,0,0,0
XLM,0,0,0,0.528291681100203,0,0,-0.0160583761039138,0,0.0666714337147026,0.289790930203565,-0.052628909689395,0.327393787336032,0,0,0,0,0,0,0,0
BAT,1.01222339485412,0,-0.418922052988784,0.0378722127916718,0.176762299844046,-0.423264394213426,0.539896490365291,0.234423260365641,-0.0778454419333207,2.77555756156289e-17,-0.224893556845503,0.29392816320054,0.277716767163753,0,0,0,0.495731419574843,0,0,0
BV010082.Index,0,0,-0.0741353145662369,0,0,0,0,-0.0264896747217146,0.026448280626042,-0.00408448933105458,0.0121227763306418,0.0286979735218749,0.0890382406195854,0,0.0139981195929442,0,0,0,0,-0.0963910091048906
CVIX.Index,0,0,0,0,8.67361737988404e-19,-0.0211449628438953,-0.00636040083884131,0,-0.0655908958847654,0,0.0109966690858979,0,-0.0476305633729022,0.143491809453333,0,0,0,0,0,0.0891337921236764
DXY.Curncy,0,0,0.00328750863853078,0.020496822027363,0.00176435991596105,-0.0185065952996541,0,-0.0191822784206493,0.0222296272482963,0,0.0130279241141982,0.00695103051139211,0,0,-0.0196988099614412,0,-0.00823660271308328,0,0,-0.0347806907678273
SPX.Index,0,0,0,0,0,-0.00418032534251342,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0360902911775776
VIX.Index,0,0.448981964023107,0.25608242811687,0.078907661610956,0,-0.164946631383154,0,-0.0260299054994359,0.0348752197472178,-0.150974118223101,-0.00586447857693019,0,-0.275494469684449,0,0,-1.33728304231404,0.1476474425051,0,0,0
