,BTC,ETH,XRP,BCH,LTC,EOS,ADA,XLM,MIOTA,NEO,XEM,XMR,DASH,TRX,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.382357635457234,-0.0815278524031198,0,0,0.129347093031295,-0.0531444239749194,-0.072414276009428,0,0.219534796842509,0.168614668962553,0,0,0,0,0,0,0.0678533810734531
ETH,0,0,-0.153470746039235,0.545537249288774,0.277482137373615,0.0353367479775868,0.371848383987991,0.00772882368923883,0.0383005018450503,0.234550188844707,-0.0992604035671842,0,0,0,-0.327005761116438,0,0,0,0,0
XRP,0,0,0,0.301641958365249,0,0.182663464695668,0.136826306272526,0.158263734381253,0,0.128727933546332,0,0,0.0381895980627839,-0.0274810202635998,0,0,0,0,0,0
BCH,0.307597655598503,0.622618291931175,0.223722000755423,0,0,0.00129553683319038,-0.182701610476064,0.0489641672751103,-0.133698179946514,0,0.232751418699364,0,0,0.0373021982300139,0,0,0,0,0,0
LTC,0,0.424719595448895,0.0789285312232366,0,0,0.00231513852576438,-0.092276883031776,0.102306376045375,-3.46944695195361e-18,0.166156215971714,0,-0.0125871011089292,0.294721629199963,-0.0422383805209327,0,0,-0.607943895804782,0,0,0
EOS,-0.949590527780792,0,0.422468007979362,0,0,0,-0.0409199707865356,-0.392813727018515,-0.0948754991719104,0,0,1.1688378310855,-0.33110138061056,0.132630818511969,0.555118792341064,0,0,0,0,0
ADA,0,0,0.54864932829849,-0.664674989903264,0.119329961298524,-0.0763842052728028,0,0.285970008540888,0.0908587168613942,0.130645763592312,0,0.0930335339633046,0,-0.079853772359129,0.516854481276993,-1.15251831701449,0,0,0,0.00115367373222063
XLM,2.06233654848408,-0.560448828974521,-0.424434027248151,-0.640413189658428,-0.108156319361514,0.121239866947151,0,0,-0.237334000343652,0.452935503240758,1.13397445933965,0.580459723808031,0.57358886106842,-0.201006128001998,-1.29753799226106,-1.38076487610897,0,0,3.87787582762906,0
MIOTA,0,0,0.548385864451705,0,-0.37064298562238,0,0.35559656683467,-0.169705091995383,0,0.0674992057783549,0.235887096609709,-0.0568624441052453,0.227370217577978,0.101736592827007,0,0,0,0,0,-0.0228607766894698
NEO,0,-0.119662911479097,0,0,0.0861960450130383,0,0.33216324041511,0,0,0,0,0,0,0.0409460771737889,0.655720504099873,0,0,0,0,0.142394992155688
XEM,-0.220637396000674,0.409261911345002,0,-1.38777878078145e-17,0,-0.112263100467149,-0.0853108760670859,0.526080449812777,0.0376023750109545,0.0820212407315094,0,-0.518519972085612,0,0.0721408854900004,0.811907713392726,0,0,0,0,-0.0175260536193319
XMR,0,0,0,0.205834294490109,0,0.0643013716594981,0,0,0.286230650520003,0,0.105848531615931,0,0,0.09291211827417,0,0,0,0,0,0
DASH,0.561097206862576,0,0.0289680251596285,0.191675297967034,0,0,0,0,0.230367402609857,0.0572966723234166,0.135103460730872,-0.170624205497395,0,-0.0507501370865782,0,0,0,0,0,0.156075017764994
TRX,0,0,0,0.360850900572368,0,-0.00858241891584856,-0.907451678552381,-0.185803313137157,0.989446284253569,0,-0.198973782004164,-0.652359793275571,1.67649659880967,0,0,-2.45621241910238,0,0,0,-0.457715606553354
ETC,0,0,0,0,0.019029915034899,0.161751172985734,0.395050359493761,0,0,0,0.184718536852781,0,0,0.0242575945814785,0,0,0,0,0,0
BV010082.Index,0.300180926865887,-0.0855171413828663,0.122204551835547,-0.153973998056973,-0.0456587670970694,0.0172711419150448,-0.176136057528054,-0.102949350868568,0.0671249789965498,0,0.0863425672602362,0,0.143558368475135,-0.0928687483498877,0,0,0.0450611773471128,0,0,-0.111503893999144
CVIX.Index,0,-0.22248199557779,0,-0.0568854075890247,-0.00253714535590288,0.0188709236917514,0.049382425216145,-0.201694661197282,-0.0380798890398123,0.132561762489609,0.19295043341755,0.371539996605854,0.360036770771879,-0.0795439465175392,-0.554880434923551,0,0,0,0,-0.11704915416375
DXY.Curncy,0,0,0,-0.0883291301223871,0.0145730504275848,-0.00546076409292754,0.0109210439464311,-0.0164463063626736,0,0.00507116033644083,0.0266513859385928,0,0.0365293540892622,0,0,0,0,0,0,0
SPX.Index,0,0,0.0638040549005683,0,0,0.0150085211042469,0.0293209941466912,0.0263540833434681,-0.0435038428020885,0,-0.0124015999135215,-0.0894509134435759,0,-0.0124419158236686,0,0,0,0,0,-0.116764250727533
VIX.Index,0,-0.165319736111384,0,-0.123121877092215,0,0.0203112764951223,0.0478755692692451,0,-0.624461140126933,0.400723819148846,-0.137609238399986,0.261249893853523,0.609397325350016,0,0,-0.411598945161466,0,0,-3.77099069122481,0
