,BTC,ETH,BCH,MIOTA,XRP,LTC,XEM,DASH,BTG,XMR,ADA,ETC,XLM,NEO,EOS,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.112105556588017,0,0,-0.0881545659642523,0,0,0,0,0,0,0,0,0,0,0,0,0
ETH,0,0,0.217744143314209,-0.0124602060330787,-0.147908931790793,-0.128896624035063,1.73472347597681e-18,0.17124716566367,-0.0110586875515245,0,-0.179235360602553,0.780916103500369,-0.116280042284684,-0.058557138705169,0.0742991387907459,0,0,0,0,0.0311327811392901
BCH,0,0,0,0,0.287522753299223,0,0.119708479016933,0,0.0993834315925299,0.0465758545601113,-0.0761808611673408,0,-1.73472347597681e-18,0,0,0,0,0,0,0
MIOTA,0.343717000672817,0,-0.124197938224023,0,0,0,0.254515475425576,-0.145784447161994,-0.0400232059012654,0,0.226283555566339,0,0.414723745763069,0,0,0,0,0,0,0
XRP,0.148493684328858,-0.0467618212139741,0.200595328061408,-0.0651180390394982,0,0.241687440526195,0.095996579322832,-0.0549690101818966,0.0860700349987175,0.247295244554882,0.197890128679288,0,0,0,-0.130117366009643,0,0,0,0,-0.114364069357905
LTC,0.054167975075269,0,0,0,0.168078517927551,0,0.215925204987409,0.157539801226898,0,0,-0.0313237945829466,0.154193707934938,-5.42101086242752e-20,0.0923467143170501,-0.0503058358110627,0,0,0,0,0
XEM,-0.370436727000216,0.0825006489096632,0,0.120295159003498,0,0.530601037398712,0,0.0903216271270991,0,0,0.0254762622951067,0.135257299384491,8.67361737988404e-19,0,0.0395034253554917,0,0,0,0,0
DASH,-0.0388636431614366,0,-0.0572208633646088,-0.119535228070407,0,0,0.0624421821999586,0,0,0.105623343649989,0.0358380961789704,0,0,0.388476294375825,-0.116760335388569,0,0,0,0,0
BTG,0,0,0.209599609248801,0.124671625400999,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0.308743728462392,0,0,0,0,0
XMR,-0.12428730156594,0,-0.132123630128601,0.0423532117062118,0.774071514815337,-0.431182842693911,-0.0653976334830571,0.35952888445501,0,0,-0.213544036975389,0.181658936405743,0.536817120263192,0.139333137387011,-0.253046333147669,0,0,0,0,-0.239456947696766
ADA,0,-0.422470125570536,-3.46944695195361e-18,0.11788998739458,0.803346126787162,-0.0148818694326444,-0.103833458179882,0.378482492155302,0,-0.324737137140464,0,0.716640465795278,0.0904591495187336,0,0.135081615042821,0,0,0,0,0
ETC,0.149487824959693,0.68121836992848,0,-0.0250931867160314,0,0.326568374724928,0.0442164925623245,-0.167002889003524,0.0373393869254977,0.216202942460131,0.314464872640297,0,0,0.00486521172730156,-0.0177793630408284,0,0,0,0,0.136009993768792
XLM,0,0,0.386364586276449,0.09214941201691,-1.06462892296815,1.03476134244852,-0.0992072087669456,0,-0.0319621124880656,0.915527233335999,0.381044556451247,0.0241451606799861,0,-0.455337435586947,0.225187365917252,0.955500337228028,0,0,0,-0.0341084603298918
NEO,0.259841269137365,0,0.542172943639118,0.366613266460586,-0.227878157630475,0.748592847520511,-0.201944196686,0.45986954275759,-0.26605898395279,0,0,0.317466912133754,-0.480275885973147,0,0.542359733047186,0,0,0,0,-0.0850238016054053
EOS,0,0,-0.0187586408745422,-0.157665214545907,0,0,0.140675703073463,0.174383065374546,0.0784978285989438,-0.29855515647047,-0.186482772439328,0,0.75369644824912,0,0,0,0,0,0,0.446826963144877
BV010082.Index,-0.0572953110336972,0,-0.0668647458337836,-0.00359834782760469,0,0,0.0129676001214689,0.0394152260441682,0.00180853449404068,0.0152382863257813,-0.0485587196138236,0.0011481140350101,0.102546438663566,0,-0.0537523485779452,0,0,0,0,0.0487863271725556
CVIX.Index,0.0230947077845976,-0.0835766849184618,0.0171420113960257,-0.00223365241096863,0,0,0.0216922315075954,8.67361737988404e-19,0,0.0290719205286341,-0.00874448075772152,0,0,0,0.0274728563516947,0,0,0,0,0.0850721676093169
DXY.Curncy,0.0131152585775566,0,-0.0211071224820795,0.00272517127431562,-0.0053542630073698,-0.0418000047928918,0.0166421673291396,0,0.00285735125020718,0,0,0,0.00405095249419021,0,-0.00823475613444193,0,0,0,0,0
SPX.Index,0,0,0,0,0,0,0.00429704094671479,0,0.00143900992852595,0,0.00298869384101554,0,-0.00722890966087983,0,-0.00385885365936506,0,0,0,0,0
VIX.Index,0.0582607089655665,0.22157140975259,0,0.204481388664212,0,0.0615587031911755,-0.108423914234486,0,0,-0.253054054469881,0.0904377247054354,0,-0.154592203865245,-0.199171449340763,0.11779626838892,0,0,0,0,0
