,BTC,ETH,XRP,BCH,LTC,NEO,ADA,XLM,EOS,MIOTA,DASH,XMR,XEM,ETC,TRX,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0.235394924196891,0,0.0124246199468362,0.503128133310855,0,0,0,0,0.226853099720929,-0.0384150161898094,0,-0.0304564395686498,-0.00132182450968148,0,0,0,0,0
ETH,0,0,0.0579939167183272,0.0961002856814407,0.0922602000350945,0,0,0.0475056863643513,0.0682637878380141,0.266842233714117,0,0,0.129198036877977,0,0.00174452230567847,0,0,0,0,0.0349733307994025
XRP,0.179418470513005,0.560769952005607,0,0,0.126308702331729,-0.0427711110670566,0.00894248621252652,0,0,0,0.0645954206483822,0.0465036080556196,0,0.0282523643374015,0.0290187592886082,0,0,0,0,0.0312210604030194
BCH,-0.149122254335229,1.1918776373885,0,0,0.0104126721938853,0.457641002446875,0,0,0.201181507570447,-0.414033033213022,0.515952618000463,0,-0.618372517876934,0,0,0,0,0,0,-0.0600221086502099
LTC,0.354904351139666,0,0.067433937786674,0.0742474276633626,0,0,0,0,0,0.0390684966658173,0,-0.0375271919717453,0,0.31029845118307,0,0,0,0,0,0
NEO,0.0611876726023025,0,0,0.0300620924770122,0.019776586432452,0,0,0.121131437043773,0,0.532630137308595,0.234247847225972,0,0,0.10861072841328,-0.219612191937696,-0.00359896773339354,0,0,0,0.0706384043709575
ADA,0.112657857979185,0,0.291233997357173,-0.0795066366833444,-0.0226301338996559,-0.180389216126495,0,0.381218846601004,0,0,0,0.14818794669287,0.0444282352342205,0,0.132724012322867,0,0,0,0,-0.0655022152188416
XLM,-0.0786581905706939,0,0.348343970313881,0,0,0.300046078301105,0,0,0,0.0105739935262138,0,0,0.633834078613589,0.0389423527371563,0,0,0,0,0,-0.125908114926718
EOS,0.0585764524551587,0.163807723220484,0,0.011741897599937,0.10793158800076,0,-0.00588723356897726,0,0,0,0,0.171687710744338,0.185918099473068,0.292217136653433,0,0,0,0,0,0
MIOTA,0,1.03438688347882,-0.0160265034951925,-0.0584327359230767,0,0.0513136331559082,0,0,0.16823828835964,0,0,0.0934599371997086,0.120849427232367,0.0630313450776707,0,0,-0.0543908272008579,0,0,-0.0713725408583265
DASH,0.0971469226837556,0,0.27232202230998,0.194708175323035,0,0,0,0,-0.0470356394510175,0,0,0.529811799764072,0,-0.0651403751673325,-0.000878286503333007,0,0.0875414371175521,0,0,0.0162332879686675
XMR,0.429286230087115,0,0,0,0.302890669008289,0,0,0,0,0,0.467255812352422,0,0,0.0401413147504343,0,0,0,0,0,-0.0134980124204522
XEM,0,0,0,-0.0878700215140722,0,0.34603807889246,0.338103831581502,0,0,0,0,0,0,-0.0526149749154673,0.316015471104011,0,0,0,0,0
ETC,0,0,0.42321666739891,0,0.0861179460004655,-0.0252582883245146,-1.73472347597681e-18,0.0726408299197921,0.91837619355808,0,0,0,-1.3803656128462,0,0.455886946814238,0,0,0,0,0.0821949942937412
TRX,0,0,0.470908776442163,0,-0.237660694173064,0,0.235640211113025,0,0.340865204524924,0.415436701333947,0,0,0.116631534898374,0,0,0,0,0,0,0
BV010082.Index,0,0,-0.0112209104009036,0.0937752396009184,0,-0.0847062532641789,-0.0303217677056702,-0.00553748134787632,0,-0.0407538545420869,0,0.126267107360207,0,-0.00447616372691541,0,0,0,0,0,-0.00553131642462714
CVIX.Index,0.0625061646439233,-0.167019894947492,-0.121585440370419,-0.0367067257434812,0.144260222455628,3.46944695195361e-18,0,0.0340274879878881,-0.344819391112547,0,0.266474333078087,-0.156966446098069,0,-0.0107401066939045,0.205177217663331,0,0,0,0,0.0223560816591368
DXY.Curncy,0,0,0.015579165471742,-0.00222122157586069,-0.0428961276549762,-0.0165406627640561,0.0117015010921261,0.000991233633425323,0,0,0.0448506793213702,8.67361737988404e-19,0.0290054564791331,-0.00125223698771109,-0.0359660553500757,0,-0.0345672243046131,0,0,0.0274318728175977
SPX.Index,0.0245698200474942,-0.343360356492832,0,0.0608381477475244,0.0711058214901491,0.114192413276645,0,0,-0.186338857716489,0,-0.0828334269901552,0.00824950253937371,0.253438195888396,0.0524307921027261,-0.0327147097679273,0,-0.0867580803542486,0,0,-0.087672409753485
VIX.Index,-0.0742376457260739,0,0,-0.0652714688908831,0,0.0758870838205277,-1.74916798824305,0,0,-1.44452855519384,0,0.632101130972615,1.06440440456105,0.486873015333328,0.642252586167095,-2.08119583186899,5.55111512312578e-17,0,-4.06628057701495,0
