,BTC,INNBCL,ETH,XRP,BCH,BSV,LTC,EOS,BNB,XTZ,TAGZ5,LINK,XLM,ADA,XMR,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.00314830782958853,1.73472347597681e-18,0,0,0,0,0,0.0594040603290956,0,-0.00430904374015202,0,0.0322259465117573,0.308303985112215,0.411870764185249,0,0,0,-0.035859993692542,-0.00591944755349475
INNBCL,0,0,55.5568185766844,0,0,-22.942999338262,67.4760296102768,-83.3351388334451,-12.1368796769822,0,1.13950301513978,-4.44089209850063e-16,25.2037271336324,-24.9914704695523,1.34248078481136,-59.5863975927506,-43.5216765364772,0,-34.3077436306397,-6.57426846996447
ETH,0,0.00124555259603465,0,0,0.327307128511744,0,0,0.610740943084004,0.137278728146733,0.0356160457140605,0.00453066292417975,0.00880543726709224,-0.09453591007602,1.38777878078145e-17,0,0,0.0367689391611533,0,0,-0.0208568456318005
XRP,0,0,0.0253258635741155,0,0,0.240567150466214,0,0,0.0565634228769428,0.0821430753023445,-0.011775102015257,0,0,0.162984301025974,0,0,0,0,0,0
BCH,0,0,0.307333851853759,0,0,0.158613976090104,0,0,0,0.261325232929207,0.0159217108752428,0,0.0515805297538983,0,0,0,0,0,0,0.0923510927828937
BSV,0,-0.0118565675055356,0,0,0.333192552985236,0,0,0,0.375886613670543,0.162862814609441,0,0,0.0892584727485616,0,1.73472347597681e-18,0,0.230952238155713,0,0,0.0679279497533873
LTC,0,0.00249058972507837,-0.292965689030379,0,0,0,0,0.497651294564632,0.217364403753986,0.224733197833967,0.0150171199862666,0.0835388404486162,0.0268400943482169,0,0.152677640652061,0,0.135730486145268,0,0.377459563852256,0.0753519962625151
EOS,0,-0.000683611838840256,0.389426447464217,0,0,0.0124892577206483,0.673024857991898,0,0,-0.201570193518568,0,0,0.102864161787074,0,0.155469177262043,0,-0.0913858536964938,0,-0.220243560831128,0.000108562355034814
BNB,0,-0.00494238034656123,0.306755388009131,0,0,0,0,0,0,0,0,0.16643339165061,0,0.439715411779655,0,0,0,0,0,0.125349220902025
XTZ,0,0.00201689625442397,0.14944790627355,0,0.275459965764395,0.176156459620902,0,0,0,0,0.00221142926751077,0.0157913132180921,0,0.518167222002508,0,0,0,0,0,0
TAGZ5,0,-0.0257612310314671,1.07926338212735,0,2.12027646570243,0,0,0,-4.98404477549423,1.47662721770256,0,0.090778220666017,0.888556549373869,0,0,0,0,0,0,0
LINK,0,-0.00836671081491075,0,0,0.83004552481693,0,0,0,0,0.138530782443083,-0.0423400936605899,0,0,0,0,0,0,0,0,0.0495976931284398
XLM,0,0.00441669654520913,0,0,0,0.304813075090011,0,0,0.00995817366241959,-0.18035424564456,4.33680868994202e-19,-0.0198970331916582,0,0.702662892281581,0,0,0,0,0,0
ADA,0,-0.00209789346365725,0.384869104863452,0,0,0,0.0553452562315335,0,0.0309020782593987,0.230435426933014,0,0,0.0346737910368835,0,0.086387008894119,0,0.0712819775360583,0,0,0.0631029033233416
XMR,0.13815583248293,-9.03352635093056e-05,0,0,0,0.189609491199547,0,0.380551597617646,6.93889390390723e-18,0.0688910543307542,-0.00338458684729739,-0.221913753967399,-0.12136231513101,0.330611256490361,0,0,-0.0499098220960001,0,-0.0731939666608766,0
BV010082.Index,0,-0.00193161747890693,0,0,-0.162633272595638,0,0.0975557403683648,-0.224470057527469,0.206113048501528,0.0639206749571199,0.0211331392250228,0.0307167616456389,0.106269622233223,0,-0.256285845260108,0,-0.0345962898245282,0,0,0.00770033469511373
CVIX.Index,0,-0.00874731325678913,0.00311847769833196,-0.428635485050436,0.228382711722423,-0.295122546326169,0.691344117014098,0,0,0,-0.0489866451917367,-0.0208789284514139,0,-0.0703481925700221,0,-0.23170533220557,0,0,-0.698488840495131,-0.188908198714179
DXY.Curncy,0,-0.000739793708014858,0,0,0,-0.00936953972650707,0,0,0.0105133182843253,0,0,-0.0174344061799008,0.0165613556972365,0,0,0,0.0547540159228693,0,0,0.0249876538403918
SPX.Index,0,-0.00629631863134676,0,0,-0.0610417363014075,-0.140778208972614,0,0,-0.0657440161973889,0.183822182284275,-0.0216417659693734,0,0.0682593112203571,0,0,0,-0.51630546399475,0,0,-0.155883697752172
VIX.Index,-1.06703851291483,-0.019763977507601,0,0,0,0,0.886778596007214,0.501365094045925,0,0.546331533005451,0.050351865143932,0.0181228150868896,0.30318065563484,0,-1.85649558556637,0,-0.873614022109602,0,-1.79102336080766,0
