,BTC,ETH,DASH,XRP,LTC,XMR,ETC,XEM,ZEC,DOGE,XLM,NEO,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.0357459471149701,0.190849477022633,0,0.831190947052398,-0.0470743401640362,-0.224343074618758,0.135790992064627,0.0897038432209168,0.249396182088671,-0.0316165018585436,0.0831062373602851,0,-0.160900320279036,0,0,0,-0.25749994770409
ETH,0,0,0.313012816533948,0,0,0.171812473729354,0,0.24027352926391,0,0,0,0,0.196610705905749,0,0,0,0,0
DASH,0,0,0,5.55111512312578e-17,0,0.302372832037146,0.597036404753344,-0.180789061345587,0.0554778615450527,0,0,0.940998572210218,0.353412381523014,1.89379607905956,-0.0381833545596228,0,0,0.318511868866081
XRP,0.1517860399569,0,0,0,0,-0.187178622930043,0.145080021026227,0.0825310849428618,-0.0264744068752652,0.661470332705419,0.00300128651704348,-0.262085146931594,0.0338356399692844,1.15144467235571,0,0,0,-0.358381537883888
LTC,0.299969812242215,0,-0.00836628830363152,0,0,0.0372535871848095,0,0.0131534010729396,-0.029187513994673,0.071156073203734,0,0,0,0,-0.0425126728986127,0,0,0
XMR,0,0.617046767349257,0,0,0,0,0,0.164420661879865,0,0,-0.372504489308292,-0.406923150832783,0,0,-0.505069046606932,0,0,0
ETC,0,0,0.285957136869208,1.73472347597681e-18,-0.370442062004347,-0.00387293769524847,0,0.0414474836164252,0,0.197252004854565,0.0142925301727405,0.0858882670067762,-0.0158272309057202,0,-0.180319722528066,0,0,-0.382186252565486
XEM,1.9238137652513,0,0,0.463336919372104,0,-0.0647695987359173,0,0,0.2314069194367,-1.26406928133458,0,-0.374132630839312,0.395498028167531,0.982012320039331,-0.743558277329661,0,0,0
ZEC,0,0.169358134512391,0.206498859163378,-0.218717242430268,0,-0.548036366496592,0.744160513525645,0.25768524215002,0,0.761966991740037,0,0,-0.0944999373797201,0,-0.0968479478727444,0,0,-0.673233147340535
DOGE,0.319298739353932,-0.198155412321708,-0.00713099637348524,0.57524070532341,0,0.0913261571344609,0,-0.134149868668587,0.246125080182346,0,0,0,0,0,-0.101620514635395,0,0,0.166841976420851
XLM,0,0.280842280359598,-0.0518477423201009,0.142258483993606,0,0,0,0.0841830592879218,-0.186894017812038,0,0,0,0.140856936859806,0,0,0,0,-0.432704700895068
NEO,0,-0.135979653412647,0,-0.446690716157061,0,0,1.03379706947305,0,0.259344449404467,0,0,0,-0.385624122399295,0,0,0,0,0
DGB,-1.13935964420628,0.287269015297837,0.218062896403985,0.942580812633045,0,0,0,0.17339816532589,0.224090519682106,0,-0.117000512227492,0,0,-2.19172809457217,0.941509415057086,0,0,-0.101228447088404
BV010082.Index,0,0.0669957618778523,-0.00924647689000818,0.428093672703587,0,0.0207880822719126,0.0886102223593273,0.0518507565981295,0.0894223626372226,-0.128078248582506,0.165977493967194,0.118781149581122,-0.152468829717527,0,0,1.01974456526015,0,0.0457001295194314
CVIX.Index,0.727158774882829,0,-0.00546186172548856,0.222954572649661,0,0.0829304080624564,0,-0.297786852635881,0.0400027070664311,-0.421549116189193,-0.0343925044870451,-0.275657943642939,0.102657477346215,1.73472347597681e-18,0,0,0,0.524514877208709
DXY.Curncy,0,0.0350548752513861,-0.00643563529258977,0.00221753745294049,0,0,0,-0.02741195539049,0,0,0.00732614910587373,-0.000548477992122394,0,0.135438884730909,0.0141511571768959,0,0,0
SPX.Index,0,0,-0.00562544383772734,-0.0498959783395065,0,0,-0.00748343791670503,0.0034397267351598,0,0,0,0,0.018706654870634,0,0,0,0,0
VIX.Index,0,0.290875208462379,0.299862493045376,-0.0561047330907868,0,-0.379677939863671,-0.551310626110324,0,0,0.116587141466422,0,0,0.170929249735834,0,0,0,0,0
