,BTC,ETH,BCH,XRP,LTC,MIOTA,XEM,DASH,NEO,ETC,XMR,ZEC,EOS,BNB,XLM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,-0.0812505246914671,0,0,0.238594167523024,-0.0782275240564385,0.133273450829257,-0.139751971755023,0,0,-0.140202539423925,0,0.0512129373854904,-0.22559648385111,0,0,0,0,0
ETH,0,0,0.0579152517086384,0.850988182649275,0,0.188210702702941,-0.0847013353473292,0,0.0408636446139629,0,-0.209257627928056,0.233059609597224,0,-0.0623216639531519,0,0,0,0,0,0
BCH,0,0.46352831668916,0,0.796936942748768,0,-0.124987116316467,1.00228279898397,0.0768115629477879,-0.375531166187663,0,0,0.973255377876996,0,0.171025324580507,-1.90391931241547,0,0,0,0,0
XRP,0,0.137453641827678,0.00938487335307591,0,0.15469024887733,0.0507203468882639,-0.0454758419966553,-0.300260353216123,-0.0577562393211078,0.623497645647436,0.390648782980476,0,0,0.0243059168165931,0,0,0,0,0,-0.0495590832476432
LTC,0,0,0,0,0,0,0,0,-0.0431975441644813,0,0.0271254415460559,0,0,0.0635464584011565,0.202366895398164,0,0,0,0,0.0692174940378103
MIOTA,1.28360085706441,0,-0.118035838000889,0,-1.35230348011284,0,0,0.425177296079698,-0.113089190978391,0,0.127166746542306,0,0,0.147938094117724,0,0,0,0,0,0.189005618742211
XEM,-0.210179820833942,0,0.0432774748397889,0,0,0,0,0.371715652791705,0.178119932891686,0,-0.0977548101806068,0.0206128159214401,0.152310298476698,-0.0652330974679312,0.253546291449469,0,0,0,0,0.159541339353058
DASH,0.0978210827285708,0,0.0569264479982422,0,0,0.12423606746131,-0.093366225589363,0,0,0,-0.0860548675289052,0.168349122161512,0.280583375830474,-0.0718610465775416,0,0,0,0,0,0
NEO,-0.857799420952813,2.07650530542951,-0.288729800026263,-2.81496635129802,2.78287570032407,-0.165755138786359,0.545930644104725,-0.880150498362712,0,0,0.835907656741864,0,1.28543895755134,-0.169562865654526,-1.61171274350416,0,2.49471451804356,0,0,-0.499503684066354
ETC,0.0224691318280031,0.217833910017734,0.000146656005072133,0.236906971364141,0.12411724913507,-0.0717835414927381,0,0.114340529267257,0.0156185006300846,0,0,0,0.0822312546180073,0.017091001813284,0.0395682578650279,0,0,0,0,0
XMR,0,0,0.0331010439284579,0,0,0.133021919654275,0,0,0.00456570209225457,0,0,0.239359414289912,0.0586186015600068,-0.0273728952020003,0,0,0,0,0,0.0446727415889908
ZEC,0,0.449602978632945,-0.00454186022027204,0,0,0.0380325660560379,0.0887493755189499,0.17998928298944,-0.0120309427357907,-0.043851238825014,0,0,0.0417651831949112,-0.0395452359267263,0,0,-0.847515163943115,0,0,0.0547684448205786
EOS,0.0960155620844921,-0.215122665022544,0.0892601996182877,0,0,0,-0.125412567181954,0.0549836977956899,0.176611785297179,0,0.00422194965163046,0.215075872674393,0,0.0640504604492785,0.626319188675588,0,0,0,0,-0.147821164760596
BNB,0.329307215738673,0,-6.93889390390723e-18,0,1.8697677606315,-0.0430911864545104,0,0,0.142044430784179,0,0,-0.0719142455498437,0,0,0,0,0,0,0,0.297118340231094
XLM,0,0.105777664303631,-0.0607479009420356,0.292483480524811,0,-0.140653636229829,0.075265231360718,-0.0145761907135547,-0.0604719662837409,0.697424688987741,0,0,0.304835460539091,-0.0527668012102621,0,0,0,0,0,0
BV010082.Index,0,0.131284464034859,-0.0155203120671857,0,-0.00561555797088715,0,0.0522301719579545,0.0884324324289454,-0.0123093564907084,0.0225233238283723,0.00813368808452229,-0.0966650332755723,0,-0.00634702907039379,-0.0297776550771731,0,-0.400101600895844,0,0,0.0129287936982571
CVIX.Index,0,0,0.0200306640129018,0,0,0.105903957515919,0.0363268341436738,0,0.0437969760659928,0,0.0254890397834618,-0.2053436630842,-0.131343913982928,0.0177023597131523,0.188642897964676,0,0,0,0,0.0727024026134229
DXY.Curncy,0.0238995584076141,0,-0.00506755985804884,-0.0128923690892439,0,-0.0135403021888707,0.0169780184641955,-0.00629688622622826,0.00161075526612757,-0.0155904365059051,0.010128951088156,1.0842021724855e-19,0,0.00236741207154551,0.00480087176483632,0,-0.0893761886195237,0,0,0.00449004938356221
SPX.Index,0.00173959674204099,0.0138160061310644,0,0,0,-5.42101086242752e-20,0.00505695611257952,-0.0153478165736406,0,0,-0.00177839163780245,-0.00923695873310418,0,0.00153151942601622,0,0,0,0,0,-0.054551850792233
VIX.Index,0,0,0.0644792231181954,0.245217282707845,0.212815553457236,0.0685661738442848,0.207484755290101,-0.0699442138868489,0,0,0.108068449456932,0,0,0.153133591461773,1.38777878078145e-17,0,1.47098948042186,0,0,0
