,BTC,ETH,XRP,BCH,EOS,LTC,XLM,ADA,MIOTA,TRX,NEO,DASH,XMR,BNB,XEM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.302381765196235,0,0,0.0186415769232692,0,0,-0.0501133380942879,0.0862328228692086,0.176475972133419,-0.143870087334669,0,0.042119379729126,0.075713814890692,0.170160314855412,0,0,0,0,0.0222927446043894
ETH,0,0,0,0,-0.0387040545353878,0,0,0.18946118828319,0.075226386340102,0.358015283252724,0,0.166728915939921,0.205161860610807,0,0,0,0,0,0,0.0197067324926128
XRP,0,0,0,0.393065209479777,0,0.344414145275399,0,0.0614533891676993,0.123161645725886,0,-0.0994792835743782,0,-0.199003650223604,-0.0407680092414207,0.208782230859832,0,0,0,0,0.0251832995590354
BCH,0,0,0.408509245485772,0,0.308984105583201,0,-0.247676619679606,0.260134903946448,0.0137624385807051,0,0,0.188087183994257,0.0874158113966882,0.0136774734647364,0,-0.221363019093298,0,0,0,-0.0838240503797137
EOS,0,0,0,-1.38777878078145e-17,0,0,0,-0.0802754894323598,6.93889390390723e-18,0.737829480696101,0,0,0,0.163785994059459,0.427486628956541,0,0,0,0,0
LTC,0,0,0.335602995383352,0,0,0,0,0.0356175581748157,0,0,0,0.328938717591884,0.045624945023766,0,0.22998510442909,0,0,0,0,-0.00813813787254841
XLM,-0.21409642136968,0.678464980995982,0,0,0,0,0,0.404821898036363,0.0774144720845845,0,0,0.012616174429391,-0.0982250137632261,0,-0.0247164019609984,-0.703923167198476,0.265881299689902,0,0,-0.305369584566443
ADA,0,0.141880956056077,-0.595127685812128,0.400399845066372,0.0306566180068163,0,0.518690076050293,0,0.163650733814227,0,0,0,0,0,0.0944504689104407,0,-0.324330463881132,0,0,0.0703547709966545
MIOTA,0,0,0,-0.334711309394295,-0.115142019121645,0,0.0772396868453841,1.23133733457036,0,0,0.370980561377273,0,0,0.0911105605499419,0,0,0.226064172121729,0,0,-0.128914096324004
TRX,1.22600521499376,0,0,-0.0681573780394605,0.295835460093334,1.15242343279564,0,-0.0173856191152677,-0.0856644979534371,0,0,0,0,-0.0560197204656412,-0.850622126498519,-0.116906168596365,0,0,0,0.0378413980351615
NEO,0,0,0,-0.0616906963425717,0.0708477208185511,0.985805368980068,0,0,0.107135200767906,0,0,0,0,0,0,0,0,0,0,0
DASH,0,0,0.0568915893785415,0.321662793833676,-0.0252444127290815,0.583991873163013,0.0569515501050759,-0.0950833185482894,0.0526588681900614,-0.223507133880021,0,0,0,0,0,0,0,0,0,-0.0593468626235356
XMR,0,0.513896866566682,0,0,0.260543602881868,0,0,0,0,0,0.147995972000146,0,0,-0.0295997430409576,0,0.0775224499994894,0,0,0,0.0841284593490731
BNB,2.06255543013444,0.297184600977659,0,0,-0.552068244395247,-1.8419307842889,0.0810234328739846,0.444723374117095,0,0,0,0,0,0,0.576906158369566,0,-1.73365388211896,0,0,-0.0988375028457289
XEM,0,0,0,0,0.144273157713545,0.367163404047629,0,-0.311191129666509,0,0,0.520337732276259,0.259072729217151,0,0.101809003287379,0,0,0,0,0,0.0309264835459804
BV010082.Index,0,0.166171210036564,0,0,0,0,0,0,0.0216744750747946,0,0.0867779299745952,-0.0690978881942644,0,-0.115798145698351,-0.150619147809417,0,-0.184704289293734,-0.919229225895561,0,-0.299278128850845
CVIX.Index,0,0,0,0,-0.0119139366234247,0,0,-0.0897845105476258,0.201403961016535,0,0,-0.113721527597279,-0.00903721823343199,-0.0780591300456158,0,-0.0581931536515282,0,0,0,0
DXY.Curncy,0,-0.131245326968408,0,0.0425069904559264,-0.00204002623855808,-0.0548517524075568,-0.000956753583878923,0.0620026299844135,-0.0267061896259123,0.0782575977549859,0,0.0407097065194229,-0.00685645047514181,-0.000932244897138589,-0.0302617798358008,-0.048930097438947,0,0,0,0
SPX.Index,0,0,0,0.00149697170453594,0,0,0,0.0498309168427215,-0.0226507729576146,0,0,-0.0321469173202768,0.01368872376044,0,-0.0183181968348634,0,0,0,0,-0.0544710811136216
VIX.Index,-2.77555756156289e-17,0.764942912220618,0.484743555959367,0,0,-0.413470593750261,-0.764614326970586,0.465534440487029,0.141779915678786,-0.248539030536347,0,-0.567738529088841,0,-0.154124096537472,0,-1.85609589008531,-0.251403116411355,-2.4588479332813,-4.18869991313628,0
