,BTC,ETH,XRP,LTC,BCH,EOS,BNB,BSV,XLM,ADA,TRX,XMR,DASH,ATOM,MIOTA,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0.152625740328614,0.116849949244911,0,0,0,0.0839749003019758,0,0.286289171179629,0.132834924978213,0,0,0,0,0,0,0
ETH,0,0,0.0900581159677044,-0.0345029882533995,0,0.151208334800792,0.0975519756087449,0.048666502583813,-0.113077359115783,0.295919364299442,0.041982938966002,0.314788838936078,-0.0424587229252636,0,0,-0.17765675107032,0.0646494584008347,0,0,-0.161017520264448
XRP,0,0.150691468525392,0,0.0673690842733888,0,0,0,0.0640020189077985,0.35377582539947,0,0.0350624498241333,0.263118449224194,0,0.0346090595380628,0,-0.0730945810584979,0,0,0,-0.128813676650085
LTC,0,0,-0.164021877728023,0,-0.449821650349189,0.301157896907937,0,-0.00689035541653026,0,0.42001236719083,-0.543417856831406,0.77885791967057,-0.0960866132306639,-0.131756526723354,0.499962718632181,-0.585370186890698,0.45437084038132,0,0,0
BCH,0.283521122328901,0,0.0274062644236465,0,0,0.258139315956913,0.040298914913846,0.0400629087916855,0,0.170304416047298,0.031494491597268,0,0,0,0,0,0,0,0,0
EOS,0.214442972323007,0.343215294984572,0,0,0.243417832899898,0,-0.233960491658763,-0.104681118152169,0,-0.167904332227426,0,0,0,-0.0607979888323257,0.858822485500552,0,-0.39320503653772,0,0,-0.156607189711357
BNB,-0.667014273977059,0,0,0.19660234316029,0.365011619385516,-0.0978714916521614,0,0.106314888658554,-0.333767167534981,0,0.362488278601092,0.550410851043921,0.334307082136283,0,0,0.550617446612386,1.19214950396579,0,0.782091606761433,0
BSV,0,0,0,-0.439415394783207,0,0.170455625360473,0,0,0,0,0.0259621649920228,0,0,-0.0609791218523588,1.00888765382645,0,0,0,0,0.459423312761497
XLM,0,0,0.324250184847597,0,0,0.0228613888611501,-0.0327349432858359,0.0110335058255181,0,0.396603954501119,0,0,0,0.0426600689640213,0,-0.0278926873028658,0,0,0,0
ADA,0,0.968127275335685,0,0.0895667915925011,-0.607497300931791,0,-0.037059320684353,0,0.910332335919672,0,0.124318286070756,-0.0994768067160133,0,-0.0445686837200516,0,0.314370728900552,0,0,0,0.338378654261964
TRX,0,0,0,-0.0511889508407623,0,0.341314584876206,0,0,0,0.655294290324716,0,0,0,0.091238816570132,0,0,0,0,0,0.140462343428812
XMR,0.424987796074988,0,0,0,0,0,0.228625936355667,-0.0200189243817306,0,0.123890612055125,0,0,0.0596412815005599,0.0905288939431482,0,0,0,0,0,0
DASH,0.467847699319433,0,0,0,0,0.0741797978607472,0.0978766886325543,0.0279906140659468,0,0.126380191784419,0,0,0,0.12525017448674,0,0.00218933160480798,0,0,0,0
ATOM,0.66969401981203,-0.863516652580137,0.236734367229424,-0.511317788555572,0.335047339131803,-0.185441969740618,8.67361737988404e-19,-9.41050257316136e-05,1.18208597054973,0,0,0,0.121006701233121,0,0,0.342244652872472,0,0,0,0
MIOTA,-0.460013899512158,0,-0.0792100674301795,0.327403441362992,0.626070957467543,0.303869672199318,0.011474030319439,0.107657152382325,0,0,0.0922853080025353,0,-2.16840434497101e-19,0.0700185250712356,0,0,0,0,0,0
BV010082.Index,0,0,0.118013948363356,-0.214990921239981,-0.865835321934772,0.0818981215470909,0.0561760695131009,0.0691789068728128,0,0,-0.232790972039981,0,0.979708275343942,0.0220301680429237,0.333306987233557,0,0,0,0,-0.252459215927763
CVIX.Index,-0.131123925367542,0,0.438682556764067,0.140520857758778,0.303164043485729,-0.259801288407405,-0.0471082730258234,-0.0166825444431373,-0.702560822256655,-0.0446829005172357,0.224336422802885,0,0,0.120966491969249,0,-0.0181543279559943,0,0,0,-0.120290135261812
DXY.Curncy,0,0.0430419682114616,0,-0.0101627494456312,0,0,0,0.0145477540222706,0,0,-0.0127907531602985,0,0,0.0244714270813547,-0.00511814256295172,0,0.0304878574598439,0,0,0
SPX.Index,0,0,0,0,0,0,0.0458230704793565,0,0,0.0421140187342494,-0.0396652894038726,-0.0682840384255532,0,-0.0082638659103269,0.00506195976189681,0,0,0,0,-0.0950997464868862
VIX.Index,0.724342680285421,-0.717552764003006,0,0.153952071005977,-0.0921063013944616,-0.502482582513028,0.290781926989564,0.17830379588399,0,0.287361061024794,0.175598778020975,0,0,0,0,-0.605808226282746,-1.13993963240975,0,-1.51688580986096,0
