,BTC,XRP,ETH,XLM,BCH,EOS,LTC,BSV,ADA,TRX,XMR,MIOTA,DASH,XEM,BNB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.231891686325198,-0.187833443983503,0.0828444969888157,0.188075190670028,0.0448491726879193,0.379119293006318,0.0693503345478641,0.142646459443503,0.0241540395694134,-0.192481443445162,0.0840464519407809,0,0,0,0,0,0.0378244864271018
XRP,0,0,0,0.334732055951467,0.0061838933534018,0.164378043153015,0,-0.0125470513087822,0.373537035762468,0.0574755262985655,-0.089952757424947,-0.298425764539366,-0.0828537411068204,0.287564868307995,0,0,0,0,-0.318782320684783,0
ETH,0,0.270064288486404,0,0.0377052401683444,0.0198809240849771,0.14192419653785,0.276630032924069,0,0,0,0.183112526372598,0,0.0272809114124159,0.0393293389977021,0.188807866792871,0,0.202002198674502,0,0,0
XLM,1.25120874547428,0.445998209167094,0,0,0.172102128374543,-0.0171787646948242,0.0853430324323539,-0.056807912680114,0,3.46944695195361e-18,-0.0999754104695574,0,-0.113113830065586,-0.0745695004314998,-0.339836634217985,-0.646965886852393,0.315074741033102,0,0,0
BCH,-2.31193469771599,0.0255738464662041,1.30692995756651,0.639894223996321,0,0,0,0.131154485011286,0.738276673678571,0,0,0.855934907958331,-1.3791363605798,0.184148969415605,0.397063184674759,0,0,0,0,0.0651624568490394
EOS,0,0.47535435356348,1.0903251938525,0.204007412928459,-0.19235887719936,0,0,-0.00172997269605803,0,-0.302632030107025,-0.330168037707792,0.156770792321387,0,-3.46944695195361e-18,-0.128784743606144,0,0,0,0,0.12418870374435
LTC,0,0,0.571264835985448,0.00960781910594117,0,0,0,-0.00266882225346119,0.12625832038473,0.092490993731852,0.145410203190152,0,0,-0.00692515152909521,0,0,0,0,0,0.0303809189076576
BSV,0,0,-0.7381073236226,-4.10337309611707,0,0,0,0,0,0,-2.44195864123489,5.09999397093036,3.56167056562204,-1.05724738533955,0,0,0,0,0,-2.13576940720876
ADA,0,0,0,0,0.166796627541618,0,0,-0.0248077134542971,0,0.349110764324794,0.202528388750731,0.109074405253273,0.16037048776544,0.0524827877404912,0,0,0,0,0,0
TRX,0.276555266618454,0,0,0,-0.105002723092423,0,0,0.0124114456171347,0.720538263919577,0,0,0.100652698075449,0,3.46944695195361e-18,0,0,0,0,0,0
XMR,0.644095191411206,0,0.16888188128887,0.00714036905629925,-0.103748290018697,0.031204985010232,0,-0.00288405443019871,0,0,0,0,0.363593077334165,0.0452396780697445,0,0,0,0,0,0
MIOTA,0,0,0,0.241100784300146,0,0.101980525365155,0,0.0504599747005611,0.520741651706668,0,0,0,0,0.0471941641695468,0,0,0,0,0,0
DASH,0,0,0.295648643538783,0,0,0,0,0.0129075028135859,0.410100390630002,0.08436610818658,0,0,0,0,0.183584490547187,0,0,0,0,0.0937518636019317
XEM,0.755833871571417,0,0,0.16626385733294,0,-0.0834292354538982,0,-0.00867369621426606,0,-0.258297554429671,0,0,0.477254060303371,0,0,0,0,0,0,0
BNB,0,0,0.459350225321517,-0.0602256465460978,0.120106765172156,-0.282049002890896,0,-0.00376142764570308,0,-0.0904414619021201,0,0.312260648849051,0.555444967400569,-0.108784025957504,0,0,0,0,0,-0.00247922348130301
BV010082.Index,0,-0.23708163154191,0.236911288236601,-0.11265136048909,0.0152959836057884,0,0,-0.00236885222382004,0,0,0,0,0,0.0502771830212268,0.0136612168395131,0,0.097640488877868,0,0,0
CVIX.Index,0,-0.0795160554438513,0.450335955029962,-0.087967998173575,0.0103555973160854,0,-0.145396085701282,-0.00305653208832219,-0.0246417289667425,0,-0.120883615355834,-0.0247832845671186,-0.0539058275705822,0.00519347867672988,0,0,0,0,0.891332158001259,0.228942621722503
DXY.Curncy,-0.0258741808743584,0.00904919600488773,0.0243332993924606,-0.0195998744247987,0,0.00523087885627214,0,0.00260944336593848,0,-0.00916904352848907,0.0174020876984699,0,0.0329134495787498,-0.00819626815031145,0,0.189201942738247,0,0,0,0
SPX.Index,0,1.73472347597681e-18,-0.0262033965438961,0,-0.00342130955894585,-0.0268009847354952,0.112820843699136,0.00134794032350044,0.0307109081893438,0,-0.0400044649226729,0,0,0.0268702964621474,-0.0688858438476224,0,0.185949249733352,0,0,-0.134538780575828
VIX.Index,0,-0.447040138456466,0,0.116616218863649,0,0.0663580725086314,0.521354382722816,-0.0182129597342523,0,0,-0.490524590298857,-6.93889390390723e-18,0.402011496370305,0.16103466562446,-0.320523699897965,0,0.743095359861044,0,-5.91373843314841,0
