,BTC,ETH,BCH,XRP,LTC,DASH,NEO,XEM,XMR,ETC,MIOTA,ZEC,ADA,XLM,EOS,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,-0.767211066417403,-0.0774328047084324,-0.112485403970451,0.870150228258646,0,0,-0.383867311998788,-0.0870102358496045,0.278727130224923,-0.358804057572906,0.0429781174360995,0.234654791268513,0.112041723313553,0.23873342825866,0.666502227844898,0,0,0,0
ETH,0,0,-0.104236208235884,0.0428220374983908,0.609692548164327,0,0.193053786474262,-0.159847935675888,0,0.0901219571012692,-0.00125161287803579,0.139879451809228,0.0234649561369667,0.0331785906301707,0.0312409682629738,0,-0.188938575301636,0,0,-0.0594935390162513
BCH,0,0,0,0,0,0,0,0,0,0.272272983869595,0,0,0,0.0978510475354673,0.287942910045899,0,0,0,0,-0.536092345307999
XRP,0,0.76014769823652,0,0,0,-0.546610376269794,-0.29909905134925,0,0.16653096307995,0,0.0329883160038275,0.247230725263029,-0.0593562579187499,0.161662687448606,0.079991043783789,-2.10917848054609,0,0,0,-0.115600586776659
LTC,0,0.154708307695826,0,0.446745799538032,0,0,0,0,0.0653278026672131,0,0,0,0.051766636344445,-0.0537966567031212,0,0,0,0,0,0.000844109601679588
DASH,0,0,-0.0956475551841574,0,0,0,0.08763476984363,0.181416781658264,0.114122505893875,0.0860402259088629,0.137071326221143,0,0,-0.0443911001012213,0.127724802283305,0,0,0,0,-0.0968845790267452
NEO,-0.79169727502411,0,0.0361136386700391,-0.442603714431647,-0.290923683720958,0,0,0.0493373293930452,-0.144911144296554,0.363164532423966,0,0.415506867151013,0.271941982497136,0.147712392156099,0.291495783234436,0,0,0,0,0.107040697593233
XEM,0,-0.133476796409403,0,0,0.735831692469932,-0.490091738142282,0.335267052134712,0,0.00125008455408264,0,0.305318503352591,1.73472347597681e-18,0.0397069666845118,0.0495369943296281,-0.130818040114492,0,0.112727022536323,0,0,-0.402540231889738
XMR,0,0.215082069434994,-0.0669180036126539,0.12354909110668,0,0.305608572179,0,0,0,0.0748590453853428,0,0,0.107199393294547,0.00417208869709368,0,0,0,0,0,-0.0658950240816308
ETC,0,0,0.168866590875318,0,0,0,0,0,0,0,0.207445377969794,0,0.152622293436592,0,0.0959167106205532,0,0.469505866730911,0,0,0
MIOTA,-1.22874117680995,0,0,0,0,0.157855522714085,0.257863199606498,-3.46944695195361e-18,0.227510430904941,-0.126797904898927,0,-0.00534228993607833,0.117803361847991,0.0719350219895298,0.155047104237215,0,-0.6386192726394,0,0,0.271675780043452
ZEC,0,0,0,0,0,0,0,0,0,0,0.375987020321794,0,0,-0.0386408917548438,0,0,0,0,0,0.0655277557553842
ADA,0.769545141175796,2.28768068317891,0,0,0,0,0.227253396116433,0.245288473833437,0.250700977896618,-0.38557109824442,0.0441786953934275,0,0,-0.0650453111233135,-0.430375860208306,-0.664772660734701,0.49415484529994,0,0,0.248609876869416
XLM,0,0,0.232192892712077,2.02358157244345,0,0,0.268257479839066,0,0,0,0,0,0,0,0,0,0,0,0,0
EOS,0,0,0.25427868102823,0.597114610510528,0,0,-1.0842021724855e-19,-0.0765582804948271,-0.742277747630245,6.93889390390723e-18,4.33680868994202e-19,0,0,-0.0999829188082533,0,0,0,0,0,0.462172694287038
BV010082.Index,0.105680063382627,0,0.0643404167913563,0,0,-0.0394716470658894,0,0,0,-0.00981367134555646,0,0.049919181158301,-0.0231092141346889,0.0542951343456028,-0.0307882044780816,0,-0.188949507233112,0,0,0.00736801638411074
CVIX.Index,0,0,0,0,0,0,0,0,0,0.0609913592096469,0.0363598763822604,0,0.0276374215097741,0,0,0,0,0,0,0.0688360961766911
DXY.Curncy,-0.0114557311794708,0,0.0125900008225502,0.00690247316103986,0,0,0,0.0259254915919271,0,-0.0124741188114056,0,0,-0.00325022957415208,0.00681858801158456,0.00114362109215527,0,0,0,0,-0.00549537028300428
SPX.Index,0.0058163302337817,0,0.000431867136813203,-0.0282478786684157,0,-0.0331659703803744,-0.0164469465032293,0.00965495230813307,-0.0121883729445148,0.00512868437247351,0.0405064483177207,-0.0296335467795894,0.00470442887115288,0.000117258343364832,1.0842021724855e-19,0,0,0,0,-0.0528875153402378
VIX.Index,0.234604743514904,-1.34178452530298,-0.358323200560067,0,0,-0.157701086571383,0,0,-0.0793354673917143,8.67361737988404e-19,1.24388135209234,0,0,-3.46944695195361e-18,0.222317687024564,0,0,0,0,0
