,BTC,ETH,XRP,BCH,EOS,LTC,ADA,XLM,MIOTA,TRX,NEO,DASH,XEM,XMR,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.186787014280183,0,0,0,0.0477162733143996,0.0194898705734701,3.46944695195361e-18,0.0687574898279036,0.101171886076439,0.0235095610528671,0,0.125249375583776,0,0.0211667355430566,0,0,0,0,0
ETH,0.603856593025928,0,0.158232443725908,0,0.00306929817596259,0.195808699642894,0,0,0.0977178338240385,0,0,0,0,-0.121264571731218,0.162143888583155,0,0,0,0,0
XRP,0,0.262816299730041,0,0,0.0694615258507207,0.198395180450776,0.118877002395078,0.178563625374316,0,-0.0836868877123527,0.0674837754375912,0,0,0.246640436868853,0,0,0,0,0,0.044373058028952
BCH,0,0,0.365392197994932,0,0.00309564223675897,0,0.0311653152155455,-4.33680868994202e-19,0.181868937781282,-0.203193110178337,0,0,-0.114882244654048,0.570194611780761,0,0,0,0,0,0
EOS,0,0,0,1.08718502759185,0,0,0.183776142930084,0,-0.445755158030065,-0.352952926385442,0.944136170053287,0,1.73472347597681e-18,0,-0.926915956830524,0,0,0,0,0
LTC,0,0.123520508008514,0.110806518739229,0.0315670977213358,0,0,0.0648648867166633,0,0.0872907134958915,0.130777597595158,0.0595585456020785,0,0,0,0.246799338896974,0,0,0,0,0.0546469765851
ADA,0,0,0.494016646449785,0,0.081850728307256,-0.323274615301815,0,0,0.239318216178651,0.225409131182734,0,0,0.213364217696717,0,0,0,0,0,0,0.0714632158411999
XLM,0,0,0.177027524171964,0,0.00526831824125528,0,0.173621069406805,0,-0.136490431654085,-0.0448444457240475,0.400324628960117,0.133474490560654,0.314326789879232,0,0,0,-0.177023022922417,0,0,-0.0640005997390843
MIOTA,0,0.449962498290404,-0.123217022284784,0,-0.100994579829155,-0.692738025730496,0.0797866609804147,0,0,-0.405749142272501,0.197400993918026,0.232651037089573,0.746776834001202,0,0.608626725169377,0,0,0,0,0.337279477773363
TRX,0,0,0,0.215457629327458,0.206711560178141,-0.00202454758036749,0,0,-0.491233293305592,0,0.292911177421153,0,0.685836691629355,0,0.177444816859562,0,0,0,0,-0.0956826852267388
NEO,0,0,0,0.0458217867168366,0.0474388739088351,0.0143458519073683,0,0.279021060476251,0.144717942742056,0.146288096752634,0,0.192846381648983,0.199162996752164,0,0,0,0,0,0,0.0671844866655856
DASH,0,0,0,0.33172814916895,0,0.0042311169906283,0,0,0.0251946631132634,0.202566577836181,0.0316500373631378,0,0.197424308329649,0.0157292576564964,0.150511295487954,0,0,0,0,0
XEM,0,0,0,0,-0.023593335992509,0.0267498890350889,0.0101684376994215,0.200598801638828,0.351206544614059,0.0987384301651704,0.0598414170954357,0.0290871415526837,0,4.33680868994202e-19,0,0,0,0,0,-0.115488290600574
XMR,0,-0.0654349761775777,0.367467648672986,0.237632576160497,0.0014556424354587,0,0,0,0,0.0927672568864911,-0.103168148617934,0.186517341493423,0.180713207843951,0,0,0,-0.134146559593693,0,0,-0.039620591067365
ETC,0,0.517124815911018,0,0.0516703290167999,0.0634088780947409,0.0930748080627332,0,0.100793397122491,-0.0139558986147252,0,0,0.212894593043874,0,0,0,0,0,0,0,-0.238490800585858
BV010082.Index,0,0,0,0,0.0210162380510598,0,0.0119764803928429,0,0,0,-0.00448553438716441,0,0,0.0287281938780419,0,0,0,0,0,0
CVIX.Index,0,0,0,0.0405797981246447,-0.0220967414395734,0,-0.121753702178823,0,0.0625129660297602,0,0,0,0,0,0,0,0,0,0,0.0316081734018608
DXY.Curncy,0.0195130541340454,0,0.0273999996687536,0,0.0106253977508854,-0.0845382655599279,0.00225465407224572,0,-2.16840434497101e-19,0,-0.00606025246061047,-0.0247560153572045,0.00675161994874712,0.00048786532115143,0.0511302785298642,0,0.0768667824860821,0,0,-0.00166834854529773
SPX.Index,0,0,0.00889872038809789,0.0145700362184473,-0.0171364753123006,-3.46944695195361e-18,0.00570548296185553,0.0545256488483468,-0.0116571553813855,0.0278307469425435,0,0,-0.0867667842583363,0,0,-0.0872283160863752,0.0676956172276428,0,0,-0.129563252994051
VIX.Index,0,0,0.0403099977655733,0.124184323289387,-0.0959471560084449,0.402256414514647,0.085863315545198,0,0.205636858884792,0.342235486903027,0.070088790616266,0.133886872388891,-0.802737209401054,0,-0.628104237584132,0.0519025351861748,0.425561292636086,0,-4.32531349801567,0
