,BTC,ETH,XRP,LTC,DASH,XMR,ETC,XEM,ZEC,DOGE,XLM,NEO,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,-0.22634200928458,0.00503362091704237,0,-0.132197204498095,0.27240789012354,0.208853960160882,0,-0.0453583252677841,0,0.11876664228748,-0.180243733110655,0.407116178080583,0,0,0,0,0
ETH,0,0,0.0337832269134687,0,-0.100226726125041,0.745589736133384,0.240502930019376,-0.106944820171266,-0.501915099583998,0,0,-0.0526919221712352,0,0,0,0,0,0
XRP,-0.553290950139732,0.161986472448811,0,-0.162551196159508,0,0,0.452357469672781,0.0521333432327633,0.314548910734602,-0.336779435087288,1.38737833428991,0,-0.9673238912627,0,0,0,0,0
LTC,0,0,0,0,0,0,0,0,0,0,0.278190167328611,0,0.0763840343183929,0,0,0,0,0
DASH,-0.439936447887877,0,-0.0950596422720933,0.0190885624460523,0,0,0,0.158593470321808,0.367758113203342,0,0,0.0583724441381564,0,0,0,0,0,-0.229390238934052
XMR,0.163858054814229,0.258743637419738,0.0014549832753972,-0.114389598246872,0,0,-0.218468776227394,0.207968701268488,0,0,0,0,0,0,0,0,0,0
ETC,0,0.373169496956363,8.67361737988404e-19,0.40481889467104,-0.293861862850566,0,0,0.0573347055392779,0.348502189777771,0,-0.170840813316645,-0.255308898481325,0,0,0.159341321027958,0,0,0
XEM,0,0,0.0296540498480187,0,0.235628869866408,0,0,0,0,0,0,0.537974745346341,0,0,0,0,0,0
ZEC,-0.551616137539019,-0.40907095656766,0.0646804628731974,-0.0667830915424593,0.105458600157994,0,0.0349603693765054,0,0,0.274712957307813,-0.25220905573969,0,0,0,0,0,0,0
DOGE,0,0.294896259347915,0.115504662358362,0.210675056444114,0,0,0,0,0.357760105744739,0,2.77555756156289e-17,0.0691579580466634,0,0,0,0,0,0
XLM,0,-0.123643295630198,0.3718195950684,0.178774072039202,-0.00325799640550624,0,0,-0.474135037061028,0,0.216301649140909,0,0.160590848776351,0.58180354310626,0,0,0,0,-0.502836821537238
NEO,0,0,-0.0512478549577679,0,-0.200515499220417,-0.145105135082667,0,0.0492687202213569,0,0.119851261196551,0,0,0,0,0,0,0,0
DGB,0,0.05495170435335,-0.176672934885479,-0.042100298989126,0.0715898246638335,0,0,0.348761639758147,-0.179628573137973,0,0.229215202061622,0,0,0,0,0,0,-0.16488909967114
BV010082.Index,0.00503839071515423,0.0304312572975849,0,-0.00761472895671567,-0.0135301048901548,0,-0.0662291566635777,0,0,0,0,-0.0093539408998719,0.0320878960927997,0,0,0,0,-0.138864712136474
CVIX.Index,0.0403148873551417,0,0,0,-0.195029789903408,0,0.104655502952389,0,0.0418200063608701,0,-0.00934195579526775,-0.0493321169320804,0,0,0,0,0,0
DXY.Curncy,0,0,-0.00144060107655439,0.00736826509459907,-0.0204779479551771,0,2.18680479570788e-06,0.00454120321357863,-5.42101086242752e-20,-0.0030117044837882,0,-0.0202384148189109,0,0,0,0,0,-0.0223479711770394
SPX.Index,0,0,-0.000824983901170326,0.00215950174240501,-0.0298975801480978,0,0,0.00475447227252896,2.17160855471656e-06,-0.00709201303201813,0,-0.00949645789917702,-0.00430496119054914,0,0,0,0,-0.0891591216104405
VIX.Index,0,0.0928431713085604,-0.00424070076287767,-0.0431303687363062,-0.0130818866517228,-0.18133198203246,-0.131246588921408,0,-0.0478156617053965,0,0,-0.0430966537225149,0,-2.16086453327326,0,0,0,0
