,BTC,XRP,ETH,BCH,EOS,XLM,BSV,LTC,TRX,ADA,MIOTA,XMR,DASH,BNB,XEM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.161953673645062,0,0,0.0569316332428714,0,0,0.074229371547484,0.022758825206792,0,0.00329811343863498,0.181951878437361,0.145932048025237,0.120156882924993,0,0,0,0,0,0
XRP,0.18573053232666,0,0.469376147959187,-0.00824249313828368,0,0,-0.0182910943898007,0.0599770928349679,-0.130112407021986,0.0911592692566887,0.0971032930199393,0,-0.10948620565069,0.0362516180773865,0.111474980847162,0,-0.275951361303532,0,0,0.0667727794631526
ETH,0,0.293403098321616,0,0.0678376825392551,0.0100655481661435,0,-0.0204020739065574,0.0869497751809236,-0.00354230868283342,0,0.0607845438745268,0.447285767409833,0,0.00824316940586788,0,0,0,0,0,0
BCH,-0.976687165334131,0,0,0,-8.67361737988404e-19,0,0.146781194647705,-0.142432985946659,0.275804141120986,0.832183614745416,-0.00100305088627086,0.468711890015184,0.458022709691762,0,0.139242028809155,0,0,0,0,0.143403423948196
EOS,-1.17633283945879,1.56752732823935,0,-0.117961971371295,0,0.696517527613414,-0.0530983249084239,0.151299809048049,0,0.438838416003063,-0.168590155621169,0.526691592739487,0.0805585220698362,-0.179702017766004,-0.600775392935018,0,-0.163187007874498,0,-0.908869779707218,0.00480811721679261
XLM,0.387591931981655,0,0,0,0.300854902260955,0,0.0289016198206716,0.0232652284857077,0.0772599381958143,0,0.0484774715276469,0,-0.0314156579165331,0.03610256231945,0.306954335160202,0,0.165524970235538,0,0,-0.0170874772647743
BSV,0,0,0,0.410646629543089,0,0,0,0,0,0,0,0,0,0.232830369250992,0,0,0,0,0,0
LTC,0,0,0,0,0.360579352747294,0,0.202638242010733,0,0.0621703266942366,0.00335221162566254,6.93889390390723e-18,0.0813589734923531,0,0.206926095295752,0,0,0,0,0,-0.164775878820839
TRX,0,0,0.455650604877776,0,-0.254143963908985,0,-0.124336712443054,0.363453898359186,0,0.619648792394202,-0.0139063597190861,0,0.014247869251774,-0.27196761071715,0,0,0,0,0,0.239983494161798
ADA,0,0,0,0.0735538021752516,0.351476002362701,0,0.0928974103409958,0,0.295401606316215,0,0.109928437254303,0,0.01444958376238,0,0,0,0,0,0,-0.038185399637247
MIOTA,0,0,0,-0.0418429157274949,0,0.768948378788823,0.243729167879125,0,0,0,0,0,0,0.520623336207852,0,0,2.13334777632965,0,0,0.00657351542325449
XMR,0,0,0.296447884205678,0,0,0,0.0667348223343964,-0.0345439400891189,0.0203944823400577,0,0,0,0.363397069892025,0.112417048726113,0.163873290819537,0,0,0,0,-0.14827749040939
DASH,0,0,0,0,-0.074892743173023,0,-0.282050051387014,0.271079655699047,-0.478313378418719,0,-0.132613743858606,1.49866766269961,0,-0.395887394582906,0.729202428344536,0,0,0,0,0.136586764925672
BNB,0,0,0,0.206230148323306,0.519217433155892,0,-0.167872598593494,0,0,0,-0.00555816096827158,0,0,0,0,0,-0.419432742292798,0,0,0.163327267891647
XEM,0,0,0,0.133401153513335,-0.19261273148995,0.83485222949849,0.0251078957967728,0,0.123248358621399,0,-0.015127128339893,0.131754305465036,-0.200709391976639,0,0,0,0,0,0,-0.196732974031711
BV010082.Index,0,0,-0.0742986293394618,-0.0356735184415211,0,0,0.0465614130566289,0,0,0,0.0353879108375158,0,0,0.0739766263158253,0,0,0,0,0,-0.183907974116285
CVIX.Index,-0.678883708445,-0.149065672030053,0.391516233998051,-0.0671815040006418,-0.0316118964882346,0.418135125955449,0.0837331254639237,-0.249900106208393,0.139941730253297,0,0.0951297841166723,-0.0855279203204851,-0.01228689320025,-0.0711712634593763,0.178312761996469,-0.470123205973513,0,3.62067314873869,0,0.0497475166116897
DXY.Curncy,0.0508495396912556,0.0266155570665553,0,0.00777606170315286,0,-0.0217328901924056,-0.00110707533156877,0.022284224442074,-0.0368517606763799,0,-0.0158285069032893,-0.0131407449918074,0,0,-0.0161541433095807,0.0767049995816252,0.0782915087064735,0,0,-0.0100008027493912
SPX.Index,0,0,0,0.00943837629760289,-0.0475937286988103,0,-0.035324078201794,0.0663826821040918,-0.022296733966407,0,0,0,-0.050959578483075,-0.0464952682696419,0.105300221063005,0,0,0,0,-0.150998096970984
VIX.Index,0,0,-0.416540804496186,0,0.192453027069602,0.0708810098884547,-0.0113167882837119,0,0,0,0.0337516485068685,-0.138125695162038,-0.0792658715886639,-0.0784182405897657,0.372509599810678,-1.11326325609723,0.284021022116221,0,-3.05847375158197,0
