,BTC,ETH,XRP,BCH,EOS,LTC,ADA,XLM,MIOTA,NEO,XMR,DASH,TRX,XEM,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.0327814984392478,0.0592339171434144,0,0.0288413407164844,0,0,0,0.037014919082229,-0.072304766676453,0,0,0.0295911953459088,0.248533253840583,0.198735141002026,0,0,0,0,0.048847266592261
ETH,0,0,0.288411067263699,0,0.0383144578785901,0,-0.0921535076050172,0,0.252173770767327,0,0,0.0853823475751617,0.0498332023020766,0,0,0,0,0,0,0.164330572192191
XRP,0,0.331246672352335,0,0,0.178852216079402,0,0.168498061698141,0.174248019043032,0,0.11823094632841,0.140721575971673,0,-0.0119260316356505,1.38777878078145e-17,0,0,0,0,0,0
BCH,0,0,0.0569322380166329,0,0.0403728176966188,0,0,0,0.136253691930795,0,0.504970875366616,0,-0.0216781012818323,0,0,0,0,0,0,0.145455263527811
EOS,0,0,0.464792096284669,0,0,0,0,-0.185191363592757,-0.423250548056704,0,0.460069007216794,0,0.402663539400117,0,0,0,0,0,0,0.133151874805166
LTC,0,0.0508459396580469,0.214129011101847,-0.079582521402864,0.035333791934871,0,0,0.130402069608541,0,0,0,0.107241523038128,0.0994462978618121,0,0.249303150669279,0,0,0,0,0.153634435496953
ADA,0,0,0.38244498478185,0,0,0,0,0.0637375635848424,0.34839573738417,0.314307867564758,0,0,-0.00178858247796652,0,0,0,0,0,0,0.117382312828724
XLM,0,0,0,0.0811705520884953,0.0957443450455956,0,0.251469599399808,0,0,0,0.162636813601825,0.155941821940431,-0.0238718158988178,0.466987073421677,0,0,0,0,0,-0.252482930521789
MIOTA,0.278868948319527,0.334820531189588,0,0.216600216195365,0.0667439328851056,-0.242406135655049,0.148445138366452,0,0,0.114217659156242,0,0,0.0346531950156202,0.250104046008543,0,0,0,0,0,0
NEO,0,-0.0253520795095032,-0.114814899251453,-0.350075488532921,0.145294086978829,0,0.0618145294253685,0.181513800683517,0.173913422152154,0,0,0,8.67361737988404e-19,0.0881279509205375,1.06863375247265,0,0,0,0,0.161535256675457
XMR,0,0,0.196276847843243,0,-0.0116043749922526,0.056875259493888,-2.16840434497101e-19,0,0,0,0,0.648810435512162,0.0740460553438749,0,0,0,0,0,0,0
DASH,0,0,0,0.273002691756825,0.0668497826422449,0,0,0.0728884366100534,0,0.0639102134981423,0,0,0.0935568489604222,0.316643479773767,0,0,0,0,0,0
TRX,0.15873387690492,0.743037325710774,-0.634443218481274,1.00663603536616,0.0140482490928224,0,0,0.619505120579168,0.103563806890743,3.46944695195361e-18,0,-0.622688594362888,0,0,-0.133111384539287,0,0.206267432000283,0,0,-0.15757476751072
XEM,0,0,0,0,0,0,0,0.245666415575463,0.102286054299731,0.265857222988434,0,0.293719317107527,0.00863589498688409,0,0,0,0,0,0,0
ETC,0,0,0,0,0.055631365286431,0.220438989598333,0.0726959380866071,0,0,0.0931063583400212,0.118670944802241,0.347507414434578,0.0423651540908119,0,0,0,0,0,0,0.0157659781258149
BV010082.Index,0,0,0.0451457542007206,0,0.0192844981196504,0,0,0,0,0,0,-0.00650677205967104,-0.0277785041485632,0,0,0,0,0,0,-0.0964536624887606
CVIX.Index,-0.0567011587658569,-0.136656549939167,-0.0111925486753931,0.18633032422048,0.0186141229315328,0.18243027850904,0.0605085295474719,-0.144135242965308,0.18843448988266,0.075246889092374,-0.240572922646085,0.337483017749341,0,-0.00166060106737539,-0.554042871518957,0.610015020937321,0,0,0,0
DXY.Curncy,0,-0.064665666423116,0.0710146820525318,0.0122335177050099,-0.0146865103333447,-0.0194218040059152,0,-0.0466045904219376,0,0,0.0124499411764646,0,0.00475207426554358,0.0303729245789558,0,0,0,0,0,-0.0110300586076629
SPX.Index,0,0,0,0.020026038422458,0.0330524671378961,0,0.0280907661220416,0,-0.109554117440407,0.0278770962130098,-0.0579610206944121,0.0656950244394815,0.0113104846666313,0,0,0,0,0,0,-0.131716586885521
VIX.Index,0,0.423636911468663,0,0.204011363643829,0.15346473063526,0.250089239277745,0.112541178266935,0.0719431371789899,-0.48602295007304,0,-0.313284955984466,0,-0.0332999692653207,0.140632421355942,-0.153438290215787,-2.56696191663614,0,0,-3.99680174310989,0
