,BTC,ETH,XRP,BCH,BSV,LTC,EOS,BNB,INNBCL,XTZ,LINK,ADA,XLM,TRX,LEO,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.0658440124140382,0,0,0,0.135488071613914,0.0113568277955038,0.143708269882957,-0.00151377043171251,0,-0.0344634079553409,0.251221026857849,0,0,0,-0.00485773560657244,0.0216250808596294,0,0,0.00805216640555799
ETH,0,0,1.03500317579916,0,0.0259419559975124,0.116878823452378,0,0,-0.00820890312466411,0,-0.0601290096305636,0,0,0,0,0.0191823727197865,0,0,0,0.0243687662933002
XRP,0,0.335390606889022,0,0,0.10032365160843,0.142293342150168,0,0.129111519138059,0.000887989739409366,0,0.0402919259874745,0,0,0.0417022649742118,0,0,0.000728606365161575,0,0,-0.00447759799798183
BCH,0,0.126166124430585,0,0,0.459899424736686,0.2733294448185,0.0914432514600548,0.0227419252142391,0,0,0.0446594604230103,0,0,0.0394232059210094,0,-0.0496126937813213,0,0,0,0.01925467073708
BSV,0,0.0555034842925466,0,0.602082631811224,0,0,-2.77555756156289e-17,0,-0.000515320667367993,-0.275417090848819,0,0,0.484095577017852,0.0665270156688681,0,0,0.063640771014636,0,0,-0.0350811695020438
LTC,0,0,0,0.143883253831581,0.0795659886970546,0,0,0,0.0029098134853112,0,0,0.442748967174578,0,0.376451884508858,0,0,0.0227220096829163,0,0,0
EOS,0,0,0,0.356462007958803,0,0.0021942306676621,0,0.269069945264538,-0.00116975242088947,-0.231161575653907,-0.10295909044717,0,0,0.647475778545553,0,-0.111430515547871,0.0664239070167065,0,0,-0.0438826102562629
BNB,0,0.137411004456224,0.118062259599011,0.488937506337493,0,0,0,0,-0.00270081612372812,0.129039403747312,0.0817340930408126,0,0,0,0,-0.200982075404776,0.0137548883556711,0,0,0
INNBCL,0,0,19.7237006021869,0,0,0,0,-9.85554836034307,0,-5.67051085141865,-0.917464901285026,-5.80836559390916,0,-9.09295954831827,-12.5333195442557,-8.17073281793806,-1.31394544907875,0,0,-2.35325729298455
XTZ,0.92801193154445,0,-0.7646513599038,0,0,0,-0.271188256224076,0,-0.00192592246673157,0,0.207930089793333,0,1.36260787715469,0,0.911784708229704,-0.127812608112806,0,0,-0.655624963312419,-0.024901690883422
LINK,0,-0.254481510869241,0.167760643057647,0.00558608686300516,0,0,0,0,-0.00490896738337397,0.278319413889853,0,0,0,0.515600145121989,1.8474633911621,0.0650796573569198,-0.062041017061198,0,0.533859333740805,0.156792013194403
ADA,0,0,0,0,0,0.531841636623194,0.192763601686236,0,2.16840434497101e-19,0.168207612679052,0,0,0,0,0,-0.0405696681087051,0,0,0,0
XLM,0,0.0811613931395381,0,0,0.184265572255899,0.112057238070016,0.209768877626681,0,-0.00624475433877792,0.214238225284919,-0.0161188351421933,0,0,0,0,0,0,0,0,-0.0147055208895027
TRX,0,0,0,0,0,0.373322961827807,0.348759532018619,0,-1.0842021724855e-19,0,0.00061578652941606,0.0357247565477572,0.262797768497325,0,0,0.0183551685763219,-0.0402247098502218,0,0,0.0529477368181196
LEO,0,0,0,0.248410559872642,0,-0.281343365169115,0,0.137675911291126,0,0.148115725616246,0.0186825624669284,0,-0.163475996764796,-0.120162260445262,0,0,-0.00828911576439483,0,0,-0.0547436412822467
BV010082.Index,0,0.0349519397766151,0,0,0.891846231411353,0.62670802168442,0,-1.89009456310819,-0.00917256829585421,-0.283183989117004,0.679752176146106,-0.558210804557769,1.09166930629259,-0.704839676284919,0,0,-0.00828916484511454,0,-0.311365035075571,3.46944695195361e-18
CVIX.Index,0,-0.128603646163652,0,0,0.228788210538829,0,0,0,-0.00742285021542443,-0.259813315776521,0,0,0,0,0,0.058115968582587,0,0,0,0
DXY.Curncy,0,0,0,-0.0268060512927991,0.0516679542064258,-0.0042505691591974,0,-0.0278343016069465,-0.00174873623584262,0,-0.0234340691763277,0,0,0,0,0.00580041293924865,-0.0339315611149376,0,0,-0.00148003030815349
SPX.Index,0,0,0,0,0.00270761985895975,0.0932066852809347,0,0,-0.000439870390018806,-0.0720909732272788,0,0,0,0,0,0.0313781536166955,-0.0221144784178338,0,0,-0.136259494237295
VIX.Index,0,0,0,0.00391667396419553,0,0,0,0,-0.00529374255908679,-0.0741312882285874,0,0,0,0,0,0,-0.127781788149669,0,-3.58007713709107,0
