,BTC,ETH,XRP,BCH,LTC,ADA,XLM,NEO,EOS,MIOTA,XMR,DASH,XEM,TRX,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,-0.0305347791413613,0,0,-0.0499765806571882,-0.019703635150669,0,0.109330144087745,0.231441363958537,0.174381310018154,0.250684865725192,0.0806677705403306,0,0,0,0,0,0,0.0472769732173192
ETH,0,0,0,0.394051854277554,0,0.101454978868448,0,-0.0306260694581893,0,-0.0719475830404405,0.174705603790497,0,0.11010736094433,0.0638487373598738,-0.00736872057149138,0,0,0,0,-0.0796027437870682
XRP,0,0,0,0.120979421482182,-0.568072993999628,0,0,0.0730657163378981,0.206798622984169,-0.164667509132508,0.476763125666459,-2.77555756156289e-17,0,-6.93889390390723e-18,0.488600801783094,0,-0.370876810221133,0,0,-0.136159376713369
BCH,0,0.696286154007641,-0.0203693089552219,0,0.0111301777813886,0,0.12824886734227,0,0,0.0695283292116264,-0.227088832080778,0.316469289507048,-0.30383182686595,0.286060496806162,0,0,0,0,0,0
LTC,0,0,0,0.131326403525571,0,0,0,0,0.061934332772634,1.73472347597681e-18,0.357375529143599,0.145060434360907,0,4.33680868994202e-19,0.111646055578933,0,0,0,0,-0.0376058663051061
ADA,0,0.114661426332746,0,0,0,0,0,0.409025706673445,0.619485454587384,0.128395891648732,-0.0422145860322083,0.172989919596838,0,0,0,0,-0.54226038973856,0,0,0
XLM,0,0,0,0,0,0.196634699137459,0,0.344127776273225,0,0,0.0948067713471291,0,0.113556689874221,0,0.224723135524928,0,0,0,0,-0.04736872236223
NEO,0,0,-0.308359758316768,0,0,0.40298034267838,0.16716703709774,0,-0.0934239952242668,0.128170951215145,0.172536727710686,0,-0.0635439473124998,0.0315571710359071,0.449744812550131,0,-0.410002918158779,0,0,-0.0804548887474583
EOS,0.639482551828376,0,0.255701621618071,0.319845847870436,0.134738394299836,0,-0.245236715208722,0,0,0.179918694004792,0,0,0.213611030383617,-0.295182208458263,0,0,0,0,0,-0.0869804209097638
MIOTA,0.109354129621889,0,0,0,0,0,0,0,0.189314331150756,0,0.12155562112538,0.422147345952566,0.0291661285485645,0.155686394450171,0,0,0,0,0,0
XMR,0.51112517252537,0.0221327785818945,0.580798408510076,0,0.413048165992305,0,0.076180626005985,0.567692948017146,-0.117562759665443,0.0830924854402447,0,0,-0.160847193832365,0,-0.682157607915538,0,0,0,0,0.127768431006109
DASH,0.312762555169739,0,0,0.477259551122922,0.219796455751219,0.10609784378991,0.0156599133416179,0,-0.0917095255060976,-0.169743337968273,0,0,0.13840980176602,0.0621221484414033,-0.015425018190635,0,0.538239052400279,0,0,-0.0733573156401861
XEM,0,1.30633423203741,3.46944695195361e-18,-0.655659450731727,0,0.0305765659456035,0.447788787306416,0,-0.0219370122208995,-0.31887938638207,-0.524297034659473,0,0,0.679169540384772,0,0,0,0,0,0
TRX,-0.0218079886060122,0,0,0.608398943300547,0,0.0987268337351305,-0.224781460607169,0.42370715372125,0,0.294168375114228,0,0,0.0920955010560995,0,-0.204534081304551,0,0.505944107921906,0,0,0.326295686528596
ETC,0,0,0.687333277220641,0,0,0,0.229054266774608,0.464561907501175,-0.0880837997889551,0.173046116749304,-0.588663592090005,0,-0.00307234961374121,0.334939370860524,0,0,0.00457954065324559,0,0,-0.0103070652225719
BV010082.Index,0,0,-0.0668266356554416,0.113122082385687,0,0.0169257503678805,0.10264224891253,0,0,0.0333731530767504,-0.0883214782870663,0,-0.0505820253284042,-0.0923868124540343,0,0,0,0,0,-0.0123645874055107
CVIX.Index,0,0,-0.193395118830146,-0.350331638477543,0,0,0.256197986795134,-0.360345029304378,-0.0141961040441693,-1.73472347597681e-18,0,0.264195713086726,-0.254722549759812,0.250905379729626,0.280869518363789,0,0,0,0,-0.0663017074687835
DXY.Curncy,0,0,0.0129543059176555,0.0119225248831892,0,0,-0.0343950620276147,0,0.000773266934056813,0,0,0,0.0023121092327853,0,0.0195130473283537,0,0,0,0,-0.0107106599065311
SPX.Index,-0.0564120213756171,0.0360518868949118,0,0,0,0,0.00754057030954932,0.03066787007789,-0.00247139897795974,0.0259954653786513,-0.00416365918002725,0,0.0037568596377616,-0.0284367776341976,0,0,-0.0412756916862235,0,0,-0.0531564397122406
VIX.Index,-0.917374447858174,0,-1.03718343332651,0.0645009192030094,-1.13105605927509,0.0915663465783491,-0.140369597096902,0,0,-0.0211243594157385,1.15657090109647,0,0.261634022977773,0.413971134071119,0.760166036142962,0,-1.05422438219755,0,-4.85393659266804,0
