,BTC,ETH,XRP,BCH,LTC,NEO,ADA,XLM,EOS,XMR,MIOTA,DASH,XEM,TRX,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0.22002219423068,0.130548876932329,-0.0537496927277574,0.173614101293112,0.181083618690642,-0.502465494044048,0.366440415257723,-0.00891495847356505,0,0.564292105782254,0,1.73472347597681e-18,0,0,0,0,0,0
ETH,0.0530210637606078,0,0.0523087435549314,0.0830656118698928,0.0932859454470702,0.117553472845136,0,0.126700715218806,0,0,0.227604962184142,0,0,0,-0.0386713782655148,0,0,0,0,0.0199214561937241
XRP,0.17924463079368,0,0,0.0918506583993078,0.14983490013715,0,0,0.0171938201649251,0,0.0260012903993543,0.172238859774396,0.131807085844642,0,0,0.00561660032982539,0,0,0,0,0.0305405836728489
BCH,-0.196088566248092,0,-0.0724905067637941,0,0.308603312202614,0.539141820093845,0,0.136644689695028,0.240552549649482,-0.172060540848157,-0.322153382351782,0,0,0.542965347727287,-0.0781810769637037,0,0.388285872297941,0,0,0
LTC,0.0758360265191434,0,0.0967842175660691,0.365754211343316,0,0,0,0,0,0,0.0829664697162297,0,0,0,0.280007392542416,0,0,0,0,0
NEO,0,0.708441579861856,0,0,0,0,0.0528281292492108,0.00145482179608107,0,0,0.268061574427583,0,0,-0.168119421220418,0.0971133753245706,0,-0.490847062178073,0,0,0
ADA,0.102441101711276,0,0.468121129869977,-0.231519666666402,0.0316383704690228,0,0,0.286740524566965,0,0.11968741543785,-0.0696505570698577,0,0.0713773954918048,0,0.0170688329987082,0,-0.441784322859376,0,0,0
XLM,-0.0544081663478703,0,0.437502653222379,0.226569603655156,0,0.104291394219555,0,0,0,0,0.221235020474368,-1.73472347597681e-18,0.31740476322399,0,0,0,0,0,0,-0.0599813547074685
EOS,0.221990423591943,0,-0.0608981173913719,0,0.132515132531446,0.0129091100416451,0,0.0855964814097104,0,0,0.0847296392651585,-2.77555756156289e-17,0.248528409117809,-0.0414333870255573,0.268559523006694,0,0,0,0,0
XMR,1.18412833592773,0,0,0,0.141554198227267,-0.283489738028534,0.0295428442779251,-2.77555756156289e-17,0,0,0.507097607410692,1.38777878078145e-17,0,0.159315020699782,-0.262830722352193,0,-0.0712622379740467,0,0,0
MIOTA,0,1.00349764022768,0,-0.0292231108415958,-0.0317556309545593,-0.0120668838799351,0,0,0.330486939433661,0.135150540230846,0,0,0,0.0389489832886059,0.0407637724558906,0,0,0,0,-0.0907336224744373
DASH,0.15404084488691,0,0.012364604954237,0,0,0,0.0568575994977468,0.127214234880907,0,0.206177842217155,0,0,0.295118320039328,0,-0.0367179160420842,0,0.255671566606975,0,0,-0.0659193297587744
XEM,0,0,0.262349016938164,-0.187516235649273,0,0,0.253181754611636,0.134329526670736,0.448054260597742,-0.218748958418259,0.11413014935814,0.00994069755041156,0,0.364652670906392,-0.119622130554388,1.00409487328044,0.233583632355459,0,0,0.146088776725338
TRX,0,0,0,0.356417575957026,-0.219777433899715,-0.336206402470369,0.418158971108062,-0.32258374747397,0.669429871758512,0,0,0,0.958005687586438,0,1.0842021724855e-19,0,0,0,0,-0.0120910745495869
ETC,0,0,0,0,0,0,0,0.114226694661821,0.672540621733543,0.0479224737677601,0,0,0,0,0,0,0,0,0,-0.0384710961617613
BV010082.Index,0,-0.171633901040211,-0.155219984387514,0.144022029058837,0.0026365035862989,-0.0540240102229522,0,0.143091532357148,0.048136265422872,0.125973322961163,-0.0962346348541178,0,0.155156074926305,-0.117420660439601,0.024813098018536,0,0,0,0,-0.107505965460107
CVIX.Index,0,0,0,0.0128879057282599,0.0757158985709666,0,0,0,-0.25104955805938,-0.0690426920813445,0,0.19430339945353,0,-0.0439913846381545,-0.03230009645483,0,0,0,0,0
DXY.Curncy,0,0,0.0159293970902723,-0.016877458735989,-0.0343241381311352,0,0.0106357234794361,-0.0124959656905642,0,-0.00442651389200797,-8.67361737988404e-19,0.0267131585235122,0.0550147826124443,-0.0397941533569384,0,0,0,0,0,0.0215560663857695
SPX.Index,0,0,0,0,0,0.0257439105880313,-2.71050543121376e-20,0,0,0.0307150759232832,0,0,0,-0.04231841952119,0.0108121061181711,0,0,0,0,-0.0590582648080931
VIX.Index,0,0,-0.0509466629921806,0,0.547727584900341,0.180306285847054,-1.78690788777025,0,0,0.563220558520851,-1.78327520078734,0,1.38053511756173,0.284104938958597,0.403965927198102,-2.90598565683042,0,0,-2.57976721293879,0
