,BTC,ETH,XRP,BCH,LTC,EOS,BNB,BSV,XTZ,TRX,XLM,ADA,ATOM,MIN,LEO,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0,0.323020248339086,0,0,0.00850397620620504,0.175689295816966,0,0.0337383658476546,-8.67361737988404e-19,0.00134046114584736,0,0,0.080395978318264,0,0,-0.00190565722517797
ETH,0.214806926939186,0,0.279090804445604,0.223990761074415,0.385677324521665,0,0,0,-0.0470338925225649,-0.114794742997193,-0.120136834248309,0,0.0750483764251004,-0.00234559522985175,0.31872381029533,-0.0288030257133128,0,0,0,0
XRP,0,0,0,0,0,0,0,0.764915465897112,0.0169975487688474,-0.108734600747752,0.201399872704458,0.0958887468367941,0.0933055264337498,0.0223103861033722,0,0,0,0,0,0
BCH,0,0.516575610037199,0.477729549042912,0,0.0997542185327366,0,0,0,0,0.0130055333261118,0,-0.155761147004198,0.00257993908289467,0.00248172307593776,0,0,0,0,0,0
LTC,-0.14627554907591,0,0.0768449884048411,0.30616680875744,0,0.5524027029043,1.38777878078145e-17,0,-0.0479098315780128,0.042786426957588,0,-0.0637444520242197,0.161858848941341,-0.0128274483595817,0.787459240838365,0,0,0,0,0.103553751025088
EOS,0.311858551456439,0,0,0,0.89889449128536,0,0,0,0.070886732806485,-0.0857826532498272,0,0,-0.0386685460547268,0.00446752525218511,-0.481328591976767,0,-0.102102376887043,0,0,-0.0397905626036535
BNB,0.481906079810903,0.167450470000728,-0.0595453891291738,0.0384521439939879,-0.396155244454184,0.392124539033607,0,0.21794034086039,-0.072765703302169,6.93889390390723e-18,0.458842663254174,0,0,-0.0166330195772122,0,0,0.103241222578891,0,0,-0.0757933955726873
BSV,0,-0.797842636951942,0.710458810235566,0,0,-5.55111512312578e-17,0.661194686555246,0,0.0680616990774653,0.251560230414708,-0.860833011218265,0.896219729097028,-0.0658029217724082,-0.0256971869870256,-0.338088986734144,-0.703855445379847,-0.375697389033052,0,0,0.185280742330301
XTZ,0,0,0,0,0,0,0,0,0,-0.26489560156557,0,0,0.377202989341454,0.135951360136489,0,0,0.616639603465459,0,0,-0.0785935115180041
TRX,0,0,-0.238584553388862,1.10006315477579,0.0677218829901453,0,0,0,-0.165099804317212,0,0,-0.197974978573711,0.253908414066759,0.00747924642118217,0.821565991813931,0.829080698862534,-0.143805900176224,0,0,-0.00635139572117503
XLM,-0.0964420665311923,0,0.215913618934264,0.472184553230332,-0.272545736249887,-0.0865776507823395,0,0,0,0,0,0.623811872564986,-0.00865103865676089,-0.0125863454612641,0.187851093120443,-0.167129162852022,0,0,0,0.0534078516254697
ADA,0.068200670195553,3.46944695195361e-18,0,0,0.551224262132018,0,0,0,0.0203530071993469,0,0,0,0.137765525782108,0.0187044557947304,0.27689651151525,0,0.120070925842357,0,0,-0.0332785629649292
ATOM,0.757849395982001,0.119011317061014,-0.166751838376818,0,0,0,0,-1.13004037471874,0.525635481723285,0.343794459432191,-0.190584693665789,1.57672876705488,0,-0.0523649728541972,-1.31479417217557,0,0,0,0,0.408379914766639
MIN,7.30560255624843,-5.77416620452227,0,-0.464988223751482,0,2.63864788407367,-8.17379073737262,5.09796973113094,-0.714912682038704,0,0,3.08682351098504,0,0,0,0,-0.422652778791233,0,0,0
LEO,0.241818239108673,0.209145744606376,0.0552600745047179,0,0.0977053433335347,-0.718249243400465,0.175910769353737,-0.0244471073326061,0,0.119820198172771,0.335061302959657,0.0674115075376658,-0.113656593929086,0,0,-0.324332503550747,0,0,0,-0.0808144519290888
BV010082.Index,-0.151191936531281,0,-0.140215853660024,0,-1.73472347597681e-18,0.259149997038841,0,-0.280423874405517,0.0554730151225999,0.251034749379838,0,0.0510370993542331,-0.0823704915216177,0.0342603305931271,-0.289075931524543,0,0,0,1.43156832004232,0.0905673215724074
CVIX.Index,1.11486461553187,0,-2.77555756156289e-17,0.0628287535814711,0,-0.61110679138765,0.281782936516779,-0.299216729232736,0.123804102601379,-0.17491219586358,-0.133977463241348,0,0.116424765898682,-0.0161779069962187,-0.270459107654422,0.722592617063856,0,0,0,0.27060099826386
DXY.Curncy,0,0,0,0,0,0,0,0,-0.0245835292165847,0.0023268872525513,0.0674890761634845,-0.0359271793981676,-0.00166259037840325,-0.000421152479022051,-0.0101513185318689,0.0530782560080423,0.025199397019396,0,0,-0.00902813269404712
SPX.Index,0.0334546864369458,0,0,-0.0434968318645941,0,0.0847642575099449,-0.0465195307706837,-0.0234745039854764,-0.0027949647432777,0,0.0503307558889572,0,-0.0366977313508887,0,0,0.090341235871732,0,0,0,-0.0552250154265536
VIX.Index,1.06715840785213,0,0,-1.37903293430791,-0.252802639345479,0,0,1.11022302462516e-16,-0.0054486991112576,0,1.0887813232604,0,-0.123379465139479,-0.0386482299450743,-0.183334093034234,1.23779689874582,0.573291015246985,0,-10.9057392538476,0
