,BTC,ETH,XRP,BCH,LTC,DASH,XEM,NEO,MIOTA,XMR,ETC,ZEC,XLM,EOS,BAT,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0,0,0.425988001500321,0,0,0,-0.0863427881810208,0.0238082239941933,0.191690071481993,0.0787054497987218,0.0939316751306529,0,0,0,0,0.0131490702197165
ETH,0,0,0,-6.93889390390723e-18,0,0.0179872436635933,0.280723146463183,0,0.15257766692532,0,0.140894300474476,0,0.154753935143884,0,0,0,0,0,0,0
XRP,0,0,0,0,0.185060564121284,0.130174178680757,0.128319917137378,1.73472347597681e-18,0,0.0750943470927628,0.00360888261823377,0.0677675201254833,0,0,0.0117232332525027,0,0,0,0,0.0822009411739694
BCH,0,0.902705391602081,0,0,0.289634125610475,-0.453621451619366,0.162414819438013,0.255446602405899,0,0.549113392674788,0,-0.178816917046616,-0.378521610379942,0.0253659947095465,-0.301716971786284,0,0,0,0,0.0250839570721751
LTC,0,0,0,0,0,0.0687817244746865,0.19826397488716,0.126089745769842,0.0251700527042469,0,0.625131892341463,0,-0.0587351407379498,-0.131421911626486,0.0884938353678234,0,-0.258607514564289,0,0,-0.0409466779606779
DASH,1.08162713987975,0,1.21278724624286,0,0,0,0,-0.0670601482016857,0,0,-0.00567025138514797,-0.274312973685048,-0.538431057416326,-0.0976453741109549,0.162890260841745,0,0.113445451231874,0,0,-0.591737974323235
XEM,0.720429229680974,0,0,0.109091569870988,0,0.303529754803078,0,-0.0456935501529122,-0.0694137164583825,0.350084807339361,0,0,0,0,0,0,0,0,0,0
NEO,0,0.197264275348629,0,0.92573324877807,0.761970492091786,-0.466150317382879,0,0,-0.987733152986232,-0.796885605523097,-0.938747489310647,0.592664711617554,0.689190112889273,0.375029755944312,0.663179548845602,0,0,0,0,-0.554989177309786
MIOTA,0,0.219846749910918,-1.99577697674739,0.554341407148939,0.132456421324138,-0.204345794090745,-6.93889390390723e-18,-0.618320681274827,0,-0.0541882143746074,0,0.869663702075114,0.597533106953591,0.0822774448995392,0.636912791974235,0,0,0,0,-0.180756144733244
XMR,0,0,0,0,0,0,0,0.0721847315163145,-0.0126525187004918,0,0.469469128272649,0.20525644646439,0,0,0,0,0,0,0,0
ETC,0,0,0,0,0.911601609357935,0,-0.0213200428772379,-0.107650560123258,0,0,0,0,0.355367124284994,0,-0.0807583761764776,0,0,0,0,0
ZEC,0,0.585881032785927,0,0,-0.236394296401191,0,0.0584017257511853,0.25378378261527,0.135833817216191,0,0,0,4.33680868994202e-19,0.0711804874595226,-0.162449455047102,0,-1.57952263564093,0,0,0.499796571402063
XLM,0,0,1.1266631283891,-0.236875978591323,-6.93889390390723e-18,-0.607740851819213,0,0.0993940257373804,0.065723645380758,0.290732589470834,0.268972233940652,0,0,0,0.23017373442205,0,0,0,0,0
EOS,0.953987615605173,0,0,0.0663077876272919,0,0,0,0,0,-0.18174558161286,-0.124616187226209,0.436192435754391,0,0,0,0,0,0,0,0
BAT,0,0,0,-0.713909927638295,0.238407197420348,0.451772995188187,0,0.59587338799655,0.368789059908465,0,0.384211092277894,-0.91243387846853,0,0.172537999330777,0,0,0,0,0,0.39109563015413
BV010082.Index,0,0,0,0.00287147798593515,0,0,0,0.0131778759055346,0.0088119505069232,-0.137004642363033,0,0,0.0303809768317839,0.0173684991626523,0.0473923029839423,0,0,0,0,-0.0354713516915653
CVIX.Index,0.1757100977702,0,0,0,-0.0744454886017199,-0.0201696229525983,0,0.0868208822822505,0,-0.00268411792097669,0,-0.18620430114207,0.0750014454842449,-0.0933078265574362,0,0,0,0,0,0.0898527727437444
DXY.Curncy,0,0,0,0,0,-0.0165769560831419,0,0,0.000493120620919483,-0.0249002007015487,0.0151840060100034,0,0,0.0240454874682416,-0.0173009432269589,0.186726642490775,0.0326332009612178,0,0,3.46944695195361e-18
SPX.Index,0,0,0,0.00766597169922976,0,-0.0216761402508984,0.0108680616433351,0.0041583902192437,0,0,0,-0.0186469837314561,0,0,0.00466803806119758,0,0,0,0,-0.030397265109529
VIX.Index,0.140045484960194,0,0.102902043045786,0,0,0,1.73472347597681e-18,3.46944695195361e-18,-0.0557766230349531,0,0,0.304635488213793,0.0132619209757477,-0.39664912502316,0.0417139674028692,-0.764831945808961,0.23131235238539,0,0,0
