,BTC,XRP,ETH,BCH,ADA,LTC,MIOTA,XEM,DASH,XLM,XMR,EOS,NEO,BTG,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,-0.037621905379144,0,-0.162111194959682,0,0.102978718670847,-0.0693561597023134,0.14796694187008,0,0.157686737085225,0.339583136944456,0.0854617848041356,-0.0602229047689495,0,0,0,0,0,0,-0.332790202672044
XRP,0,0,0,0.227185786844327,0.138137318656279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ETH,-0.00291147074117118,0.0796318631838661,0,0,-0.116506056142684,0.270834058749985,0.0181175503268865,0.0912675574656118,0.334966843679863,-0.0113350773312744,0,0.283007023890585,0.145264866452407,-0.235353222897061,-8.67361737988404e-19,0,0,0,0,0
BCH,0,-0.0511978018989521,0,0,0,0,0,-0.112182392773592,0.658005645717419,0,-0.746863611704061,0.0295269778571486,0.111031923620525,1.36500436383065,0,0,0,0,0,0.0144987201682214
ADA,0,0.135805003124588,0,0.0681756503001931,0,0,0,0.174435616197926,0,0.48925648046233,0,0,0.604184429659915,0,-0.519041083442077,0,0,0,0,0
LTC,0.579892524704342,0,0.339679961291933,0,-0.0886365570536653,0,0.0450680047696985,0.171732038457488,0,0.00683232487108148,0,0,0,-0.127323522522301,0,0,0,0,0,0
MIOTA,0.359715040660778,0.0814167073945348,0,-0.194781781865015,-0.189969954183209,0.209375675508047,0,0,0,0,-0.167031996060782,-0.363448347195411,0.57117556446544,0,0.967211053088346,0,0,0,0,0
XEM,0,0,-0.512302059865258,0.257331019957892,-3.46944695195361e-18,0.287470467158896,0.0308059282460218,0,0,0.51115980120017,0,0.280133503358998,0,0,0,0,0,0,0,-0.205890080961193
DASH,0.144173629091183,0.0103635435138471,0,0.194282935871894,0.0380002738991719,0.178423313739733,0,0,0,-0.0382384549838901,0.186289564367473,-0.0334722196676638,0.0246613450439753,0.182132492402922,0,0,0,0,0,0
XLM,0,0.096905513303481,0,0,0.313151625645821,0,0.121378688703758,0.182689052363085,0,0,0,-0.103574744097014,0.293277384949978,0,0,0,0,0,0,0
XMR,0.274202303237727,0,0,0.254274092617036,0,0,0,-0.197883165734835,0.222213034403768,0.00461809611203098,0,0,0.206337541982294,0,0.323769996249184,0,0,0,0,0
EOS,0.236731092700285,-0.0583146112029082,1.38956073533426,0.35660868457692,0.172485025271306,0,-0.124873123385067,-0.240902992166215,-0.955466000286062,-0.160019238194801,0,0,0,0.718211636507634,0,0,0,0,0,-0.631682614497477
NEO,0,0.106005464357586,0,0,0,0,0,0,0,0.289692029539874,0.488745591827412,-0.0834480369511088,0,0,0.254105181220335,0,0,0,0,0
BTG,0,0,0,0.213629745553814,0.0271494961523324,0,0.155646289692379,0,0,0,0,0.175922278895477,0,0,0.280834028343549,0,0,0,0,0
ETC,0.314109993790549,0.057088488086149,0.565080070529634,-0.0520040216838866,0,-0.318825656672998,0.110348718244461,0.0633033925626983,0.29172085871053,0.023521034302863,0,0,0,0.240822856593633,0,0,0,0,0,0
BV010082.Index,0,-0.0224694335219508,0,0,-0.0204584974155864,0,0,-0.00510895933570109,0,0,0.0289585226875161,0.00739284416150681,0,0,0,0,0,0,0,0
CVIX.Index,-0.101545552110931,0.0183324807693414,-0.0172429021621621,0,0.0171968418960076,0,2.16840434497101e-19,-0.00145894820656256,-0.0270332913323945,0,0.0387728131837744,-0.0447410532458003,0,0,0,0,0,0,0,-0.131308319102187
DXY.Curncy,0.00953967757223636,0.000656351225151988,0,-0.00376003146694486,-0.0120700528427651,0.00279528271340812,-0.00550255652911353,0,0,0,0,0.00739018120932975,0,0,0,0,0,0,0,-0.00470811148522278
SPX.Index,0,0,0,0.00572056691370415,0.00267264570959681,0,0,0.00576406884204689,0,-0.00893427545714349,0,0.0101544432111416,0,0,-0.0160760746264186,0,0,0,0,-0.0471666004414787
VIX.Index,-0.0522499929125824,-0.0463244521110526,0,0,-0.193451735871976,-0.0320053462226081,0,-0.0556091502292772,0,0.13184182630688,0,0.0361168216074329,0.0128310097632492,0.116416453299456,0,0,0,0,0,0
