,BTC,ETH,BCH,XRP,LTC,DASH,XEM,MIOTA,XMR,ETC,NEO,ZEC,BAT,EOS,XLM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0.0612090135362952,0,0,0.152459787951653,0.173198495024945,0,-0.2041134689967,0.0818567019353312,0.0404150363367577,0,-8.67361737988404e-19,0.0897217191851934,0.24100195769011,0,0,0,0,0
ETH,0.563474869346103,0,-0.113289483946004,0,0,0.0803393232744711,0,0.188427095232973,0.245362521320791,0.0596806473474403,0.0953825821199866,0,-0.0332231149302446,-0.0161342363046397,-0.00501613843957227,0,0,0,0,0.0896687014705588
BCH,0,0,0,0,0.726443626102688,0,0.288053330940194,0,0.344113373896297,0,0.169171573188808,0.380613997236279,-0.504168185658411,-0.00426706276089135,-0.515305208599496,0,0,0,0,0.124892011261359
XRP,0,0,0.0873420692221348,0,0,0.126112796605296,0.141507094122359,0.120119186928003,0.253200253271413,-0.0210238447554651,0,-0.0719277659494611,0,0,0,0,0,0,0,0.0882822344656328
LTC,0,0,0.119827035569805,0.231118488291674,0,-0.0451934352887383,0,-0.0509323551016576,3.46944695195361e-18,0.620653454714424,0,-0.0981192174661785,0.162409574381162,0.025991951644545,0.117792879527235,0,0,0,0,0
DASH,0.578392205927497,6.93889390390723e-18,0.347133875669319,0,0,0,-0.025797001227664,-3.46944695195361e-18,0,0.031242558166262,-0.0624776332792657,0,0.322596265786652,0,-0.23393551026998,0,0,0,0,0.0179068117420223
XEM,0.724115800107946,0,0.138567724001628,0.126117748668716,0,0.324075886170739,0,0,0.340342537655352,-0.153702738122561,-0.0352184132182321,0,0,0,0,0,-0.36392573242559,0,0,0
MIOTA,0,1.37479717001284,0.124375810499495,-0.392867684921946,0,-0.667094747386329,0,0,0,-0.0755827634247986,-0.390840853997761,0,0.268867100607491,0.567176209415727,0,0,0,0,0,0.6402015234563
XMR,0,0,0,0.317524942987225,2.77555756156289e-17,0.28264469026147,0.233204532236516,-0.0974192976279497,0,0.0923326757392743,0,0.0913045174664396,-0.0587480409584313,0.142887405800153,0,0,0,0,0,3.46944695195361e-18
ETC,0,0.766084972515449,-0.0213614241518388,-0.258175868914797,1.26665999922777,0,-0.0811766983333183,-0.160477162345763,-0.457188800408621,0,-0.0794302623844851,0.0300862984948898,-0.068703081705964,0,0,0,0,0,0,0
NEO,0,1.77153942783499,0.776072678075577,0,0,-0.6748391990761,-0.686141943672123,-0.573144283241557,0,-0.42606841106946,0,-0.223701711960059,0.468820346444009,0.408562559676197,0.315365194362826,0.629141416444526,-6.93889390390723e-18,0,0,-0.271041220032288
ZEC,0,0.543010185646623,0,0.477468126116524,-0.491302686365658,0,0,0,0,0,-0.0772189005389737,0,0.21615573893159,0.422629082355451,0.209495673943057,0,0,0,0,0.304742529886033
BAT,0,-0.248097754941331,-0.780981946907911,0,1.14903046974671,0.353643952017918,1.38777878078145e-17,0.383113817163355,0.0602467534110934,-0.317876400902206,0.0656260134039294,0.527960615830771,0,-0.105384030066324,-0.255429051009468,0,0.42582553821214,0,0,0
EOS,0,0,3.46944695195361e-18,0,0,0,-0.0855044617046015,0.607340459333186,-0.220620496879498,-0.251376830683852,0.211737825497442,1.50431314935823,0,0,-0.42819938795116,0,0,0,0,-0.300247275865993
XLM,0.501545160479332,-0.602241642190172,-0.555444100535252,0.464143200600949,0.666327809033396,-0.0561830279753851,0,0.440509758840768,0,0.0421150779672893,0.355793860785786,0.397491684190994,-0.182650918386946,-0.313295108470216,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,-0.0142535797883059,0,0.0862510249640899,-0.0584373737720417,0,0.0576123020729459,0.0981103278929913,0.000799935918008699,-0.0670087148173345,-0.0991495989746171,0,-0.101804348532208,0,0,-0.1459153856815
CVIX.Index,0,0,0.0393508144785492,0,0,0,-0.103602428653868,-0.0413949997528834,0,-0.0265287752616951,0.0386051103403997,0,0.0568876895407438,-0.0927073378245942,0.149747250392778,0,0,0,0,0.0603325504900138
DXY.Curncy,0,0,0,0,0,0,0,0.0156397021408006,-0.0279931249862152,-0.00108415701589081,0.00846886681001056,0.0286814012993387,-0.0213066004910435,0.0137861977288684,-0.0182533753183315,0.0499368629236453,0,0,0,-0.0200221104736135
SPX.Index,-0.0012842940418481,-0.0212781556122371,0,0,0,0,-0.00151098145094144,0,-0.000439609588290505,0.00812707139834275,0,0.0123322384011777,-0.00173897864798359,0.00241091262924271,0,0,0,0,0,-0.0448628003855099
VIX.Index,0,0,0.119108375175251,0.11078045094441,0,0,0,0.137746186878639,0,-0.146156813097186,0.0453939746010732,0.275981745918586,-0.0593777134323641,-0.32766203958961,0,-1.08360880533219,0.503578527785261,0,0,0
