,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,XMR,MIOTA,DASH,TRX,NEO,ETC,XEM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.308565053165771,-0.0951527095478505,0.00528058924545029,0.0956649292495701,0.204378516356119,0,0,0,0,0.0354278931900707,0.00421750331000518,-0.0721971204490672,0.0802551188393331,0,0,0.0452223208848731,0,0,0
ETH,0.0210131960785304,0,0,0.231868135019744,0.189436189737507,-0.147074557113602,0.176188946736752,0,-0.0802044000639698,0.126363412384116,0,-0.0559937988270852,0.107144416555953,0.286565500503491,-0.0939130199090273,-0.271987305436209,0,0,0,-1.73472347597681e-18
XRP,0,0,0,0.133044776893727,0,0,0,0.242687241570049,-0.201661991593796,0.115653747468649,0.101247278281715,0,0,0.423470857696478,0,0,0.122101571662162,0,0,0.0731481125124775
BCH,0,0.542105082642981,0.287066128139743,0,0.0688345617576481,-0.14951810358942,0.39404275560084,0,-0.0491608400696712,-0.0641750242484109,0.0499068116581622,0,0.0149639466362095,-0.0830785912135041,0,0,0,0,0,-0.0478346389434868
EOS,0,0.559216382614114,0.0918151162973735,-0.0141018910957757,0,0.58820139955155,0,2.01027838739621,0.441223289486547,0,-0.0989712383155101,-0.228059287195925,-0.851786414214859,-0.483060767338025,0,0,-0.783090952477002,0,0,-0.0714059885996857
XLM,0,-0.326608055494766,0,0,0,0,0.271792722093782,0,4.33680868994202e-19,-0.00475788892373028,0.12484764448252,0.0633577864646099,0.170375188084253,0.102593218853396,0.0623532677564279,0,0,0,0,0
LTC,0,0,-3.46944695195361e-18,0.26973305265499,0.0158383384691877,0.171210727433877,0,0,0.0381083509644573,0,0.00857632964270804,0.163925853933482,0.107498733611072,0.0661477454553215,0,0,0,0,0,0.104232025043666
ADA,0,0,0.220984340738371,0,6.93889390390723e-18,0,0.312790826786277,0,0.0813901799209525,0.0109088393133163,0.0288479467003916,0.183345066877669,6.93889390390723e-18,0,0.247375293906206,0,0.205614791761481,0,0,0.0194388231275587
XMR,0,0,0,-0.146917398641742,0,-0.233988787142443,0,0,0,0.0706191453993722,0.32645822671457,0,0.189673011846112,0.469675741022689,0,0,0,0,0,0
MIOTA,0,0.0725227914265706,0,0,-0.119664814641637,0,-0.405466323454317,0,-0.257259286812636,0,-0.115434241177878,1.1306822994699,0.39388214350228,0.304340486883341,0,0,0,0,0,0.236187746406058
DASH,0,0,0,0,0,0,0,0.534414609404564,0,0.0584675577673022,0,0.0507820212848632,0.0972260202580309,0,0,0,0,0,0,0
TRX,0,0,0.18506457123608,-0.120486528346772,0.0227294468712626,0.33629192909883,0.417643130188211,-3.46944695195361e-18,0,0.416433836362976,-0.0490387914023672,0,-0.0894177094544001,0.0643922547300425,0,0.767009998764097,0,0,0,-0.181864540051526
NEO,0,0,0.503652374436732,0.0565531711408019,-0.483292907564622,0.147677501548344,0.182108615627547,0.734347890161905,0.445314222736058,0,0.173488690348281,-0.197615825312425,0,-0.348889436701917,0.577142754279081,0,-1.10334246320287,0,0,0
ETC,0,0.994521212130062,0,0.159171852334359,-0.46993105290753,0.336548899603405,0.137653421001966,0,0.0241015256850843,0.148168316951202,-0.127200761159998,0,-0.0902985251375872,0,0,0,1.73472347597681e-18,0,0,0.252482852981979
XEM,0,0,-0.133921802531006,0.277170966260959,0.113662999486989,0,0,0,0,0.137408711031145,-0.0830965458690194,0.168204639158685,0.180081492885528,-0.17472214385592,0,0.491453388419931,0.900254313414941,0,0,-0.102233006656762
BV010082.Index,-0.257876288811334,0,0,-0.0237189958254124,0,-0.115525531112859,-0.110980261863169,0,-0.120825726759153,-0.0696734488662017,0.0961619442261492,0.0848724583211256,0,0.0936443442034574,0.204099253286277,0,-0.083590306513556,0,0,-0.00318660126980297
CVIX.Index,0,0,0.0822564726109176,0,-0.177836988512206,0,0,0.397614941717976,-0.0191712728596119,-0.111232394555235,0.0806679240012361,0,-0.216771174821237,0.0852861462128747,0.335862925343062,-0.281490708463182,0,0,0,0.136519931759398
DXY.Curncy,0,0.0420545611720186,0,0.00663271859770674,0,0,-0.0432896022326567,0,0.0133237535640634,0.00615226134953792,0,-0.0269995070442617,0.0123554650385009,0,0,-0.0678721995295191,0.200369042387125,0,0,-0.0176334819218275
SPX.Index,0,-0.0458162156963241,0.00507121350665875,0,0.029053080445644,-0.0294359411540684,0,0,0,0,0.00533673508318905,0,0,0,0,0,0,0,0,-0.0512894486763515
VIX.Index,0,0,-0.414685950192666,0,0.442565521455302,-0.367287644036691,0.768417479891048,0,0.0720126570001276,0.674198105470077,-0.128248511834915,-0.75023134212869,-0.247124787488849,-0.665620572244676,0,0,1.43994705469837,0,0,0
