,BTC,ETH,XRP,BCH,ADA,LTC,NEO,XLM,EOS,MIOTA,XEM,DASH,XMR,TRX,BTG,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.0968229813136211,0,0.195740837803217,0.0726692459610475,0.0137187163008633,0.114702825954102,0,0.0691774819551576,0,0.124467823386187,0.0372554355356492,0,0,-2.16840434497101e-19,0,0,0,0,0
ETH,0,0,0,0.158330075649807,0,0,0,0.496933914651111,0,0.158345371092804,0,0,0,0,0.0905074722740953,0,0,0,0,0
XRP,0,0,0,0,0.344150863422411,0,0,0,-0.0483579906776489,0,0.113326113998651,0,0,0.100917548871294,0.29651548408235,0,-0.317523184387424,0,0,0.0179949545953221
BCH,0,0.205038728435991,0,0,0,0.0741312447842147,0.0356591412891679,-0.116565121926952,0.0675684653065056,0.263330721699832,0,0.554966726143485,0.302107083674271,0,-0.0714860373165729,0,-0.240738436323057,0,0,-0.12442211022595
ADA,0,0,0,-0.0412207385437232,0,0.570954507474994,0,0.0327534464107766,0.0774940027906492,0.30170540248488,0.0248258887956544,0,0,0,0.0621510169452167,0,0,0,0,0.0332489326510831
LTC,0,0.336695072497383,0,0.191375794649154,0.232664794090678,0,-0.0636448115078272,-0.167138755185696,0.08205045492497,0,0.0279789514458885,0,0.0470028269592773,0,0.0829610564013459,0,0.438182917938287,0,0,0.0365422796610772
NEO,1.69139889885441,0.0833394982524424,0,0,-0.103366768648765,-0.185661806492523,0,-0.0315815479553533,-0.199464635620933,0,0,0,0.117635108191192,6.93889390390723e-18,0,0,0,0,0,0.0817260213633973
XLM,0,0.0673758753443914,0,0,0.598183657138064,0,0,0,0.0557478037001164,0,-0.0130725448178826,0,0,0.241314397793735,0,0,0,0,0,0
EOS,0,3.46944695195361e-18,0,-1.73472347597681e-18,0,-0.353829976268464,0,0.390305144946635,0,-0.0283308459737257,0.135139386858492,0,0.526399355990495,0.18785001878153,0.0976128684642718,0,0,0,0,0.0263613311492397
MIOTA,0,0,0,0.165108450390937,0.0456114291253006,0.463059194836557,0,-0.108492320236615,0,0,0.104688803952893,0,0.211388335817579,0,0.122864589186322,0,0,0,0,0
XEM,0,-0.601955697557848,0.341974383649643,0,0.364898045319956,0.525879955626736,0,-0.421475779917014,0.437319243927155,0,0,0,-0.156635373135741,0.428890872402728,-0.167806164961062,0,0,0,0,0
DASH,0,0.159578901141601,0.119586660710086,0,0,0,0,0,0.145164876909929,0.114964219048254,-8.67361737988404e-19,0,0.510038813019929,0.0441582444580749,-0.0719973051345599,0,-0.284058486243692,0,0,0.0240147410656912
XMR,0,0,0.00851522217714684,-2.77555756156289e-17,0.126579059184601,0,0.14587010920928,0,-0.0588303922194674,0.0421828050596803,0.0553156232133045,0.603753604760076,0,0,0.0344664714796564,0,0,0,0,0
TRX,0.289319855328881,-0.0557752321254591,-0.225555557193624,0,0,0,0,0.176445528197183,0.0131748001804127,0,0.214588278230985,0,0.13699634629306,0,0.564733373408909,0,0,0,0,0.0888315201195473
BTG,0,0.0990045920302721,0.282663468734809,0.489605965928036,0,-0.015404912695279,0.0631091728693933,-2.71050543121376e-20,-0.0443741393295006,0,0,-0.431597359682646,0,0.658227461854974,0,0,0.218389918783523,0,0,-0.0643851162137348
BV010082.Index,0,0,0,0.0376457957989405,-0.122275117519068,0,-0.0245251928705501,-0.028098880986715,0,-0.0175836132977093,-0.0147246157533313,0.151224864885676,0,0.032919454211969,0,0,0.12046698961595,0,0,-0.0543107770642705
CVIX.Index,0,0,0,-0.139344615078693,0,0,0,0,0.039466313422462,0,0.114618257464843,0,0,0,0.0400309619027034,0,0,0,0,0.00951978175070249
DXY.Curncy,0,0.0240872207195503,0.00825363462011776,0,-0.0516179427311696,0.0619348448499146,0,-0.0274157382416884,0,0.0378239571856197,-0.015766623640331,-0.02052483268791,0,0,0,0,-0.0724979735904419,0,0,0.013020326867998
SPX.Index,0,0,-0.0419147889434753,0.043807133795255,0.027614030414537,0,0.0643702811282878,0.00741227405059683,0,-0.016099294963962,0.0159928683761399,0,-0.0455438409528786,-0.0784116057340185,0,0,0,0,0,-0.0458808823112772
VIX.Index,-1.13316748475171,-0.0752466914886583,0,0,0.184235106374592,0.571740894278008,0,0,-0.125077542825333,0.189253008393844,0.288993655488842,0,0,0.272746304661184,-0.17430895887622,-2.64054845651851,-0.588643377244881,0,-4.05826341859949,0
