,BTC,ETH,XRP,LTC,BCH,EOS,BNB,XLM,ADA,TRX,BSV,DASH,XMR,MIOTA,NEO,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.0140441433559814,0.391148630149988,0,0.102143460078536,0.00528517630976319,0,0,0,-0.109794835341352,0,-0.0207671215358168,0.0628481690079958,0.103842489645001,0.167912237924694,0,-0.021968295076658,0,0,0.00401732965751956
ETH,0,0,0.884160169720422,0,-0.0112013648401466,0.194537222191598,0.0577808357397147,0,0,0,0,-0.136725688176527,-0.0251131456095293,-0.0200212296345082,0.13741861287409,0,0,0,0,0.0276396012468725
XRP,0.714343519610671,0.231259705189024,0,0,-0.0965526310917172,0.0152037179439809,0,0.134452891042372,0.0329044694412926,0.0502339150027558,0,0.048806385284337,0.00700746421613079,-0.0211821483494928,-0.175645298901208,0,-0.0614664519489464,0,0,0
LTC,0,0,0,0,0.36682711801738,0.170792804893842,-0.0251507026743523,-0.286343207027441,3.46944695195361e-18,0,0.390330374055773,0,0.0679513045281226,0,0.124421401871027,0,0.0134496657045101,0,0,0.00214788434914078
BCH,0,0,0,1.64780860629435,0,0.10285538370876,-1.73472347597681e-18,0.0643348126794324,0.116630845046732,0,0,0,3.46944695195361e-18,0,-0.461325224991988,0,0.161910090933258,0,0,0
EOS,0,0.283569507992591,0,0.579841708105684,0.0149587955531929,0,-0.0711088794019867,0,-0.0986662127984812,0,0,0,0.311456963618545,0,0,-0.403601570650153,0.114073706057817,0,0,-6.93889390390723e-18
BNB,0,0,0,0,0.0457177926134273,0,0,0.0472821511985032,-0.182888044001524,0.659137623815371,0,0.276987903656345,0.242128267953985,0,0,0.0435498317057994,0.317502645051361,0,0,-0.0795862597785797
XLM,0,0,0,0,0.052454529286429,0,0.0822507922335527,0,0,0.465734917823797,0.336667565399431,0.233891085005929,-0.148349376936277,0,-0.0931079293498035,-0.237905069452451,0.0414059277081946,0,0,-0.199250745164334
ADA,-0.27800497402438,0,0,-4.33680868994202e-19,0.520045674004095,-0.0767113499608283,0,0,0,0.952269998314307,0,-0.301659988894523,0,0.192808648256806,-0.121916407964317,-0.328587226073526,0,0,0,0
TRX,-0.104531465388505,0,0,0,-0.271102902673501,0.338860656455253,-0.126669893301996,0.400881526560058,0.0715056748821186,0,0.49813525042618,0.215187373036915,0,0.0424806865913343,0,0.436603173003352,0.168105388981948,0,0,0.233344649098642
BSV,0,0,0,0.468259761022005,0.00981594607278855,0,0,0,0.0597947838137259,0.0109622624483631,0,0.0388280133559301,0.120903603726062,0,0,0,0,0,0,0
DASH,0,0,0,0,0.0793776095764023,0,0.116068817037212,0,0.0450536400236454,0,0.163198736321349,0,0.20580622205999,0.0353389745107128,0,0,0,0,0,0
XMR,0,0.285237981669523,0.599491292428773,0,-0.0477436146144447,0,0.140532962409132,0,0,0.0447972556682655,0,0,0,0,0,0,0,0,0,0
MIOTA,0,0.121473065381942,0,0,0,0,0.110223383139806,0,0.0837097869635487,0.131717486547202,0,0,0.283987562454388,0,0.0235233274778604,0,-0.0958541853368293,0,0,0
NEO,0.64132392309158,-0.110377672799111,0,0,0,0,0.0600946347198228,0,0.39262790174207,-0.0596185008749948,0,0.580938514245996,-0.327310362390247,0,0,0,0.0175447843278439,0,0,0
BV010082.Index,0,0,0,0,0,0,0.113534699855287,-0.247455044473016,-0.0483557106500916,0,0,0,0,0,0.426638355880729,0,0,0,0,-0.0882600420475469
CVIX.Index,0,-0.581799727636713,0,-0.00876457461559099,0,0.298479051981527,0,0.267871965223915,0,0,0,-0.427059764798224,0,0,0,0,0,0,0,0.102294345244734
DXY.Curncy,0,0,0,-0.00980380400542923,0,0,0.00869358555811355,0.0131146809473124,0.0547589849503044,0,-0.0130764512819471,0.05662831612292,-0.034729632240108,-0.0483613135911413,-0.0212050042828883,0.0665965543121613,0.0270672638785602,0,0,0
SPX.Index,0,0,0.0303871143065139,0,-0.00238469721741501,-0.0165580536813042,0.00513571672719616,0,-0.028371519529307,0,0.0480541051727307,-0.0185957001891022,0,0,0.0346224312499139,0.0502988067104482,0,0,0,-0.0835002716558582
VIX.Index,0,0,0,0,0.203196796693338,-0.294079050488698,-0.127548954868063,0,-0.538403811463476,0,0,0,0,0,0,-0.725078317638081,0.443446657851806,0,0,0
