,BTC,XRP,ETH,LTC,XEM,DASH,ETC,XMR,XLM,DOGE,ZEC,NEO,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0.165890052590737,0.178184389086457,-0.109066352293044,0,0.195403938351227,0.00686847155646565,0.0396336927664118,0,0,-0.0431528447396613,0,0,-0.128425668754874,0,0,-0.194347157329454
XRP,0.823232448125931,0,-0.437238018692602,1.38777878078145e-17,0.772772340707657,0,-0.572654309587077,-0.007801400102502,-0.184179169706562,0.539952178841103,0.885793055908193,0.288617357931828,-0.146056153404631,0,0.776358185952179,0,0,0.650746118303921
ETH,0.629248297865527,-0.319641489924416,0,0,0.240835168725435,-0.488477793175521,0,0,0,0.321611140646903,0.404469843319521,0.334476768585594,-0.279316733830474,-1.91718825603919,0.0681330730556023,0,0,0
LTC,0.590565188821873,0,0,0,0.0582611412778179,0.300217772603632,0.122270633104427,0,0.111243946144979,0,0,0,0,0,0,0,0,-0.246909056330472
XEM,0,0.605109871401798,0.13161157359455,0.14724421155149,0,0.361635475372704,0.700295458567574,0,0.205978276068793,-0.0848596705649231,-1.17766874694769,0.0263330151519464,-2.77555756156289e-17,0,-0.896420169572513,0,0,-0.932463029365652
DASH,0.0846999850351536,0,-0.0521130000596805,0.117491814947506,0,0,0.101523396634052,0.32448007238145,0.00564562112052209,0.205571929588011,0.51292285725843,-0.0915145478978826,-0.204242040511656,0,0.0982392236052275,0,0,0.0236848129874201
ETC,0.294136930998213,-0.264857082139538,0,-0.0890855495811579,0.286235086877317,0.0608639796416011,0,2.77555756156289e-17,-0.0457629973544885,0.328968099378663,0,0.401425803830893,-0.252333600278704,0,-0.107538506541832,0,0,0.202352714350345
XMR,0,-0.0445307005084099,0,0,0.0312082992294311,0.171184847467615,0,0,0.0926527479328382,0,0,0.102392675801317,-0.0460197367603856,0,0,0,0,-0.0780410284774931
XLM,-1.30513616819847,0.352015372628369,-0.49210901597403,-0.244734719640402,0.426470528141147,0.2549400357863,0,1.91503292210902,0,0,0,0.134128492164616,0,0,0,0,0,0
DOGE,-0.246177524950234,0.413634643903687,0.107870491322589,0,0,0.642990721651816,0,0,-6.93889390390723e-18,0,-0.409647190995816,0.0696655877650991,0.383586271310326,0,-0.500582606313019,0,0,0.00522409402431943
ZEC,-0.540026851834881,0.229040251953582,0.331975909677831,-0.146320905585693,-0.14923266674379,0.759348261525766,0,-0.177667627980209,-0.0409716813472796,-0.0938260526279874,0,-0.0480778526685963,0.236038592365184,1.403828409495,-0.236952029343409,0,0,-0.0785524481420428
NEO,-0.700042495033572,0,0.490761139797829,0.197079089755137,0,0,0,0.243688279634957,-0.0573477195071255,0,0.692050881088352,0,0.0923170743539991,0,0,0,0,0
DGB,0.271756893961308,0,-0.423138833648614,-0.0343260731650668,-0.174146709502437,-1.16953748035925,-0.147010767639157,-0.691265466882355,0.0721679539829702,0.932833201125118,0.93816660651767,0.132248647345246,0,0,0,0,0,0.189950411763543
BV010082.Index,0,-0.0564437613345762,-0.144465181171927,0.0918685774005383,0,-0.252097617952513,0.0852050871972599,0,0.0506512749372714,0.0129235312787148,0.305496148745456,0.0435931545380972,-0.0816238280420161,0,0,0,0,-0.115103745288447
CVIX.Index,0,0.269873939373317,0,0.0419573968204421,-0.476885697856757,0.384306434332962,0,0,0.127966132215551,-0.0753667306175789,-0.754457236521666,0.241548170238843,0,0,0,0,0,-0.348191901242719
DXY.Curncy,0,0.00992825267701592,0.00546190694798105,0,-0.0115093721032788,-0.0248204745089522,0.00989895014673261,0,0.00472960178440275,0,0.0131375465357017,0,-0.0116943958610395,0,0.00263927891239168,0,0,0.0230233061059469
SPX.Index,0,-0.00185687215590144,0,-0.00443906618285674,0,1.0842021724855e-19,0.00276160037440765,0,0.00126321954166959,0.00722145985263479,0,-0.00323635558120793,0.00108377104212411,0.0325378780157412,0,0,0,-0.0356698585359489
VIX.Index,0,0.322685572978691,0,0.342547879963458,-0.607863645134047,0,0.785179260022789,0,0.226588237455463,-0.146110131130516,-0.306299641501724,-0.022276098101105,0,-1.69144625015157,-0.874009026658987,0,0,0
