,BTC,ETH,XRP,BCH,EOS,LTC,ADA,XLM,MIOTA,TRX,NEO,DASH,XMR,XEM,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.218856522477,6.93889390390723e-18,-0.0658333506085395,0,0.0682759152150545,0.0274012897851802,1.73472347597681e-18,0.141097793158907,0.186810432583947,0.0186417120090853,0,0,0.0249263790546353,0,0,0.138043991917511,0,0,-0.00518234437453075
ETH,0.766301051162724,0,0.100383299377388,0,-2.16840434497101e-19,0.223209417937603,0.0098585198336232,-1.0842021724855e-19,0.0737313060267939,0,-0.00548289621086894,0,-0.10344383996549,0,0.121018088411405,0,0,0,0,0
XRP,0,0.120369831291279,0,-0.0904315207499763,0,0.190191992719066,0.0879059721282019,0.0493115414533644,0.0954381983828906,0,0.100868086241176,0,0.220927651048795,0.152824918680258,0,0,0,0,0,-0.0594509291625234
BCH,0,0,0,0,0.0245366972052599,0,0,0,0.244151906470181,-0.155853550035265,0,0.202968221689762,0.408274526788342,0,0,0,0,0,0,0
EOS,1.44862878978587,0,0,0.416780753796723,0,0.777447605337136,0.274914989375194,1.6325254709996,0,0,0.461939655444953,0,-0.1660720347088,-2.23208239807674,-0.725377142526799,0,-1.81056941809318,0,0,0.775793621580007
LTC,0,0,0.208274458304051,0.0573102789124543,0,0,0.0871104444876609,0,0.107232223159981,0,0.118045950743171,0,0,0,0.164756788906043,0,0,0,0,0
ADA,0,0,0.448176972425351,-6.93889390390723e-18,0.102279657163995,-0.336156670302853,0,0,0.203399520316916,0.200918492791432,0,0,0,0.35856561934997,0,0,0,0,0,0.110405925972994
XLM,0,0,0.145395714899959,-0.0261067509849796,0.000856003394047524,0,0.188456132633875,0,-0.109992161728195,-0.029867053953255,0.398977915636886,0.152711230865501,0,0.342191837022919,0,0,-0.269004666267958,0,0,0
MIOTA,0,0,0,0,-0.0555937113393742,-0.339953778714154,0.0855128853189031,0.161630538613107,0,-0.223216845274298,0.157551735041382,0.054763588312942,0.190547795358411,0,0.957150848820892,0,0,0,0,0.392415081941948
TRX,1.26424124404278,-0.606427411527617,-0.14146236260491,-0.215580965942581,0.181883078885092,-0.0622875084293137,0,-0.0772608795428894,-0.462907380573056,0,0.304675074559438,0,0.338279244936423,0.533974441510901,0.340445523532625,0,0,0,0,0
NEO,0,0,-0.0173364647235116,0.0368413404924423,0.0617321960434637,0.0904369504937658,0,0.223566312007622,0.110773783973583,0.14607679603514,0,0.203702573467035,0,0.251971874725534,0,0,0.0779804420204162,0,0,0.0563395689436239
DASH,0,0,0,0.401293581117111,0,0,0,0,0,0.00565416164728256,0.125988884530744,0,0,0,0.287640471688029,0,0,0,0,0
XMR,0,0,0.407949442653636,0.169455907324781,0,0,0.0486729421802038,0.0491525697596371,0,0.128170536621423,-0.0950664610302093,-6.93889390390723e-18,0,0.180663825452713,0,0,0,0,0,0.0222656904591714
XEM,0,0,0.0354299289039442,0,0,-6.93889390390723e-18,0,0.131928836440986,0.238540778423595,0,0.111143456111654,0,0,0,0.204948841778338,0,0,0,0,-0.0630970082323966
ETC,0,0.493324492693458,0,0.0253519793314846,0.0652761602743356,0.306631114548858,0.0915250802544745,0.13577241267221,0,0,0,0,0,0,0,0,0,0,0,-0.0080094687411887
BV010082.Index,0,0,0,0,0.0220226480826336,0,0.0159271819207275,0,0,0,-0.00573417803834383,0,0.0252702336482115,0,0,0,0,0,0,0
CVIX.Index,0,0,0,0.040419242273408,-0.0223043379868819,0,-0.121777188474524,0,0.062761089720613,0,0,0,0,0,0,0,0,0,0,0.0315779305087714
DXY.Curncy,0.0200379417805618,0,0.025208016334964,0.0102027164074185,0.000932128483301305,-0.0387770129544285,0.0076016127822865,-0.00999694267992531,0,0,0,0,0,0,0,0,0.0374404303661226,0,0,0
SPX.Index,0,4.33680868994202e-19,0,0.0161497828128468,-0.00115819556568564,-0.0122976285030579,-0.0176090565701451,0,0,0.00585762126420859,0,0,0,0,-5.42101086242752e-20,0,0,0,0,-0.136213375480668
VIX.Index,0,0,0,0.0703829913808058,-0.0464591974189034,0,-0.0732568725301834,-0.255763847344044,0.00824766908323466,0.0840741399209663,0.174919854313353,0.140117597896422,0,-0.0339449709992514,-0.21102825526955,0,0,0,-5.4192959474436,0
