,BTC,ETH,BCH,XRP,LTC,MIOTA,DASH,XMR,XEM,BTG,EOS,ADA,ETC,NEO,XLM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,-0.424420180996355,0.264216839479029,-0.0223574905899009,0,-3.46944695195361e-18,-0.168844145100175,-0.0714166579381986,0.846203585420456,0.104930966621961,0.230545637610372,-0.829066256539021,-0.10202391018,0.483450640925309,0,4.57773780334348,0,0,-0.293277541200842
ETH,-0.0592992794147915,0,0,0,0.124691865848285,0,0.139424011063489,0,-0.0166747181900669,0.435139974751564,0.0919983448392881,1.73472347597681e-18,0.134519115982152,0,-0.00254882188812999,0,0,0,0,0
BCH,0,0,0,0.263939659602813,0.117937932435784,0,0,0,0,0.0991228724496405,0,-0.034227699308688,0,0,0,0,0,0,0,0
XRP,0,0,0.203440930933977,0,0.100515267518045,0,0,0.111463877276969,0.0939161446908563,0,0,0.0813381388295697,0.232606181284843,0,-6.93889390390723e-18,0,0,0,0,0
LTC,0,0,0,0,0,0.00162310473836092,0,0,0.228381186328771,0,-0.0187463976510332,0,0.193583690719763,0,0,0,0,0,0,0
MIOTA,0,0,-0.19430821902533,0,-0.32572670966869,0,-0.0539283459996127,0,0.224817716227376,-0.0309489303097852,-0.199196642797742,0.0793357992504251,0.185681464450878,0,0.810400943077083,0,0,0,0,-0.564821121273305
DASH,0,0,0.0551138829307963,-0.105066985001098,0.247190749398377,0,0,0.242030527520528,0.0171524374547436,0.0605432050949534,0,0.0432580896350701,0,0.196653632153785,-0.0885196637557181,0,0,0,0,0
XMR,0.197922049012138,0,-0.139791510228654,0.306286267429278,0,0.12452780767487,0,0,-0.0352581982549349,0,-0.107708934712839,-0.0430567847431889,0.204221592955879,0,0.199155523719164,0,0,0,0,0
XEM,0.252913802204143,0,0,0.161391538859781,-0.402343508392595,0.234908208956914,0.317880286083395,0.481097246446191,0,0.42485708296417,0.44960353058911,0,0.401111096146843,0,0,0,0,0,0,0
BTG,-0.0739612932647787,0.22173590812722,0.769231936216689,0,0,0,0,-0.059221563127868,0.0206627454319725,0,-0.0514165605527806,-0.0202878865072627,0,-0.0753581346504575,0,0,0,0,0,0.406674211902981
EOS,-0.298315767828429,0.683008185523734,-0.288201097252799,0.485388728723994,-0.553204210251531,-0.317970641991909,0,-0.197526827214671,0.143904675449026,0.0965187698753717,0,-0.0460656931572415,-0.775473630763504,0.770440690754099,1.05337736664497,0,0,0,0,-0.306976790566568
ADA,-0.374245785918305,-0.725519594457315,0.0570498755039845,0.460823918053706,-0.181839542057538,0.265013335632387,0.572626586036845,-0.727199161160543,-0.222410687408853,-0.524911569374998,0.184169723061772,0,1.89401149405648,-0.383341750410489,0.176164592832427,-2.64396954014322,0,0,0,0
ETC,0,0,0.295531270843747,0.136251828286857,-0.14912278780563,-0.0857006992044086,0,0.493694543234932,0,0,-0.141637255157966,0.313759467068276,0,0.265908422905676,0,0,0,0,0,-0.39632419417165
NEO,0,0,0.098696307585001,-0.0340443273450577,0.30045092622351,0,0,0.00906524904398927,-0.0185919101838174,0,0.275053904052554,-0.0369021754233752,0.306895615144238,0,-0.101988380866229,0,0,0,0,0
XLM,0,0,0,-0.311164168624446,0.237660129935708,0.0907073071019575,0,0.478216908779618,-0.00431616130725997,0.0565498145083186,0.322649769109493,0.356605975207564,0,0,0,0,0,0,0,0
BV010082.Index,-0.0534474984331194,0,-0.0725608859326061,0.0735476202443041,-0.0130828428852837,-2.16840434497101e-19,0.0572975911792571,-0.023632846995526,0.000479078229729242,0,-0.0267307791514852,-0.0443247010528923,0,0,0.0798957707837912,0,0,0,0,0
CVIX.Index,0.0425115047411169,0,0.0471211016829184,-0.0440291674881701,-0.0170763636213323,0.00636083444860769,0.0368114141731703,0.0220590365721103,0.016732052626795,-0.0487767023191604,0,-0.00992009983502007,0.0231044125568522,0,0,0,0,0,0,0
DXY.Curncy,0,0.0460526664418787,-0.0259439015291921,0.00240691615330053,0.00174034393347071,0.0168528404023248,-0.0123306880238299,-0.015835725648284,0.00376985354442808,-0.0101618497339018,-0.00264559789572907,0,-0.0147260334019518,-0.0244207431154066,-1.35525271560688e-20,0,0,0,0,0
SPX.Index,0,0,-0.00371518893627647,0.00433806752215638,0.00733811507558809,0,0.00222995553193617,-0.0185489753342797,0,0,-0.000347878624903778,0.00437875470217226,-2.16840434497101e-19,0.00857165679099028,-0.00459292736675171,0,0,0,0,0
VIX.Index,-0.0602195905912209,-0.0242135056407414,-0.0320098572774946,0.0530742289601566,-0.206986470660416,-0.0573198094869054,0.0874570027180334,0.388352538978259,0,0.266779540580967,0,0.177199640812893,-0.428935451320568,0.0517701548182964,-0.0800824779160869,0,0,0,0,0
