,BTC,XRP,LTC,ETH,DOGE,DASH,XLM,XMR,XEM,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.0879007271741311,0.504573360683886,0.332833570823092,0.179715115040331,-0.0894862640841023,0.0896684769283033,0,-0.0744579559835683,-0.0727065053436967,0.130384384077542,0,0.757729809890702,0,-0.0762066890023771
XRP,0,0,0,-0.40382909807567,0,0,0.610015703705001,-0.425580485656143,0.0614209808534339,-0.33907030488488,0,0,0,0,0.389083504010566
LTC,0.669969424595416,0,0,0,0,0,0,0,0.00338458518530906,0,0,0,0,0,-0.0479408062945812
ETH,1.03997046844563,-0.170696538865453,-1.04850761620481,0,0,-0.241375995394115,0.159724108669303,0.192996746754306,0.0944141243823697,-0.0867991360863779,0,0,0,0,0.269212194133657
DOGE,0.567712519553094,0.0824541746181738,-0.39003138564465,0,0,0,0.0235252379126227,0.0583735219709448,0.0743614285394156,-0.219596305564707,0.630913176985541,1.07611927761555,-1.5803282555488,0,-0.124335402922368
DASH,-0.316479522932584,0.0782679397963766,0.279246073269758,0.013185530079748,0,0,0.236220149385761,0.266219203777415,0.0541447837835054,-0.326279846672744,0.462231701254116,1.25913882293184,0,0,-6.93889390390723e-18
XLM,0,0,0.476048457527267,0,0,0.361713073038254,0,-0.398842148157197,0.0316264914126912,0.325081240276825,-0.777536114939144,-1.13215267326037,0,0,0
XMR,-0.252367976662077,0.467528172599604,0.536560142706881,0.685673779551709,0,0.603953907466629,-0.41499766163768,0,-0.175678233475314,0.361773729806297,0.549275388264753,-1.23507605541358,0,0,-0.326329689918458
XEM,-1.30759154339405,0.818925904533609,2.15699904107005,1.2602881411136,0.556081964861176,1.3987033474444,-0.794857835266744,-1.32377879939058,0,1.21350327925991,0,-4.56158656623187,0,0,0.00817527140532642
DGB,0,0,0.447493989243463,0.199931638892468,0,-1.45692178958887,0.478718786084766,0.564595599276875,0.31880811729367,0,0,2.4725779477006,0,0,0.104480665334983
BV010082.Index,0.176348935262712,-0.0562708212862409,0,0.0261622976680085,0,0.0635713542149018,0.0866870938798855,-0.0222435414931797,0.0165733287061918,0,0,-0.313108051513354,0,0,-0.0246139644477389
CVIX.Index,0,-0.0745156591703017,0.0477354549504672,0,0.280288064650716,0.206711228400521,-0.122197789748504,-0.0733978315964195,-0.0180226816931974,0.0871098431783825,-0.695982025148826,0,0,0,0.0691422564553368
DXY.Curncy,0,0,-0.0103700552394498,0,0,0.107831144745992,-0.0803668705145184,0.0261348353287954,0.0109464181103623,0.0531077000734129,0,0,0,0,-0.0371434476948305
SPX.Index,0,0.0117475617515212,-0.0322496421372487,0.0129776688885261,0.0494085849857534,-0.00272631801061685,-0.00992789689397395,-6.7762635780344e-21,0,0.00550635175897624,-0.0885867511189566,0,-0.00114451295720815,0,-0.101251537648194
VIX.Index,0,0.0446792984614449,-0.0608689321364553,0.118353536888724,0.126360401196818,-0.0485800802690636,0.0379139085952111,-0.0178358965868176,-0.0164308761238763,0,-0.70479003560594,0.207279625630634,0,-9.24581891318988,0
