,BTC,ETH,XRP,BCH,LTC,DASH,XEM,NEO,MIOTA,XMR,ETC,ZEC,ADA,BAT,EOS,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.208861704507734,0,0,-0.138555884486167,0,0.372742369696702,0.132428229685089,0.0953464342263856,0,0,0,-0.0825836364808538,0.0460551165674611,0.047174534674972,0,0,0,0,0.118146067008868
ETH,0.135180825970455,0,0.35216716909014,0.0575384452250002,0,0.146661408523552,0,-0.0351371826871082,0.163821938005199,0.270344162586915,0,0,0.0159632931092051,0,-0.013862497838235,0,0,0,0,0
XRP,0.0724224823959658,0.354412065470299,0,0,0,0.0909480303865185,0,0.0847572255877382,-0.13448380595905,0.0307602703816203,0.129872012360502,0.0147187068374226,-0.13954369170317,0,0.00799136140266678,0,0,0,0,0
BCH,0,0,0,0,0,-0.216266894763959,0.394875172599719,0,0.199189896319028,0.969262040964417,0,-0.152272402690393,0,-0.517674098483573,0.165608691321329,0,0,0,0,0
LTC,-0.303312988006058,0.0515556355884346,-0.0261767445257593,0.00516768789425519,0,0.178945589760097,0.255792501773804,0.222394942189572,0.0568261482948152,0,0.559971349114691,-0.0536416102582989,-0.0872016298536761,-2.16840434497101e-19,-0.0544010651646072,0,-0.360706540809081,0,0,0
DASH,0.23375565960444,0.149607657427006,-0.0585234327747614,0.242834252542883,0,0,0,0,0,0,0,0.0270734017363409,0,0.221981289241095,0,0,0,0,0,0
XEM,0,-1.38777878078145e-17,0.309991041162509,0.248858701328662,-1.38777878078145e-17,0.142664289444692,0,-0.112644250958837,0.610175728836398,0.130518179704737,0,0.172773617707284,0,0.00318033750025594,-0.167791108293932,0,0,0,0,0
NEO,0.40814342940437,-0.0602510626108312,1.23001798472856,0.369729896355125,0,-0.473765883488058,-0.132349852085919,0,0,-6.93889390390723e-18,-0.513398851218522,0.623517338336405,0.454011199546725,0.499174604682258,-0.371652325858816,0,0,0,0,0
MIOTA,0,1.12919238013928,-0.260521415893643,0.108990889358447,0,-0.251451906214068,0,0.186228247660735,0,-0.521279194767575,0.0483958468747614,0,-0.242576013911401,0,0.387245374384382,0,0,0,0,-0.444846164907197
XMR,0,0.874025886417728,0,0.0450625702557722,0,0,-0.1225812281071,0.157523173643859,-0.438206644095809,0,0.228945900594745,0.0571961015281281,-0.289659577667506,-0.0483128331184241,0.167315308038395,0,0,0,0,-0.152904547913756
ETC,0,0,0,0.049212849554187,1.41460550272627,-0.25225651485327,-0.0710068104155339,-0.242433204305501,0.0277179521788903,0,0,0,0.0399113318207184,0,0.016241074291592,0,0,0,0,0
ZEC,0,0,0,0.151878772914946,0,0.234679154136753,0,-0.204244419353936,0,0.284492176140617,0,0,0,0,0.347131136460478,0,0,0,0,0
ADA,0,2.45892399288301,0,-0.0171121893324034,-0.142190419246109,0.666562829105031,0,0.618573778947236,-1.03245758931834,-2.00335936326108,0,-0.0240493698692781,0,-0.488706945766864,0,0,0.528941398695454,0,0,0
BAT,0.104781849587142,0,0.427193285358776,-0.758437924992283,0,0.259840033469649,0.195839511900059,0.300734321856513,0,0.776898264210492,0,-0.262631117877988,-0.386271709695371,0,0.188170902454537,0,1.81571689002076,0,0,0
EOS,0.00879607447313077,0.307847558900326,0,0.216513980639106,0,0,0,-0.0621832232475868,0,-0.356846425719047,0,0.843824558165261,0,0.198824325015714,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0,0,0,-0.0487108536998937,-0.00177433057930399,0,0.053468294832283,0,0,0,0,0,0
CVIX.Index,0,0,0,0.0544816206148543,-0.268101321443856,-0.0328116331274239,0.0825877846055786,-0.0640353938537154,0.149619043048027,-0.0344634196548616,0,0.0611840096654833,0.0875874610891941,0.143342455342764,-0.164346007196974,0,0,0,0,0.310315254713059
DXY.Curncy,0.0135299466033765,0,-0.0178348549836255,0.00792770736443685,-0.014135239660232,-0.020782434952418,0,0,-1.0842021724855e-19,0,0,-0.0105907086661301,-0.0260513725235777,8.67361737988404e-19,0.0211898523576138,0.00827046802619118,0,0,0,0.0567960241750838
SPX.Index,0,-0.0193418894649499,-0.0223643793548792,0,0,-0.0297026704765664,0,-0.00220131291029391,0.0139511811059391,0.0249355898742376,0.0132213793355338,-0.0111990135259933,-0.00426957200132704,0.014872799714885,0,0.0691604819312279,0,0,0,-0.0204784689320205
VIX.Index,0,0.258418209215451,0,0,0,0,-0.105679125440905,0.0614823442457843,-0.0371684897183019,0,0,0,0,-0.0331378858032822,0.026173130550594,0,0,0,0,0
