,BTC,INNBCL,ETH,XRP,BCH,BSV,LTC,BNB,EOS,TAGZ5,XTZ,LINK,LEO,XLM,XMR,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0.13161070345637,0,0,0,0,0.256869555351637,0,0,0.303241692914867,0,0,0,0,0.068687047775009,0.0305588137829654,0,0,0
INNBCL,0,0,0,0,0,-22.1222050520007,0,-15.0515658020966,0,4.67487435314855,0,-2.60158452560204,0,20.5117839261645,0,0,10.0468839220616,0,0,0
ETH,0.219277750249756,-0.00134736757423669,0,0.0873726259990168,0.0495402524812982,0.163208214995588,0,0.0493294448563799,0.211410324441038,0.0203628237288515,0,0,0,0,0,0,0,0,0,0.045557132965599
XRP,0,-0.00276792162634222,0,0,0,0,0,0.231701481391922,0,-0.0155338366735243,0.338984327338925,0,0,0,0.2766725396352,0,0,0,0,0
BCH,0,-0.00306859254240097,0.430052474478153,0,0,0.158615229065032,0.284974877227144,-0.184821773427638,0,0.00477689767906345,0.406743109531926,3.46944695195361e-18,0,-0.301455078019254,0,0,0.0493990043114545,0,-0.272101080504198,0
BSV,0,-0.00540668537384152,-0.100266410452431,-0.242002631496444,0,0,0,0.367066024202367,0,0,0.482866164387734,0,0.244729627769434,0,0.560581455962177,0,0,0,0,0
LTC,0,0.000139000102735764,0,-0.208565066535103,0.219917305133096,0.0746119742962722,0,0.110550564555762,0.127701819427991,0,0,0.0326015395192337,0,0.304616611320176,0.170454137838294,0,0.0338205462333478,0,0,-0.0330473628828942
BNB,0.434847145775424,-0.00725987028271684,0,0,0,-3.46944695195361e-18,0.322433302477281,0,0,0,0,0.21969233821404,0,0.131540634787276,0,0,0.288293574476027,0,-0.261964214973657,0.0632317994225644
EOS,0,-0.00346079690165192,0.711080178105527,0,0,-0.0404546507554256,0.242564116933246,0.0876412447244799,0,0.00126365450876805,0.0576416348986582,-0.125394507270315,0.179645612962523,0.227477963997489,-0.189467775042387,-0.638926327062188,-0.22815675349249,0,0,0
TAGZ5,0,-0.0105494925213569,0,0,6.27299913469597,-0.567959985353679,0,-4.1641796914762,0,0,0,0,0,0,0,0,0,0,0,0
XTZ,0,0.0042950381615203,0.311835947521253,0.00234282630026668,0.0643029237654224,0.312263027271799,0.161181176662763,0.0368664842556334,0.138002181847528,0,0,0.0462580876200349,0,0,0,0,0,0,0,0
LINK,0,-0.00655619065205113,0,0,0,0,0.575854635641476,-0.0912914786990716,0,-0.0381463831794384,0.513050187765111,0,0,0,0,0,0,0,0,-0.00623796733542428
LEO,0.0663676829096164,0,0.0325480704632405,0,0,0.156865137537851,-0.104980184308075,-0.129305945574925,0.237223070511461,-0.0127712949896391,-0.184842038925687,-0.0793137355571617,0,0,-0.0533396144013461,0,0,0,0.219922460910166,0.0240991918423543
XLM,0,0.00359900332817461,0.03301720049535,0.0311473474361138,0,0.237337536856026,0.259891415625244,0.11623672782993,0.0709513386439168,0,0,0.00185155375133926,0,0,0.0301107243882675,0,0,0,0,0
XMR,0.146184425410769,0.000348649585320991,0,0.303953893507046,0.0160754756093036,0.0390956201195965,0.229828390764509,0.324445866225139,0.0908381747432214,0.018231540518189,0,-0.11550104160704,0,0,0,-0.628650862364469,-0.11296962380524,0,0,-0.144888797256186
BV010082.Index,0.397013443070339,-0.00317161095189591,0.184464750916597,0,0,0,0.136329181405489,0.0964575775504236,-0.591000205236581,0.00724171506816478,-0.0556103640688664,-0.0650875431931045,-0.191642914310417,0.188623273054778,-0.25323564449883,0,-0.191558726184955,0,0,0
CVIX.Index,-0.282013927001543,0.0160676212482786,0,0,0,-0.587698063412483,0,0,-0.64851057275567,-0.0645454403984413,0.495084679145662,-0.272183477394425,0,0.623893470580159,1.1154109361126,0,0,0,0.15077497243743,0
DXY.Curncy,0,0.000146473313125341,0,-0.105071807836739,0,0,0,0.0580118639586811,0,0.00196663874230019,0,0.0169566608591201,0,0.0274743008191897,0,0,0.101119096991397,0,0.0144165218792542,-0.018733907308498
SPX.Index,-0.0923088286878531,0,0,0,-0.683036818150853,-0.0194297776000648,0,0,0,0.00811076024409675,0.388273178842846,0.157752236271431,0.926487424908659,0.0690668117218128,0,0,0.041844405696255,0,0,-0.116594321659578
VIX.Index,0,0.0309503904889906,0,0,0,0,0.785105762324315,0,0.792300468808594,0,0.491710368333999,-0.436657963301402,0,0,-1.50588537479806,0,-0.608625343958592,0,-0.642247373725959,0
