,BTC,ETH,XRP,BCH,LTC,EOS,BNB,XLM,ADA,TRX,XMR,DASH,BSV,MIOTA,XTZ,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,-0.0523303181346437,0.687677392215501,0.0455757236417127,0,0,-0.229336339228237,0.803150151613486,-0.587062255982956,-0.0719109839036924,0.00950637273198693,-0.172429537480867,0,-0.0203748932562202,0,0,0.0470330937464761
ETH,0,0,0.312239255691851,0,0.0448078738423079,0,0,0,0,0,0.197704285120862,0,0.101724597459628,0,0.236463072990127,0,-0.0883277428850905,0,0,-8.67361737988404e-19
XRP,0,0.0572246752040276,0,0,-8.67361737988404e-19,0.223583259119682,0,0,0,0.344588199915189,-0.0138357332991172,0,-1.73472347597681e-18,0.172284409592892,0.106250264742703,0,0.0970090186261705,0,0,-0.0212087648348524
BCH,0.502802067066264,-0.508467650357619,-0.147570952272775,0,0.695190763480317,0,-0.105635147871974,0,0.450578652983413,0,0,0.465828550334506,-0.0138900232068418,-0.251077507664048,0,0,-0.290045163606975,0,0,-0.02031924761024
LTC,0,0,0,0.2764369403867,0,0.535762126512839,-0.141822182118111,0,0,0,0.139751653558516,0,0.198599093367241,-0.00689791315789878,0.0945683822196744,0,0.218689792473743,0,0,-0.0587046729939519
EOS,0.0880378727350488,0.0576778028680505,0.258349703766102,0.280380295737114,0,0,0,0,0,0.207292720544679,0,0,0.0366110683528939,-0.108879512982508,0.061330793803094,0.0595541140012521,-0.0722435011154755,0,0,0.0195790811274678
BNB,0.291973903247649,-0.141649986816875,-0.238081893370369,0.0423585524671582,0,0,0,0,0,0.296761568915525,-1.26714382735584,1.59444009081566,0.62268716293373,0.174354684616448,0.13150299096591,5.55111512312578e-17,0.272941962509065,0,0,-0.17940929310182
XLM,-0.0860077537427947,0,0.376594229748703,0,0.0728846524261153,0,0,0,0.295592807916377,0,0,0,0,0.0405252517778086,0,0,0,0,0,-0.0158216782226962
ADA,0,0.444049889840877,0.374425348610392,0.177964763330792,0,0,0.0439965437648256,0,0,0.402101301104059,0,0,-0.181698212956272,-0.0354835931211343,0,-0.108418934430575,-0.0168683453016668,0,0,-0.0407886830684993
TRX,-0.105684425923402,0,0.171987892491478,-0.26238513653382,0.184779854358924,0.304599614149699,0.0773292164903843,0,0.328689018989429,0,0,0.253803998467625,0.245776052753667,0.0169163035791639,-0.100211241052707,0,0.0946531967708639,0,2.03286284974527,0.163713873604367
XMR,0.235590838757426,0.271792846642751,0,0,0,0,-0.10971547230182,0,0,-0.000754260025219318,0,0.454749596865205,0.138387941171841,0.0838716751211235,0.132534433602471,0,0,0,0,-0.0995600859181135
DASH,0,0,0.0862151503665442,0.118340951712689,0,0.30539200377179,0.123734179389282,0,0,0,0.0261641617255612,0,0,0.183092988159821,0.0348070683847279,0,-0.153756275706541,0,0,0.0377996764932608
BSV,0.176660321541953,0,0,0,0,0,0.190115583102605,0,-0.145911037490885,0.417874359234078,0.383027369127645,-0.327431716741262,0,-0.0059010640203146,0,0,0,0,0,-0.0509516824564055
MIOTA,0,-0.0108248905385784,0.859314022249027,-0.023835664125182,0,-0.190259428137174,0.771007698016375,-0.176417396108776,-0.326645938841156,0.314821681649576,1.04898190104561,-1.20902897873305,1.38777878078145e-17,0,-0.176504287880438,-1.34341303760569,-0.553218000340757,0,0,-0.0637977037182671
XTZ,0,1.19966044993242,0,0,0.186973891755537,0,0.312218481193851,0,2.77555756156289e-17,0,-0.00977184070027842,0,-0.0276695403053375,0,0,0,0.165778342781714,0,0,0.031540033047493
BV010082.Index,-0.0385276912271516,0.453350979594221,0,0,0.223010303348074,0.15463883791856,0.060558236627977,-0.141676024988174,-0.344892589541679,0,-0.106956078582581,0,0.0801877684335919,0,-0.117547054013853,0,0,0,0,-0.0436712993292175
CVIX.Index,0.193835440124691,0,0.458431987908362,-0.126609238972954,0.573194430403858,-1.23571196191074,0.353682832215443,0,0,0.378586921898813,0,0,-0.186273367533927,-0.156500290890727,-0.327031274917531,0,0,0,0,0.0558790878342271
DXY.Curncy,0,0.0470206087887,0,-0.00379478871502701,0,0.00967668188448935,0.00671850545725746,0,-0.0261577991843524,0,-0.0381296109172991,0,0.0163029842691655,0.0074498299560322,0,0.0203455062086096,0,0,0,0.00691418276818354
SPX.Index,0,0,-0.0159695459037324,-0.00893810062050979,-0.0012172834885284,0,0,0,-0.0116752786785421,0,-0.0537566692195387,0,0.0268149823507997,0,0.0280236320493905,0,0,0,0,-0.0708438597333952
VIX.Index,0,0,0.513146723093803,-0.179436216776216,0,0,0,-0.47951265990141,0,0.259345124870511,-1.1692637947318,0,0,0.0642311099623143,0.403736183068177,0,0.0525321967558776,0,-5.05516265956468,0
