,BTC,XRP,ETH,XEM,LTC,ETC,DASH,XLM,XMR,DOGE,ZEC,DGB,NEO,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,-0.0390397251857889,0.188979515680933,0.12931126054407,0,0,0.625863658877003,-0.089551703455075,-0.0760008118586417,0.255516593649277,-0.568185918119981,0.0763426597566727,0,0,0,0,0,-0.261548225883669
XRP,0,0,-0.932560805727951,0.0475363719537795,-0.315671190382368,0,0.201668419260621,0.0562164183658761,0,0,0.454989309952933,0.19549040179565,0.44394194275066,0,0,0,0,0
ETH,0,-0.0820365361373427,0,0.0864471897200749,0,0,0,-0.0424644285728902,0,0,0,0.0187814279688627,0.0745109783558486,0,0,0,0,0
XEM,0,0,0,0,0,0,-0.0338849642822968,-0.0532452346082804,0.338470249119883,0.21351317638136,0,-0.026190449333762,0,0,0,0,0,0
LTC,0.302903389459766,-0.126496853353634,0,0.056185922851508,0,0,0.163848254823238,0,0.423855586197631,0.392747253290626,-0.413440856797981,0,0,0,0,0,0,0
ETC,0,0,0.750548264862876,0.191449779436402,0.218116957196162,0,0.0109413961727389,0.0406309399561465,0,-0.20348270095312,0,0.0721986332603672,0,0,0,0,0,0.105169480395472
DASH,0.0630778814889173,0.0671055712405249,0.219131822488669,0,0.135465961656878,0.0263550672374513,0,0.029596158223273,0.482437558831892,-0.0555700176013681,0.308755527759531,0,-0.157702766115931,0,0,0,0,0.0702313188391854
XLM,-0.963688587622447,0.50307480423394,0,-0.218746937858322,-0.352500842226972,-0.0473362552868104,0.286151008087266,0,1.90320074025557,0,0,0.097666436805649,0,0,0,0,0,0
XMR,0.0292969290593414,-0.157658572820755,0,0.155097416288818,0.0347154050444758,-0.0776393537465914,0.448231372359562,0.06189311222592,0,0.0120042861497371,-0.335485303603985,0.00463295123961079,0.193868549208562,0,0.802053683523699,0,0,-0.158628682025958
DOGE,0,0,0,0.372752432021704,0.0813328444250432,0,0,0.163735393048925,0,0,0,0.0536772862588836,0.206966180064596,0,0,0,0,0
ZEC,0,0,0,0.0351349928778515,-0.0238733622277113,0.0366724221349306,0.715424138606578,-0.0375419921025345,-0.510522252158711,0.249910290392106,0,0.0245941570077425,0.0857339433805359,0.449694642369816,0,0,0,0.0320206076896596
DGB,0,0.068886985773457,0,-0.29291344235556,-0.483311065091766,0,-0.148775105690357,-0.0553775341635086,0,0.686841563055255,0,0,0.116851710373947,0,0,0,0,0
NEO,-0.799669589143806,0.0705556433540052,0.347749668570319,-0.107296853971624,0.324039096642409,0,0.207865054085302,-0.0898530592156714,0.238948215611762,0,0.901013667521019,0.0684270703849356,0,0,0,0,0,0
BV010082.Index,0,0.075541027334545,0,-0.0664347685871709,0,0.0770232629215582,-0.108234113388412,0.0292761933372911,0,0,0.136719854875204,-0.0140812292066931,0.0165104735111583,0,0.319605370628461,0,0,-0.0161066448420748
CVIX.Index,0,0,-0.0230444819671139,0.0378755730841137,-0.12556047841222,0.105476694529966,0.0018491772911278,-0.0125649236630778,0.168039054259239,0.0341764232698114,0,0.0348914145480049,-0.0375101648991678,0,0,0,0,0.141046231876106
DXY.Curncy,-0.0206048526078333,0.00023887668543927,0.0134017589288632,-0.000502879207508777,0,0.017200960809313,-0.00139975965149934,0.00375629371858551,0,-0.00816656581177517,-5.42101086242752e-20,-0.0015786318984071,-0.0100941931946726,0.0890369490845676,-0.0656808567919399,0,0,0.00792577775719295
SPX.Index,0,0,0.00809178510048266,-0.00548133118128579,-0.0039103422927806,0.00200967818737275,-0.0056253104039033,0.00390942481932326,-0.000542341476706423,0.00410755974449171,0,0.0035390014981028,-0.00737038406731239,0.0409513540239955,0,0,0,-0.0331400559711218
VIX.Index,0,0.130932564580716,-0.175677515380367,0,0,0.301508564275786,0,-0.0202060771048731,0,0.0734315401170058,-0.064514553996754,0,0,0,0,0,0,0
