,BTC,ETH,BCH,XRP,LTC,MIOTA,XEM,DASH,NEO,XMR,ETC,ZEC,EOS,BNB,XLM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0.015384028569861,0.0391907566984745,0,0.321410028658543,0,0.0737465826533548,-0.00480078898765798,0,0.0424929661608108,-0.23913376651287,0.18146425888495,0,0,0,0,0,0,0
ETH,0,0,-0.0137916728378808,-0.0380252247310102,0,0.157526535439112,0.227526190782774,-0.0807558659686537,-0.00662665957457775,0,0.439256549956,0,-4.33680868994202e-19,-0.0368832170698429,0.0736736695221106,0,0,0,0,0.067959937566433
BCH,0,0,0,0,0,0.298004319999228,0,0.216823373102753,-0.106149184885746,-0.23898800297423,0,0,0,0.00767958177243482,0,0,0,0,0,-0.329701507920249
XRP,0,0,0.0483691229893672,0,0.672988521746087,0,0,0,0.047011350223893,0,0,0,0,0.0750685424836034,0.353960709804388,0,0,0,0,-0.0536022181116412
LTC,0,0,0.0806181831165292,0.0614414996638424,0,0.000562555841687844,0,-0.190063356741101,0.0206140996816407,0.0340239592882584,0.729926196554118,0.163026421885017,0,0.0493770588652196,0,0.982713974957089,0,0,0,0.0463361044949227
MIOTA,0.700684679491306,0,-0.124411609791334,-0.201627595422788,-0.0826931972231196,0,0.590246105319121,0.212980614867676,-0.105990054277283,0.419855106176805,0,0,0,0.206564082056904,-0.649828759942846,0,0,0,0,-0.235989302459989
XEM,-0.222943272961921,0,0.0382005158760772,0,0,0,0,0.395504641136232,0.178534784595248,-0.108686183752556,0,1.38777878078145e-17,0.153849962316986,-0.0627638775179966,0.278530125719886,0,0,0,0,0.163641905057695
DASH,0,0,0.0844287710082755,0,0,0.177772040264657,0,0,0,-0.0145322460132967,0,0.142668585773322,0.219952541541637,-0.0346893216395784,0,0,0,0,0,0
NEO,0,0,-0.23439612799244,0,0,0,0.256760819693021,-0.17316191724366,0,0,0,0,0,0,-0.808817438657556,0,0,0,0,-0.0958352183315879
XMR,0,0,0.044444661062867,0.285305944799695,0,0.136366783236173,0,0,0.0230045032872185,0,0,0.143483925368047,0,-0.0325564924696236,0,0,0,0,0,0
ETC,0,0.103577971394137,0,0,0.45417285296723,0,0,0.0468469329397413,0,0.0208861258600031,0,0.0256243004587809,0.0104319492892425,0.00105723033251379,0.0852281738029402,0,0,0,0,-0.0689025757089481
ZEC,0,0.503728172231815,-0.010254679043927,-0.0771386729065773,0.162895583224614,0.0303960471227884,0.110506199279429,0.088616190875429,-0.00521511458468669,0,0,0,0.00692704662287205,-0.0221014710109736,0,0,-0.917125280601623,0,0,1.73472347597681e-18
EOS,0,0,0,0,0,0,-0.188945087122063,0.103592439850772,0.108489615300516,0.00181372610406796,0,0.292228029032412,0,0.0652797920386735,0.343993233088511,0,0,0,0,-0.0233693393990579
BNB,-2.19477650098584,0,0,-0.0176418784330678,1.06960754751129,2.67032232009074,-0.627527836483795,-0.217563211156962,0.719087253091322,-0.6670097409903,0,-0.965274721298609,-6.93889390390723e-18,0,2.79220396588722,0,0.679683648492483,0,0,0.0744205260453819
XLM,0,0.887480259607065,0.0415446115539575,0,-0.0602508105325014,-0.18210928591472,0,0,-0.0389643817267991,0.312840253070505,0,0,0,0.0519915789866366,0,0,0,0,0,0
BV010082.Index,0,-0.0213981705383793,-0.0106590039859369,-0.0310208014085481,0.0631018033568761,0,0.0636047723831894,0,-0.00926392730498748,0.0309464275470598,0,1.73472347597681e-18,6.93889390390723e-18,-0.00155651774365948,0,0,-0.21085287394827,0,0,-0.0254131771721072
CVIX.Index,0.00760343907666253,0,-0.0130573213468532,0.105482404370484,0,0,0.0913532268947791,0.113846616468249,0.0108579776480414,0.074833798519615,0,-0.0930339554769519,0,0.0248101272582257,-0.142378037812115,0,0,0,0,0.0881173379005326
DXY.Curncy,0,-0.0231633496869666,-0.00244791551297211,-0.00942996969895377,0.0432144824122348,-0.000880941224477369,0.0168893595797131,-0.00132518677941924,0.000615420970441869,0.0128270958978609,0,0,0,0.00445287041313292,0,0,0,0,0,4.33680868994202e-19
SPX.Index,-0.00306377018399576,0,-0.00685131684276588,0.00733359389685319,0,0.00621816923970423,0,-0.0167411359032776,-5.4755342049238e-05,-0.0112688407349059,0,0,0.0143749624332287,-0.00389435091438992,2.71050543121376e-20,0,0,0,0,-0.0409886243521252
VIX.Index,0,0.419793972984941,0.0643413628258108,-0.0709110758245499,0,0,0.451618306587641,-0.27096349542415,0,0.254671355289692,0,0,-0.47432432443617,0.203970414077131,0,0,1.0117560105845,0,0,0
