,BTC,ETH,XRP,LTC,XEM,DASH,ETC,MIOTA,XMR,EOS,NEO,ZEC,DOGE,XLM,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.396176597071274,-0.208800546665718,-0.166539694286603,0.237754192583685,0.224810437948755,-0.125718139331016,0.0545438866412619,0.34180018511147,-0.139019808269849,0.20895384068802,0,0,-0.28345536644985,0,-2.08935211514482,0,0,0,0.0138550224707672
ETH,0,0,0.54899937445462,0.591476325203725,0.225095893451292,-0.0794228423088604,0.254966372081679,0.0673520016226803,0,0.0641743979001177,-0.238205715561346,0,0,-0.103672270461082,0.0707298236467653,0,0,0,0,0
XRP,0,0.324012441481043,0,0,0.421631803475092,0.048772543679489,0,0,0,0,-0.225810210263723,-0.00465322558794621,0.195371637358171,0,0,0,0,0,0,0
LTC,0,0.179173409971496,-0.562314403467525,0,-0.0865054427267754,0.279318502267327,0.162245408653517,0.147476449040776,0.0093966181169258,0,0.255372989025446,0,0.176268759552361,-0.0866713610629022,-0.0469590528852459,0,-1.08880990058689,0,0,-0.0543602804252601
XEM,0.399165517950899,0,0.186272576065662,-0.511300754981443,0,0.635138034016222,0.14800266690575,-0.0108280644789518,0.202291132655988,0.233895094348191,0,0,-0.230241939766771,0.0858479698680154,-0.0816899288238924,0,0,0,0,0
DASH,0.365044883216341,0.00169729657701449,0.105857097886875,0.530966471270443,0,0,0.0894770811414301,-6.93889390390723e-18,0.205877233754386,0.00243116836381706,0,-0.143890186868692,0,0.0656836428659019,0.0309046307821844,0,0,0,0,0
ETC,0,0.222342874990175,0.408481992201808,0.52589220764896,0,0.111458001621064,0,-0.201575059902056,0.2661464368341,0.160385637571527,-0.0975718244548072,0,-0.190028800750706,-0.160129295198159,-0.0128128510936646,0,0,0,0,0
MIOTA,0.25373803749352,0,0,0.319063313352917,-0.149841941001865,0.603451039084366,0,0,0,0,0,1.2947893836512,-0.54657103689692,0,0.132646937754411,0,0,0,0,0.503742728299499
XMR,0.0748359648264924,0,0,0,0,0.405129804230417,-0.0144886390429239,0,0,-0.0363912297380243,0.0965296308179344,0,0.232931738039076,0.179241833555893,0.0150118051053522,0,0,0,0,0
EOS,0,0.658219734105398,-1.15529648002866,-0.834893201001543,0,0.392491445705345,0.349885380794438,0,0.304261971131471,0,0.147718800110924,0.633686815969836,0,0.168751603340112,0.0990202114832302,0,0,0,0,0.309585563378237
NEO,0,0,0,0.833830720120905,0.250420954292841,0,0,0,-0.160610654654011,-0.00375621782107426,0,0.455879512187729,0,0.141184351963446,0,0,0,0,0,0
ZEC,-0.269645771782655,0,0,0,0,0,0.14317313655214,0.219073670908986,0,0.0892818087370627,0.321687734399732,0,0,0,0.0841814471419807,0,0,0,0,0
DOGE,0,0,0.732125722535567,0.400511759860645,-0.0463915828098045,0.173610448930283,-0.371274464954216,-0.27347132258968,0.350040995324268,0.134438189207795,-0.234992800754201,0.609795477618947,0,0.156001722369363,-0.125834052327208,-1.64633020949518,0,0,0,0.271608074237991
XLM,-0.637817826346975,0,0,0,0.346536854932744,0,0,0,0.496956529555698,0,0.436310769459577,0,0.206758410108498,0,0.1235852151377,0,0,0,0,-0.362786740387954
DGB,0,0,0,0,0,0,-0.109279668948753,0.137747286433537,0,0,0,0.574183967851449,0.182899070462251,0.507308126973184,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0378139793607591,0,0,0,0,0
CVIX.Index,-0.0805743719178444,0,0,-0.105010853888314,-0.0606158210511017,0.223071108376323,0.0204038958201721,-0.00346878197632755,-0.00665861877750682,0.0439603278670735,0,0.0878994430656316,-8.67361737988404e-19,-3.46944695195361e-18,-0.0878473045628043,0,0,0,0,0.0665042308033006
DXY.Curncy,0.00102301154051578,0.021441020499756,0,0,0,0,0,0.0112417721110681,0,-0.00990069778852173,-0.00383501712094671,0,0,-0.0250864306164774,0.00538888819547785,0,0,0,0,-0.0392429086387295
SPX.Index,0.0485807499104664,0.00546162996613259,0,-0.0287752812519606,-0.0314705495726057,0,-0.0102870219783281,0.00286533615493479,0.00129297798863258,0,0.00489602165444684,0.00397392583062879,0,0.0161955299439666,-0.0064332304707727,0,0,0,0,-0.0658687446179901
VIX.Index,0,0,0,-0.430811801975526,-0.088947103328523,0,0,0.123153685016305,0,0.375075009836318,0,0,0,-0.301313532885781,0.00862880054448554,0,0,0,0,0
