,BTC,ETH,XRP,BCH,EOS,LTC,ADA,XLM,MIOTA,TRX,NEO,DASH,XMR,XEM,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.0615148203007838,0,0,0,0.269836445264519,0,0,0.0924201587974976,0.0553677358569808,0,4.33680868994202e-19,0,0.0851692189557863,-6.93889390390723e-18,0,0.0805826043837534,0,0,-0.0450106813406294
ETH,0.268814222179742,0,0.580230468366696,-0.0252910380285395,0,0,0,-0.12854773216473,0,-0.0541901375352957,0,0.476928153536312,-0.163170495789482,0.031473356043048,0.020942957279698,0,0,0,0,-0.06119011691143
XRP,0,0.247391754201547,0,-0.0691792099997825,0,0.176066065285181,0.127673250584381,0.0831198850473168,0.0304119137846755,0,0.10518209564512,0,0.244469397761812,0,0,0,0,0,0,-0.0337809043990376
BCH,0,0,0,0,-0.118445916328795,0,0.0114921783908995,0.501030036511882,0.195513211766849,-0.0650037329819023,1.38777878078145e-17,0.351478292012275,0.0421651811331565,0,0,0,0,0,0,0
EOS,0,-0.535889680024793,0,0.205329014836435,0,0,1.49060678031329,-0.175729649663545,-0.037656760506645,-0.644794450343633,1.42561581077174,0,1.2253247518421,-2.34705550257982,0,0,0.526112622870037,0,0,0
LTC,0,0.0335530667592573,0.834356885535896,0.258588188963146,-0.0638782036273557,0,0.00868600374561574,0.0250416603363105,-0.0636435134165376,0.0337673028054398,0,0.0215874172511769,-0.202485836279761,-6.93889390390723e-18,0,0,0,0,0,0
ADA,0,0,0,0,0.11269455701944,0,0,0.371879994496372,0.121498165497848,0.0887386506510319,-0.0779911014532384,0,0,0.282980425064976,0.0284989245781816,0,0,0,0,0.0614796651727844
XLM,0,0,0.0243580847815201,0,0,0,0.346995410382027,0,0,0,0.45414846834425,0.0847369217643257,0,0,0.0116297221529401,0,0,0,0,-0.113876065879059
MIOTA,0,0,0,0.114270589126411,0,0,0,0.458714616498706,0,0.0137709538063218,0,0,0,0,0.304429187037917,0,0,0,0,0.139467513872468
TRX,0,0,0,0.0945990700610838,0.209407287485107,0,0,0.25121073064713,-0.124323220567387,0,0.308576525600498,0,0,0.187195698721507,0.0385694907991929,-1.1290294798167,-0.402954948545876,0,0,-0.0956130432203618
NEO,0.459254650332217,0,0,0.0867507504253642,0.0816876748261118,-1.38777878078145e-17,0.0256411664725356,0.211148522950033,0.0997087261420083,0.104974360486402,0,0.148544539110798,0,0,0,0,0,0,0,0.0896308498842037
DASH,0,0.572749101595445,0,0.374753948016981,-0.0200679794509434,-0.183635372394757,0,0,0.0181354175763101,0.190454612749748,0.0521318802215739,0,0,0,0.00523104389758143,0,0,0,0,0.0305440003740052
XMR,0,-0.257119454587066,0.635287275188469,0.0455857164751685,0.0119155856334525,0,0,0,0.0175547137182042,0,-0.0878971604989709,0.29018410634235,0,0.185453192575498,0,0,-0.0697062327545448,0,0,0
XEM,0,0.36950018371998,0,-0.0800823256407241,0,0,0.160094229993973,0.0843811417240959,0,0.132035391071751,0.083443847157403,0,0,0,0.25819736565567,0,0,0,0,1.0842021724855e-19
ETC,0,0,0,0,0.029868517870952,0.564718884627419,0.0791150298779371,0.106974206079623,0.0491991494410623,0.104005824214537,0,0.249639564817813,0,0,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0.015741211251941,-0.0114127851324506,0.00197518105869626,0,0,0,0,0,0.0231404561647783,0,0,0,0,0,0,-0.0355958850562624
CVIX.Index,0.2561203483722,0,0,0,0.152265732320868,0,-0.263891387686959,-0.0124485133440651,0.100372780401047,0,-0.0322084635110704,0,0,0,0.023365344526873,0,0,0,0,0
DXY.Curncy,0,0,0,0,0.00846080405725402,0,-0.00593471138212613,0,0.0163488983586406,0,0,0,0,0,0,0,0.00175062287755147,0,0,0
SPX.Index,0,1.73472347597681e-18,0,0.001247427818051,-0.00591093758790111,-0.0158062636959887,-0.0203518458046665,-0.0262964261378627,0,0.00634482657925424,0.0278084154976407,0,0.0254151894435817,0,0.00119255868686971,0,-0.0292817476795039,0,0,-0.132974301299862
VIX.Index,0,0.312015649965257,0,-0.0825052237909293,-0.00621561945686763,1.73472347597681e-18,-0.386589576037854,-0.296360126799422,0.139461925646548,0.0594600200884343,0.246171889530837,0.0214233238427933,0,0,0.08739466571351,0,-1.06296311993461,0,-4.53003638964825,0
