,BTC,XRP,ETH,LTC,XEM,DASH,ETC,XLM,XMR,DOGE,ZEC,NEO,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,-0.000991574352108327,0.16992784887595,0.177365244729816,-0.115541750841734,0,0.189644603319932,0.0387360597640177,0,0,0,-0.0406571582263301,0,0,-0.108729978204691,0,0,-0.188141211073922
XRP,0,0,-0.105317633586026,0.104891179434885,0.611695031087871,0.301707555949956,0,-0.00469504333570416,0,0.119529920756516,0.747510569742622,-0.0906682102380522,0,0,0.84192811819428,0,0,0.393702342202757
ETH,0,0,0,0,0,-0.0636453313347577,0,-0.0152287885060698,0,0,0,0.0795407872573109,-1.73472347597681e-18,0,0,0,0,0
LTC,0.613088189411438,-0.0675676989873648,0,0,0.0219321542622949,0,0.199729808095987,0.132708289426279,0,0.16981720059715,0,0,0,0,0,0,0,0
XEM,0.538624727050156,0.54100116216027,0,0.214301355738496,0,-0.109295788431041,0.72134699601611,0.109642333073326,0,0.0614786208179229,-0.59067796706485,0.050724726223373,-1.38777878078145e-17,0,-0.883127967808438,0,0,-0.881758376244862
DASH,0,0.0837316516860961,0,0.12746174878235,0,0,0,0.0467652805915465,0.304017140532051,0,0,0,0,0,0,0,0,0
ETC,0.140774293593344,-0.102479732435904,-0.141590556939901,-0.00758984677987872,0.0844947094362794,0.0724579055598801,0,0,-0.215898269003651,0.230943055940369,0,0.396200694572508,-0.261674644506262,0,0,0,0,0.172859097268502
XLM,-1.26255207857709,0.404555966346461,-0.690102679496577,-0.31946912312468,0.243574648658252,0.0706157487547278,0,0,2.09767067985589,0,0,0.185116572557481,0,0,0,0,0,0
XMR,-0.0387331703895922,0,0.059521175329189,-0.0338372927748447,0.0348144704414034,0.185429394238851,0,0.0892379980839773,0,0.272307345868761,-0.147961516708413,0.076669647144169,-0.285834400777544,-0.975712896050746,-1.73472347597681e-18,0,0,-0.129638133268491
DOGE,0,0.00184616151118497,0,0.15942169330728,0.22960895163356,0.490355579711892,0.34863091419284,0,0,0,0,0.0717667305128413,0.415989854156972,0,0,0,0,0
ZEC,0,-0.00244003868096826,0,-0.124715790583508,3.46944695195361e-18,0.620859958541023,0,-0.0869450473704001,0,0.235497901080463,0,0.0155172340394531,0.115840593089617,0.751651573180746,-0.178730124869159,0,0,-0.0804316264855738
NEO,-1.16278433040538,0.0531948216143686,0.634670135902974,0.42905642066959,0.120126467310312,0.581674853263265,0.166950059924477,-0.0806025906771704,0,-0.272803144191751,0.61109621725352,0,0.354029512277033,0,0.204796064021944,0,0,-0.235209700379132
DGB,0,0.27666257249885,-0.224384969017913,-0.302114876779624,-0.215177477208141,-0.498327450627217,0,0,-1.03744289655283,0.809781125309749,0,0.207141501258752,0,0,0,0,0,0.0714483900312957
BV010082.Index,0,0,-0.076176004082505,0,0.0339689670951348,-0.051790582927987,0.149098605978301,0.0436796254132469,-0.115334980800877,0,0.146643094359574,0.0218840345957054,0,0,0,0,0,-0.167519293832384
CVIX.Index,0.405692035515854,0.395883051492547,-0.382092401864417,0.182141810423023,-0.448795074380652,0,0,0.0753472789495175,0,0,-0.282615884615646,0.14537918725626,0,0,0,0,0,-0.597536844523207
DXY.Curncy,0,0.0156811634588133,0,-0.00123738986822308,-0.00608040690031336,-0.0168785973560034,0.0150612557282064,0,0,0,0,0,-0.00658420647650534,0,0.0058892643990908,0,0,0.0221908762841141
SPX.Index,0.0135513784276243,-0.00635281668805384,0,-0.00968214509365053,-0.000688054675633996,0,0.00122644080646263,0.00512148997556147,-0.00683933084900818,0.00640028458270812,0.00931862467737016,-0.00433399075174999,0,0.04393405709029,-0.00864373667287104,0,0,-0.0359449242635601
VIX.Index,0,0.488128851201094,0,0.272814474354017,-0.807294127814689,0,0.795630415961571,0.162807088614526,0,0,-0.588917125298313,-3.46944695195361e-18,-8.67361737988404e-19,-0.56065176584352,-1.07915350273876,0,0,0
