,BTC,ETH,BCH,XRP,LTC,DASH,XEM,MIOTA,XMR,NEO,ETC,ZEC,EOS,XLM,BAT,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0.12192320550101,0.0477691690884758,0,0.366426804070377,0.0070193883141582,-0.00723519550490315,0,-0.230175838948943,0,0,0.0222339969795971,0,0,0,0,-0.0440931137578519
ETH,0,0,-0.00812838275713724,0,0.0367456955154808,0,0.145326479547563,0.115070076113316,0,-0.118492022512039,0.32766227625853,0,0,0.00714652341808417,0.0580697961860962,0,0,0,0,0.0349585925518629
BCH,0,0,0,0,0,0,0,0,-0.308445159344053,-0.202161227046937,0,0,0,0,0.294426805110681,0,0,0,0,-0.178836519414224
XRP,0,0,0.0035984943988423,0,0.217075024144981,0.254885624662944,-0.95481474232446,0,-0.178399149637302,0.183541923886181,0.566392058082642,-0.217534037367632,0.193381158309361,1.06870975746273,0,0,0,0,0,0.133073802950811
LTC,0,0,0.110975595976865,0.0315142567038769,0,-0.361224760555313,0,0.158612230036293,0.0945443383437085,0.0411994977102163,0.606433964512504,0.211003462742491,0,0,-0.0153138025971371,0,0,0,0,0
DASH,0,0,0.0656670269739438,0,-0.322107356196377,0,0.0597459108339133,0,0,0,0,0.398836970879071,0,0,0.0705003279893331,0,0,0,0,0
XEM,0,0,-0.104975578183299,0,0.0559073607340789,0.634823918193529,0,-0.217662558424926,-0.369974590725788,0.0708069164823494,0,-0.263779107399712,0.357404319281785,0.640098434840209,0.00500178505035355,0,0.0608125327065552,0,0,0.211439688023429
MIOTA,1.54573959043425,0.454523847762341,-0.0327650126427052,-0.189601612154546,-0.123806278807033,0,-0.684737942888236,0,0,0.126909551351403,0,0.359452064097803,0.0477859894933122,0,0.142279677159548,0,0,0,0,0.0243831028152843
XMR,0,0,0.00884057606281941,0.274057840873705,6.93889390390723e-18,0.130083263107886,0,0.0784138755198791,0,-0.00706954525399664,0,0,0,0,0,0,0,0,0,0
NEO,0,0,-0.225346243883542,0,0,0,0,0,-0.0804538994112926,0,0,0,0,-0.652459012860749,-0.0929063552826213,0,0,0,0,-0.0509044512800971
ETC,0,0.293851255764608,0.00789299042564738,0.00807189591214657,0.37383079398082,0.0596868272181301,0,0.0225999611396162,0,0,0,0,0,0,0.0144523896586091,0,0,0,0,-0.0153530620454147
ZEC,-0.539186727147664,0,0,-0.216455598547758,0.0855847882297737,0.489506190373422,0,0.129385097056109,0.204843499608373,-0.0121386370656161,0,0,0.0729760942087188,0,-0.0771881481579091,0,0,0,0,0
EOS,0,0,0,0,0,-0.337561586453166,0.129997189781648,0.0279400966095825,0.0237511322150806,0.0374462359182386,0.111333091983995,0.353123899309315,0,0,0.162591414197743,0,-0.313496329113437,0,0,-0.0867490087144883
XLM,-0.315907056106566,0.430896686608624,-0.0401017105248065,0.477839518511765,-0.258213862000515,0,0.097390835427263,0,-1.73472347597681e-18,-0.160216428894913,0,0,-0.1381243570526,0,0.00714124444908563,0,-0.191579693601054,0,0,-0.00370075165426158
BAT,0,0,-0.0905330509663854,0,0,0,0,0,0,0,0,0.236582775660338,0,0,0,0,0,0,0,-0.164012380910897
BV010082.Index,0,-0.062446969798352,-0.0157462677189822,-0.0145691238634438,0.0246544602396271,0,0.0280794484676502,0,0.0173277175365532,-0.0144133075428299,0.0126743851217833,0,0.0638490687397585,0,-0.00470256198303654,0,-0.193822413319598,0,0,-0.0057502135538987
CVIX.Index,0,0,0.0184254299548655,0.0309942675408372,0.15308180288997,0.124578445841221,0,0.0536009382449879,0.076241009717785,0.0826079906261775,0,-0.174854399791795,0,0,0.018928563107274,0,0,0,0,0.0776115268708817
DXY.Curncy,-0.0253770850968452,-0.0184232896265835,0,0.00166328312119744,0.00484910517323838,-0.0198156100311939,0,0.00771024904908652,0.00268058835457433,0.00268769994615588,0,0,0.0284248063035475,0,-0.00548266527918781,0,0,0,0,0.00801872223657738
SPX.Index,0,0.00861626858282477,-0.0068292747456823,0.000948159187216976,-0.00637158496120229,0,-0.0207473410421575,-0.0052202422490557,-0.0121868065530077,-0.00211523679245829,0,-0.00499212095785454,0.0393315462519649,0.00826413351526745,0.00268595065980671,0,0,0,0,-0.036587120372656
VIX.Index,0,0.144109001413988,0.00055660851172433,0.0856285492874188,0,-0.537074593212775,0.065413955112435,0.195172814170304,-6.93889390390723e-18,-0.0604291338926207,0,0.265243230878725,-0.180852620801732,0,0.244701488469545,0,0.993968191527373,0,-10.7301400061152,0
