,BTC,ETH,DASH,XRP,XMR,ETC,LTC,XEM,ZEC,DOGE,XLM,NEO,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,-0.254638237812628,0.203865254212452,0,0.29719212474817,0.313035932034763,0,0.16226233980823,-0.155608659744391,0.184344211921877,0.319164384492485,-0.395880245608649,0.0876016955924223,0,0,0,0,0.072367958148213
ETH,0,0,0.216802086938183,0,0.997699842254986,0.938305730252203,0,0,-0.0138081601356783,-0.417260707729192,0,-0.798666392541155,-0.20267201447768,0,0,0,0,0
DASH,0,0.184860701029045,0,0.231049934009503,0.224420744386346,-0.154679956467736,-0.366486205290569,-0.104168517010624,0.118744204410375,0,0,1.3208221709831,0,1.77437942615243,0,0,0,0
XRP,0,-0.0817994565093243,0,0,0,0.20113813116271,0,0,0.432680770335765,-0.616853160480434,0.207215370160481,0,0.117632843870428,0,0.171227489779392,0,0,0.295074603437587
XMR,0.702478031057459,0.381489687840808,0.128651235477551,0.00428550663109775,0,0,0,0,0.191156382340629,-0.26391986114047,0,0,-0.370884655515493,-1.11347056733308,-0.174984386605334,0,0,0
ETC,0.141269674381534,0.485611010685922,0,-0.128567841709598,0,0,0.483879509478484,0,0.329642297271409,0,0,0,0,0,0.61036431592785,0,0,0.111632584327872
LTC,0,0.0552617218995719,0,0.0444149664835234,0.0036257505440762,0.099854886443527,0,-0.105834956491553,0.0801134050894682,0.158347880452212,0,0,0,0,0,0,0,0
XEM,0.0345821994468591,0.340156682884216,0.0430121477412922,0.297130211667359,0.0755387663752315,0.682044189394648,-4.8101559507088,0,0.579088831075998,0.607492761899378,-0.00324694450840279,0.218282137713288,0.180483452155497,1.09912188745535,0,0,0,0.135321325619348
ZEC,0,0.0696433590613479,0.125249976931134,-0.0304569148184185,0.327278295560624,0,0,-0.255754910422166,0,0,0,0.200413636301257,0,0,0,0,0,0
DOGE,0.402358704886222,0,0,-0.0270718536853441,0.0353064505689526,0,0,0,0.100211219292039,0,0,0.0117971162528158,0.0194530632511162,0,0.370879877797252,0,0,0
XLM,0.281482731468324,0,-0.199098107805951,0.357828318978023,0,0,0,-0.121798156299339,0,0,0,0.260493951156133,0.508002278420182,0,0.101054241886942,0,0,-0.932390332356436
NEO,-0.00756618478055558,-0.194119034101736,0.16741662499614,-0.109725677509941,-0.052028906897719,0,0,0.157473700328873,0.0353126801735344,0,-1.73472347597681e-18,0,0,-1.72570975242446,0.265458708140409,0,0,0
DGB,0,0,0.292315601201731,-0.0416673416643879,-0.418973721254406,0.497826641499174,-0.485912931686008,0.228877194701035,-0.203666795567953,0.40539452694502,0.335511784605465,0,0,0,0,0,0,-0.361623902007117
BV010082.Index,0.118944531508509,0.00987491119542682,0.0718281215414732,-0.0237934620873288,-0.157809079533787,-0.107511147618008,0.170279150211893,0.0741694147718466,-0.0106959584128875,0.0115778086379374,-0.00760281454055072,-0.205111128993348,0,0,0,1.00925263954517,0,0
CVIX.Index,0,0,-0.187834193341471,0.101025663767019,0,-0.0667622644844862,0,0,0,0.177032054920075,0.181261120457724,0.030939346854799,0,0,0,0,0,0.481452363274205
DXY.Curncy,0.0098797498424103,-0.0193681878911312,-0.00539547289945055,-0.00300383901696689,0,0.0100675194167171,0,0.0124988606107473,0,8.67361737988404e-19,0.0142399093805345,-0.038691248037649,0,0.0529049839769822,0,0,0,0
SPX.Index,0.0058466874615191,0.0112755292014237,0.00318316185141518,0,0.00918389183024576,0.00695694873503962,0,-0.00999653107376955,-0.0153650742586782,0,0.0159546648091553,0,-0.0182345654158964,0,0.0124828015299912,0,0,-0.0814897412229241
VIX.Index,-1.73472347597681e-18,-0.119023632179668,-0.0634063704936826,0.0599878477808199,3.46944695195361e-18,0,0,0.0544215903892407,-0.0597153957490404,0.0437459442381759,0,-0.12396958232604,0,0,0.224970230415789,0,0,0
