,BTC,ETH,XRP,BCH,LTC,BNB,EOS,BSV,XMR,XLM,LEO,ADA,TRX,DASH,LINK,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,1.18050198916912,-0.533035318856719,-0.286025543232301,0,0.231722597800899,0,0.0544850035158838,0.288067074551282,0,-0.362693784043651,-0.0191630905393496,0,0.0315310250906759,0,0,0,0,0,-0.062565717949371
ETH,0.249510232645704,0,0.181626418071507,0.283589712042827,0,-0.0316242321091678,0.111979566608671,0,0,0,0,-0.0118843462163728,0,0.304936512580651,0.0854775323184087,-0.0137605511739988,0.0546182049047118,0,0,0.0203859723101563
XRP,0,0.176724284931595,0,0,0,0,0,0,0,0,0,0,0.5530657209441,0,0,0,0,0,0,0.0495729542243316
BCH,0.199955786648958,0.240392855959547,0,0,0,0,0.177757588464012,0,0,0.0969475445654217,0,0,0.118029743457129,0.0513688566191097,0.0467105519728978,0,0,0,0,0.02112629815376
LTC,0.211196604781412,0,0,0.173460132555872,0,0,0,0,0,0.132809249062476,0.115544414414451,0.519154857973544,-0.0819187784474616,0,-0.24354743523669,0,-0.0139361170051363,0,0,0.0813575266167799
BNB,0.256002850074958,0,0.193394835467166,0,0,0,0,0,0,0,0,0.195868105854099,0,0.0669318117909655,-0.0914504586971394,0,-0.123441181627873,0,0,0.0583447536939805
EOS,0,0.202749521301078,-1.38777878078145e-17,0.14320921285134,0.162005372413143,0,0,0,0,0,0,0.218649470680768,0.164622725573913,0,0,0,0,0,0,-0.0456982474172675
BSV,0,0,0,0.468758682431518,0,-0.129481374771819,0.0498619013715923,0,0.155833477277853,0.134104493820357,0,0.0201528579984609,0,0,0.0401080935034379,0,0.207050410977926,0,0,-0.0430238581110414
XMR,1.17183537080123,-0.860569769744288,0.630666879740682,-0.00453077106541024,-0.223264724658898,0.116835596780687,0.441571562845613,0,0,0,0.38703052094896,0,-0.373810085253854,0.144458294746414,0.275960039833184,-0.104901399127791,0,0,-0.6624266825168,0
XLM,0,0,0,0,0.103262409223776,0,0,0.360459697542375,0.0422127036678088,0,0,0.311134799877401,0.0440234644402923,0,0.0372238570908593,0,0,0,0,0.00523478528964067
LEO,-0.0107594423696216,0.273705374138374,0,0,-0.39256965637994,0,0,0,0.171142027858974,1.11179745159917,0,0,-0.489969728116569,0,0.205787381568068,0.566132877095551,0.260965309215175,0,0,-0.0349196645456469
ADA,-0.333846307608086,0,0.34892242594195,0,0.0797615790443411,0.211534401346328,0.508841629796746,0,-0.191760980330588,0.180328150432207,0.547709241407493,0,0,0,0,-0.0579772590554814,0,0,0,0.0756422978944782
TRX,0,0.80957165286358,0,0.0102340010805332,0,0.330916586766344,0.197572006604792,0,-0.000534455847447812,0,0,0.37620740728867,0,-0.548869846019258,0,0.0720755315063688,0.199662763697925,0,0,-0.021854448450603
DASH,0,0.630837856834533,0,0,0.00567297773317976,0,0,0,0.242416023328333,0,0,0,0,0,-0.115052287628485,0,0,0,0,0.00433054652701937
LINK,-0.0073992249375376,0,0.0612514566191223,0,0,-0.0905964264598157,0,0.203587310293219,0,0,0.678817252111764,0,0,0,0,-0.18473355034591,0,0,0,0.135559817142683
BV010082.Index,0,-0.255192914241547,-0.391074207211086,0,0.521921854718119,0,0.343064629077843,0,-0.503291786303596,0,0.953834502290437,-0.814286344553068,0.787286802580629,-0.276818381280422,-0.248384466356124,0,-0.523052043562911,0,0,0.0141747318952904
CVIX.Index,-0.334605288003578,0,0,0.213373908273539,0,-0.360791265926432,0.14867531146527,0.398102478437152,-0.118940264212537,-0.683824060015879,0,0,0.37393767899428,0.260804811510217,0,-0.326804797814711,0,0,0,0
DXY.Curncy,0.0137900142564788,0,0,0,0.00990861519844076,0,0,0,-0.020054141568025,0,0,0,0.00363256047361212,0,0,0.00744944577200407,-0.0326896425471074,0,0,-0.00658214196742467
SPX.Index,0,0.0810197033502991,0,0.0338759437110945,0.049992278985273,0,0,0,-0.108580764881584,-0.0591129535240673,-0.0553122344253329,0,0,0,0.0327201583371016,0.00830920708757001,-0.0520444244173279,0,0,-0.114928474132741
VIX.Index,0,0.578960429899597,0,2.77555756156289e-17,0.546699577208634,0.113727028180541,-0.334529525373772,0,-0.688591134869485,0,-0.609017981970062,0,-0.131560163812905,0,0.634891513904331,0,-0.139454940514466,0,-7.41188011145789,0
