,BTC,ETH,XRP,ETC,LTC,DASH,XEM,XMR,DOGE,XLM,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0.586126599980995,0,0,0,-0.00818946402945942,0,0.34634658337545,0,0.183728069845001,0,0.0063976043293779,0,0,-0.0524603903616688
ETH,-0.512920733957644,0,0,-0.125009436196745,-0.399873189100007,0.610255217220282,0.241840925952348,0.648506705882275,0.753589668240011,-0.490031002157363,0.460773792708208,0,-0.334564621854619,0,0,0.837112318619132
XRP,0.205198158476846,0,0,-0.0107390717714002,0,-0.0131865468951529,-0.00351045880290372,0.109738275755904,0,-8.67361737988404e-19,0.0268797115704083,0,0,0,0,-0.164986883135329
ETC,-1.89967485315211,-4.02695004917885,-2.25382248979338,0,0,4.68194634756177,0,0,5.39386717547898,-1.86045361398873,0.876825971890076,0,0,0,0,0
LTC,0.600573765562507,0.0473231392440633,0,-0.00013752676776267,0,-0.221095667864522,0,0,0,0.0665097473261496,0,0,0,0,0,0
DASH,0.230873212804244,0.2833173163952,0,0.0273383144593098,0,0,0.00317085360687307,-0.0344272483693603,-0.401426407233234,0.321026047022229,-4.33680868994202e-19,0,-0.535082795175966,0.273607368104259,0,0
XEM,0,-0.0991560526787454,0,0,0,0,0,0.329909473247514,1.33757336577145,0.0944759651116007,0.291180505526561,0,-0.717184778753076,0,0,0
XMR,1.16604439565406,0,0,-0.0912939398680492,0,0.355095644976135,-0.0503377486392356,0,0,-1.38777878078145e-17,-0.0996634699586404,0,0,0,0,0.628511045878796
DOGE,0.35149130529852,0,0.240120141051834,0.00521297816180549,0,-0.105956905309811,0.167086653161776,-6.93889390390723e-18,0,-0.00413557528228691,-0.0271180763320813,0,0,0,0,0
XLM,0,-0.495879255909124,0,-0.0797822043549871,0.949236874458591,0.746714727869277,0.0337792495579861,0.0123097099985432,0.321816575994743,0,0,-1.75472410556754,0.251087456317848,0,0,0.686736042669009
DGB,0,0.584708942067035,0,0.112130772936147,0,0.336403700587988,0,0,0,0.34680086715635,0,0,1.2273599117195,0,0,0
BV010082.Index,0,-0.0533470418456619,0,0.0144593048822618,0.161714936910289,0.0832295159095136,-0.0165214011524481,0.0241575324972111,-0.0731073074311206,0,0,0,0.360052867656249,0.398723716165037,0,0.0519213765771647
CVIX.Index,0,0,0,-0.0148465798310013,0,-0.329494473716467,-0.207199189286978,0.119843037944701,0,0.0851977978167239,0.263778200127096,1.18007783029841,0,0,0,0
DXY.Curncy,0,0,0,0.000485957413070182,0,0.0446856702939852,0,1.73472347597681e-18,-0.0490599589242897,0.0333513018027746,-0.0151096084466801,0.297058878760577,0,0,0,-0.0207641712883428
SPX.Index,0,0.00575548085536428,-0.0431409786457502,0.00106274720130683,0,0.0117806471460403,-0.0165040739298151,0.0170021406003858,-0.0142645189375576,0.00984178526102835,-0.00532992296497297,0.0512573063588254,-0.0187836515342442,0,0,-0.0754236310465476
VIX.Index,0,0.0691845071522269,0,0.0185330094391241,0,0.135807899090076,-0.0592263576592394,0.0328169125548775,-0.469055884902092,-0.0274597423750557,0,1.71036283286666,-0.742956740940206,0,-7.32322145307729,0
