,BTC,ETH,BCH,XRP,LTC,ADA,MIOTA,DASH,XEM,XMR,EOS,BTG,NEO,XLM,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,-0.225005678309734,-0.0619883088701888,-0.108670065928389,-0.118829761614319,-3.46944695195361e-18,0,0,0.33472908488684,0.135139164828317,0,-0.197871328703607,0.740579283814971,0,0,0,0,0,0
ETH,0.0555143396786326,0,0,0,0.308528114464723,-0.0115778342754092,0,0,-0.0608763352948898,0,0.265152940371402,0,0.244054869090823,-0.172181750879037,0.32716159015834,0,0,0,0,0
BCH,0,-0.435915522968121,0,-0.00428010402724699,0,0,0.27594471132984,0.535225713745236,6.93889390390723e-18,0.161725861932787,0.292617460055213,0.698450811830691,0,-0.29952999946829,-0.066465942743258,0,0,0,0,0
XRP,0,0.61837977381515,0.419714810075614,0,0,0.0385837878369645,-0.342176953000436,0,0,0,0.331271259100786,-0.361796971948222,0.134180798559879,0,0,0,0,0,0,0
LTC,0.160345191454103,1.43328171038484,0,-0.0256282255709266,0,-0.046071097361884,0.0818183346136725,0.445069969364931,0.335367361789474,0,-0.117285018165886,-0.112664121069623,-0.107005278275256,0.343049866019656,-1.03348104992358,0,0,0,0,0
ADA,0,0,0,0.134029817204559,0,0,0,0,0.139918243967163,0,0.161978259496457,0,0,0,0,0,0,0,0,0
MIOTA,0.224329900765462,0,0,0,0.197269929751165,-0.160870189257469,0,0,0.131622627490235,-0.247787190478801,-0.093848572946979,0,0,0,1.02906640349163,0,0,0,0,0
DASH,0,0.0237244165827512,0.0438147063120674,0,0.168823858884263,0.0717198522045114,0.0641717081692113,0,-0.0140376990846363,0.291921511251281,-0.174356084905309,0.463869948786964,0,-0.125263933968099,0,0,0,0,0,0
XEM,0,0,-2.77555756156289e-17,0.456120789217107,-0.728331750100559,0,0.855371339615203,0,0,0,0,0.00646687787811592,0.337875657859833,-0.264787285746447,0,0,0,0,0,0.401464064292048
XMR,0.327017767639338,0,0.365401182067242,-0.0167761724800991,0.0763643378383029,0,-3.46944695195361e-18,0.343276292715917,-0.0146853028097462,0,-0.123586624114916,0,0,0.154324484616779,0,0,0,0,0,0
EOS,0.0359479718683673,0.816840651974139,0.0316038065539814,-0.198320484892981,-0.0245450872193318,0.264820186977646,0.0453476704371832,-1.13022640925937,0.034132862384525,0,0,1.22154735694088,-0.182757937238859,0,0,0,0,0,0,0
BTG,-0.184600813883921,0,0.0660754837295635,0.013354060555851,-0.166359814772121,-0.013942134552123,0.0884338687209484,0.705156982169371,0.0447690330782362,0,0.115736011853387,0,-0.197031581572083,0.197485325582145,0.292903487359928,-1.17724430342525,0,0,0,0.660321766518414
NEO,0.234182376035826,0.17555732011922,0,0.118561269406297,0,-0.0878868924658117,-0.395533835559227,0,0.0447126731840055,0.161503977542633,0.126724627696525,0,0,0,0.733889160235809,0,0,0,0,0
XLM,-0.151240504242847,0,0,0.0282345971245093,0.230560866764059,0.466876459037568,0.137299722436203,-0.312915249859716,-0.00416226665409634,0.498211198647433,-0.130841822736518,0,0.100517264433024,0,0,0,0,0,0,0.451456211859568
ETC,0.140488522133633,0.426788225489584,-0.134109840418523,0.056516562152193,-0.281871199733927,-0.0492573404005234,0,0.0739308873872274,0.104697405545721,0,0,0.670215718699488,0.112041237197479,-0.0270240738338214,0,0,-1.00648965516703,0,0,-0.983107017866654
BV010082.Index,-0.0818629855102804,0,0,0,-0.0152228693618402,-0.0318785688994419,0.00780426117854886,0.175894005433116,0.00702752658404532,0.0468139699179884,0.0567657368781762,-0.209555652498091,-0.0419117271849497,0.0506011472334314,-0.00346696301394736,0,0,0,0,0.0552685295764832
CVIX.Index,0,0,-0.0314290947994673,0.0212970471770825,-0.0729524177698072,0,0.0426523013456461,0.0452451358579193,0.0169463964998982,0.0354651122569138,-0.0187042528270818,0,0,-0.0176197075716393,-0.0745576200620185,-0.278856023384408,0,0,0,-0.151573512739612
DXY.Curncy,0,0.0065414693223732,-0.00119669959679647,-0.00452924695829914,0,-0.0039378775532533,-0.0007152986568582,0,0.00129812132429082,0.00660374747271452,0,-0.00783668417388564,0.00279184168269801,0,0,0,0,0,0,-0.0318183365370153
SPX.Index,-0.00689671699265902,0.0141975343904514,0.00663418059699246,-0.00272637587324716,0.00433099012782188,0.0124919319931682,0,0,-0.00145649351754828,0,8.73616901410285e-05,-0.00258433689226383,-0.00505285699280967,-0.0127930773744505,-0.0117332480280274,0,0,0,0,-0.0422739444656777
VIX.Index,0.114355083259598,0.0735047705092173,0.191996623320102,0.0581159243443574,-0.111849010184404,-0.114491344756124,-0.0858049581289107,-0.223049872910977,-0.0195417417916052,-0.192607450371821,0,0.362146603892723,0.278042300822753,0,-0.272722527298407,0.86972625071217,0,0,0,0
