,BTC,ETH,BCH,XRP,LTC,ADA,MIOTA,XEM,DASH,XMR,BTG,EOS,XLM,NEO,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,-0.0455987412890939,0,0,-0.00681974030424444,0,0.0595910941501964,0,0.0376951731019877,0.29069173953796,0,0,0,0,0,0,0
ETH,-1.38777878078145e-17,0,0,0.0348339621107872,0.392694456168304,0,-0.0195176913856573,-0.0209316357941254,0.305150701288247,0,-0.198640834468017,0.268472992406798,-0.0975184874479844,0.130823863616739,0.0674106735247456,0,0,0,0,0.35833768288081
BCH,0,0,0,-0.058483131181184,-0.0721503786943691,-0.00824657683330163,0,0,0.270105063230829,0.246065521778574,0.729752880389685,0.10752595728032,-0.196370225456675,0,0,0,0,0,0,0
XRP,0,0,0.227185786844327,0,0,0.138137318656279,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LTC,0.0848718931546452,1.61647097775142,0.0946055440812022,-0.0835163384793252,0,-0.106689469478726,0.0538302570129321,0.0716852124934667,0,-0.361687149596008,0,-0.251584472773007,0.469716510437036,0,0,0,0,0,0,-0.0676212107398947
ADA,0,0,0,0.134029817204559,0,0,0,0.139918243967163,0,0,0,0.161978259496457,0,0,0,0,0,0,0,0
MIOTA,0.321788061562843,0,0,0.0301515877510811,-0.226008505396517,-0.543141711560434,0,0.103448531158113,0,-0.31268926879065,0,6.93889390390723e-18,0.805304080888348,0.110669539225851,0.947419805104655,0,0,0,0,-0.747738697077193
XEM,0.538888625156598,0.218837947051779,0,0.167239175285117,-0.431078164665971,0,0.299478168037468,0,0,0,0,0.443399426962765,0,0,1.45955021037396,0,0,0,0,0
DASH,0,0,0.126287844405557,0,0.178036665161409,-3.46944695195361e-18,0.00212349977270068,-0.0105407024697153,0,0.0256787857057709,0.417872884561134,-0.0911699315023661,0,0.110058094255573,0,0,0,0,0,0
XMR,0.26096300504557,0,0.32653469390273,0,-6.93889390390723e-18,-0.0126239571036899,0.108977070963506,-0.0368726962866879,0.50122639757017,0,0,-0.215465534057871,0.192949188044661,0,0,0,0,0,0,0
BTG,0.0392209486236013,0,0.473248248488895,0,0,0.0511290171074097,0.0490862879200707,0,0.119832161656629,0,0,0.157994370205892,0,0.123730315823346,0,0,0,0,0,0
EOS,0.128224044897838,0,0.292286350144038,0,0.240074508754522,0.177589278531601,0.259698628394106,0,0,0,0.118140172650866,0,0.184686264640658,-0.294299835442966,0,0,0,0,0,0
XLM,-0.326716921067657,0,-0.263024702471536,0.136681250626175,0.0578167897020976,0.385577555409497,0.262694171918327,-0.0246694366608236,-0.194056289950243,0.734359057865803,0,-0.0928199790390692,0,0,0,0,0,0,0,0
NEO,0.179132719539569,0,0,0.0935464188243534,0.156147746969572,0,-0.150208850376867,0.0239919456230572,0.131003781909939,0.0869770851960433,0.0025938399986641,0,0,0,0.49465185948073,0,0,0,0,0
ETC,0.229609239756344,0.3664550475707,0,0.0530537528746224,-0.264865121084832,0,0.0688223093262292,0.183186686063165,0.463480710470001,0,0.0745700554717517,0.0634232069459682,0,0.0177508504031123,0,0,0,0,0,0
BV010082.Index,-0.0506926578103596,0,0,-0.010253651530163,0,-0.047826346827536,8.67361737988404e-19,0.00296705935843323,0,0,0,0.00395080333524056,0.0477511654490941,-0.0187558393893548,0,0,0,0,0,0
CVIX.Index,-0.00675039019494298,0,-0.0616958631676088,0.0212981034963267,-0.0436422036321822,0.00214608901099825,0.0183773032815744,0.0293471891508862,0.110016301051338,0.0550315438234688,0,-0.0122427981036439,0.00509003611538445,-0.0276144636200679,-0.141049787175761,-0.313081418998536,0,0,0,-0.0878596552749801
DXY.Curncy,0.00092616560013193,0.00602037197216751,-0.00315113166740185,-0.00491185346582319,0,-0.00268212615367414,0.000776156483402872,0,0,0.00980945315862698,-0.0124840712684109,0,0,0,0.00488070832328531,0,0,0,0,-0.0182706376118036
SPX.Index,-0.00724068027918665,0.0126541006206159,0,-0.00211068705878847,0,0.00963677478919952,0,-0.00107474906230406,0,0.000249655148575711,0,0.0083847447164857,-0.0151337614484814,0,-0.0081599032139009,0,0,0,0,-0.0421396687894785
VIX.Index,-0.0625534980765222,0.358610308852529,0.0858125263027253,0.0455912742953024,-0.165756025641098,-0.0581705150581563,-0.0331766444068346,0,-0.352006119385899,0.291453354330207,0.281604113445602,-0.031554367313506,-0.0201719456612648,0.129676282309187,-0.3901157004799,0,0,0,0,0
