,BTC,ETH,BCH,XRP,BTG,LTC,DASH,MIOTA,XMR,NEO,ETC,XEM,EOS,ADA,XLM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,2.16840434497101e-19,-0.110517197193422,0.977990385104012,-0.0141988195191416,6.93889390390723e-18,-0.15412977761646,0.31518944136035,0,0.0072416630230386,-0.154721366022151,-0.4349672616133,0,0,-0.0286648871296343,-1.15603999679217,0,0,0,-0.313708996027087
ETH,0,0,-0.0094854415101667,0,0,-0.2406278317643,-0.0724992783380293,0.00365948148901846,0.128415048041834,-0.00492762577600125,0,0.324680210002875,0.111578820910002,0,0,0,0,0,0,0
BCH,-1.17645825868571,-0.316174114992996,0,-2.23010177239187,0.436845225874775,0,0.323113971606321,0.457092436481053,-1.43936633558354,0.855119623520024,0,0,0.556387569260955,-0.182569743026933,0,0,0,0,0,0.147138088111414
XRP,0,0,-0.0099273626935296,0,-0.00584185989393645,0.307956357414393,-0.0959902746057463,0.0608683279583398,0.0380499474174226,0.0578679490336788,-3.46944695195361e-18,0,0.0343239847846582,-0.0442741299431753,0,0,0,0,0,0
BTG,0,0,1.28978913626984,0,0,1.71602658538459,-0.284750376762171,0.711247495779583,0,0,0.376651282273147,0,-0.535149324703694,0.409188823944313,-0.567487505327354,0,0,0,0,0
LTC,0.166717599879599,0,-0.12355847636653,0.533152318968971,-0.0199496375791136,0,0.196705381976386,-0.0929782251283868,-0.176996087677852,0.099506615305588,0.278117725510523,0.201233909717027,-0.264729708805252,0,0.200156905198529,0,0,0,0,0.221602408366466
DASH,-1.59709304296723,0.676886861131848,-0.0157215757201583,0,-0.108151289891663,0.628591645015616,0,0.589085543365644,0.503542605017447,0,-0.62426284910162,-1.05385702477119,0,0,-0.0824357813112059,0,0,0,0,0
MIOTA,0.429867988950148,-0.758045095650736,-0.0599230752559114,0.61926564860124,0,-1.21474107813462,0.470661209509421,0,0.347151554526248,0.0696231700759566,0.751110050596722,0.833357237458501,-0.0705944492360217,0.251399616785839,0,0,0,0,0,0.836311358816571
XMR,0,0.0317343369117429,-0.0452369514081069,0,0.0261014861756574,0,0.118034506405794,0.0643365735310212,0,0.270935622026601,0,0.47172664915703,0,0,0,0,0,0,0,0
NEO,0,5.55111512312578e-17,0.531034854640413,0,-0.131057188700092,0.789933982045999,-0.497480759947074,0,0.914931505938815,0,-0.694032312164115,0,0.503428732590732,0.213606752200805,-0.386917488064744,2.47033434419925,0.410908312383896,0,0,0
ETC,0,0,0,0,0.144302477037892,0.0614332100262595,-0.3094478342038,0.0261173813998125,0,0.103423797921654,0,0,0.200410797685438,0,0,0,0,0,0,0
XEM,0,0.390716949547935,-0.0781356668458097,0,-0.0231413648042343,0.0319653223076676,0,0.112290830603526,0.0617388730503766,0.115561519023602,0.0550284042731141,0,-0.0531153880768554,0.0952406615180094,0,0,0,0,0,0
EOS,0,0,-0.0435106904926973,0,0,0,0,0.110996701060209,0,0.339717924000211,0,0,0,0.132218784712545,0.0939081413264903,0,0,0,0,0
ADA,0,0,-0.0862976510421409,0,0.0484290171821421,0.219409397931322,-0.0391135567437637,0.0423294338726931,0,0,0,0.524774939696926,0,0,0.207427887611407,0,0,0,0,0
XLM,0,0,-0.0164425208010698,0,-0.0291226309660848,0.317657508143335,-0.0712444950806982,0,0,0,0,0.0205468499238863,0.435077732653303,0.447708482707996,0,0,0,0,0,-0.155451759458286
BV010082.Index,-0.0327317188476021,-0.104555271990727,-0.0680350162825128,-0.13996313414629,0.0188583411630516,0,0.00735896532692103,0.0103456833732731,0.0244814711871944,0.0670130355660259,0.0490825411659475,-0.0169387144632855,0,-0.11454219235367,0.0961828944117784,0,0,0,0,0
CVIX.Index,0,0,0,0,-0.0138892651885665,-0.138661791879802,0,0.042866442135747,0.0142942179115442,-0.0761059993173926,0.0199133419951907,0.0266103378712825,0,0.0147505598602064,0,0,0,0,0,0
DXY.Curncy,-0.0297096901181727,-0.0212458846477237,-0.026865897085942,0,0.000948654327960738,-0.0564438292244141,0.00163452331713444,-0.0163511895010389,0.0339121974515806,0.0123846957867247,0.0235348803689469,0,0,0.00309282964879507,0,0,0,0,0,0.0170800962006148
SPX.Index,0,0,0.00397014162018708,0,0,0,0,-0.00360323051221217,0.0124252976313428,0,0,0,0,0,0.00655679890612257,0,0,0,0,-0.024674564744658
VIX.Index,0,0,0.0826322481037907,0,0,0.324046868343171,0,0.115127651469685,-0.466176243878686,-0.174926489141546,0.0550886563755499,0,0.0312933234533265,0.0343467868253285,0,0,0,0,0,0
