,BTC,ETH,XRP,BCH,LTC,EOS,ADA,XLM,MIOTA,NEO,XMR,XEM,DASH,TRX,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.322720291542035,0,-0.313582592122932,-0.191611998734139,0.0634677175991184,0.00316357780133625,0.0720634865411728,0.15592933644716,-0.134459156539237,0.234286800708755,0,0.343667495580745,-0.0160817346637425,0,0,0,0,0,0.169987561310139
ETH,0.301953476216872,0,0.582820250563033,0,0.153926063779456,-0.0516822049192283,-0.0777424070013524,-0.0874312566940712,0.194228179360822,0,0.0620275515009647,-0.0769314791135703,-0.150783554800902,0.0550030549043694,0,0,0,0,0,0
XRP,0,0.263577143122857,0,-6.93889390390723e-18,0.131525069431657,0.144289566292063,0.166307677275496,0.168645578436204,-0.0643946397496021,0.239122349419838,0,0,0.0784270772469456,0,0,0,0,0,0,0.0365430124470844
BCH,-0.196812168040904,0.428033878210542,0.19161681659205,0,0,0,-0.0925519942189352,-0.00598474169295282,0,-0.0701171066547183,0.0109855188279046,0.123071552930401,0.491976626959248,0.00391583197789425,0,0,0,0,0,-1.73472347597681e-18
LTC,0,0,0.286680772259717,0,0,0.0232217632814179,0.0426326097029719,0.0883287323386575,0,0,0.0243188994852779,0,0,0.0961992473810229,0.266930870159356,0,0,0,0,0.168937276854686
EOS,0,0,0,0.483880238908587,0.585303062926961,0,-0.0620730808850277,-0.384650719876511,-0.0857253858553427,0,0,-0.0861754300512757,0,0.373882224635482,0,0,0,0,0,0
ADA,0,-0.291383666381448,1.15307894011658,-0.426595514091546,-0.257957308215655,-0.220545528466117,0,0,0.340153420127352,0.082511621920415,0,-0.275669563961164,0,-0.083885755821998,0.983838454726935,-1.93137954772069,0,0,0,-0.169062587321895
XLM,0,0,0,0.658511127774071,0,0.0297681749167681,0.180629669790967,0,-1.38777878078145e-17,0.05468450280409,0,0.401144326329415,0,0,0,0,0,0,0,-0.287636750313811
MIOTA,0,0.437525265213987,0,0,0,0,0.210756416443466,-0.0942062303459884,0,0.0631831341647518,0,0.494180715955464,0,0.0574912096803274,0,0,0,0,0,-0.152563375372576
NEO,0,0,-0.267885744915237,0,0,0,0.00708368089375107,0,0.143880088222962,0,0,0,0,0,1.1811429296402,0,0,0,0,0.106661940488578
XMR,0,0,0.107517886349128,0.416450198972463,0.143880959154772,0,0,-6.93889390390723e-18,0.169825355013581,0.03895652806247,0,0,0.0409786438633921,0,0,0,0,0,0,0
XEM,0,0,0,0.380537166141006,-0.309747152531428,-0.0510807025564681,0,0.694698135519482,0.234977494938512,0.216412780078931,-0.866867591498687,0,0,0.186027440863261,0.370147651515964,0,0,0,0,0.0438397626033246
DASH,0.903172195567352,-0.385439211910429,0,0.427840140276169,0.196555188676069,0,-0.00867894230039538,0,-0.0996717130732708,0.200534840438939,-2.77555756156289e-17,0.11443523779629,0,0.0660746157346975,0,-0.190545633901794,0,0,0,-0.0464397707238591
TRX,0,0.451189502965307,-0.933679691433736,1.36696250802722,0.329156488329492,0,-0.318235125433524,0.278894836055822,0.854424301347504,0,-1.91503847727154,-0.43248918448296,1.39526767101828,0,0,0,0,0,0,-0.213322816618322
ETC,0,0,0,0.139320498611698,0.190039010403502,0.139787166255734,0.0426126592715491,0,0.12676610586405,0.0788475774954162,0.261492683819203,0,0,0.0136987313215552,0,0,0,0,0,0.023005869683773
BV010082.Index,0,-0.0688491403168295,0.253317960722751,0.0500362147556187,-0.139634371704925,0,0,-0.0149217932568279,-0.0530912615477843,0,-0.0362692097428672,0.0040807057587632,0.0107747420237363,0,0,0,0,0,0,-0.065521740559931
CVIX.Index,0,0,0,-0.118877513471357,0.0387040787841344,0.0115611971720044,0.0962454459738081,0,-0.0432469364681555,0,0.187087260735405,0.126020803381889,0,0.00221311161678515,-0.272253638817428,0.582917771207784,0,0,0,0.0284943167219054
DXY.Curncy,0,-0.0485067454625957,0.0773540681657162,0,-0.0362609967061036,-0.017249447463813,0.00307485753126356,-0.0384933795001314,-0.0191625388659222,0.00630928316116495,0.0219809042494151,0.0340342131431146,0,0.00173939275690681,0,0,0,0,0,-0.0103533235383687
SPX.Index,0,0.0442797991641266,0.0277560363844326,0,-0.00641292267686271,0.0247580417318308,0.0309254445780661,0,-0.125811556179033,0.0242512510875462,0,0,0,0.0125474629291297,0.0170963545326202,0,0,0,0,-0.138570191672909
VIX.Index,0.6065110620891,0,0,-0.0998353499254376,0,0.0657278089399666,0.287899419909007,0,-0.884803863231734,0.385780925401552,-0.1048228523374,0.0507367310840404,0,0.0986544660785195,0,0,0,0,-4.4236271270548,0
