,BTC,ETH,XRP,BCH,EOS,XLM,LTC,TRX,BSV,ADA,MIOTA,XMR,BNB,DASH,XEM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,-0.17073679890257,0.200719995876462,-3.46944695195361e-18,0,0,0.113356319604266,3.46944695195361e-18,-1.73472347597681e-18,0,0,0.0297300352994537,0.11004566369489,0.219515434034397,0.24653149575635,-0.179351944230176,0,0,0,-0.0418650328100285
ETH,-0.915186004883914,0,1.19247744562946,0,0.300442816004679,-0.520585504409978,0,0.0667315187923778,0.172701737422512,0,0,0,0,0.360175465645796,0.106168474700323,-0.262097218925964,0,0,0,-0.109631362035781
XRP,0,0.140779658483524,0,0,0.163817671689591,0,0.261595790581023,-0.0355827132877978,0,0,0,0,0.0252247796032902,0,0.251526192918355,0,0.246348891350603,0,0,0.0342120037134176
BCH,0,-0.192101150420636,0,0,0,-0.14878935347831,0.287010123914187,0.223696360720779,1.07039457692818,0,0.373587519798717,0,-0.382429468608814,0,0.0456295843013108,0,0,0,0,0.190318085104376
EOS,-0.592627696072481,0.122787464617632,0,-8.67361737988404e-19,0,0,0.379831750476883,-0.258919632181659,0.0425029449061295,0.848985876747446,0.201249661369506,0,0,-0.0525107795556364,0,-0.540761826497071,-0.00238067272452907,0,0,-0.0923980622982171
XLM,0,0.133979576214679,0.288897265898247,0.0311003510641546,0,0,0,0.0880144513102343,0.028409063098931,0,0,0.140388922701548,0.0903281927221267,0.0809633466099169,-0.0607562551346127,-0.17084684927951,-0.147296026100745,0,0,-0.0549255954809541
LTC,0,0.217423891685605,0,0.0655333978433169,0.21522114661781,0,0,0,0,0,0,0,0,0.144364754204756,0,0,0,0,0,0
TRX,0,0.0976364884603517,-0.302374808681944,0.144828703622077,-0.19084332195858,0.964382655284905,0.0258553126408913,0,0.310985419926491,0,0,0,0.104805896102956,-0.648879046702555,0.561915218698149,0.468389964545661,0.911246505395887,0,0,0.100346340531075
BSV,0,-0.135213493634509,0,0.19228778930599,0,0,0,0.445391957399207,0,0,0.266423460570123,0,0,0.288739799250546,0.0335300062357783,0.106476117462515,-0.357720567083902,0,0,-0.131206271389368
ADA,0,0.205639751857313,0,0.0209335380856147,0.163838642246769,0.220633749567218,0.109314761042158,0,0,0,0,0.298083965196681,0,0,0,0,0,0,0,0.0112772013321799
MIOTA,0,0.29831000783745,0,-0.0230256490590321,0.302272626533359,0,0,0,0.442146011752008,0,0,0.172855429386116,6.93889390390723e-18,0.145803199387996,-0.517266859944852,0,0.466780762343825,0,0,0.0743277514619239
XMR,0,0,0,0.0509539699165398,0,0.140934595435997,0,0,0,0.485703535965939,0.0595875190627888,0,-0.13619129035029,0.304385826430007,0,-0.164837083137844,0,0,0,-0.0640274642265908
BNB,0.959979453158,0,0,0,0,0.342537321088925,0,0.23433762162152,-0.506195750300551,0.351490879953479,0.383603233025496,-0.425497178087286,0,0,0,0,0,0,0,-0.0154615416815211
DASH,0.680126267178142,0.167222502280541,0,6.93889390390723e-18,-0.0643432141144968,0.464731017355542,0.207741931389122,-0.311030518658002,0.0644974146389372,0,0,0,0,0,0,0,0,0,0,0
XEM,0.340946592408497,0.10600497781268,0.154429108715305,0.0904644072458682,0,0,6.93889390390723e-18,0.20523189453463,0,0.0715181030813636,-0.2302322795269,0.111162680717768,-0.0802441897535998,0.0783434045539711,0,0,0,0,0,-0.00938565858041403
BV010082.Index,0,0,0.207197568796077,0.0517297817986766,0,0,0,-0.21650685765475,0,0,0.065663441973671,0,0,0,0,0,0.328162237846446,0,0.788650893614736,-0.0735216626637552
CVIX.Index,0,0,0.00280356452104099,0.0723563713303954,0,0,-0.0464408215488949,-0.103644829294091,0,0,0.0186100305903304,0,-0.140166510589608,0,0,0.389039755718766,0,0,0,0.102536461032992
DXY.Curncy,0.114278537116863,-0.00266127995248864,-0.0273977919920597,2.16840434497101e-19,0,0,-0.0362095765162316,-0.018674003193791,-0.0197173492974804,0,-0.0107361403532035,0,0.000864331987947648,0.0138912488077093,0,0.0277932198070933,0.0269023873387186,0,0,-0.0100028640965047
SPX.Index,0,-0.120626555412797,0.118508075001932,0,0.0197793168453361,0,0,0,0,0,0,0,0,-0.014555534924137,0,0.0851043320423257,-0.0843977643302865,0,0,-0.131347775738147
VIX.Index,0,-0.174355707119794,0,0.340781365110859,0,0,-0.969438339487987,0.426019689779013,-0.507120999658469,0.218784338284539,0,0,1.02084860571336,0,0,-1.38777878078145e-17,-0.77702549861294,0,-2.16030164476867,0
