,BTC,ETH,XRP,BCH,EOS,XLM,LTC,XMR,ADA,DASH,MIOTA,TRX,ETC,NEO,XTZ,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,-0.327144218317692,0.0535675698393468,0.270880534529938,0.129449262364248,0.194166563502361,0,0,0.0368439449367527,0,0,0,0,0.0174591543271621,0,0,0,0,-0.112829660845803
ETH,0,0,0.293329669663268,0.11018111905894,0.114149409267383,0.0112716586550008,0,0.0374307989321792,0.188927237292324,3.46944695195361e-18,0,0,0.0563176744732071,0.0989221747447817,0.252277489645092,0,0,0,0,0
XRP,0,0.141942877277037,0,0.140030456976314,0.091855571470647,0,0,0,0.143532274614152,0.0946545162339648,0.109618643577432,0,0.0831809866066057,0,-0.095359468051413,0,0,0,0,0
BCH,0.304375631201834,0.433931624047494,0,0,0,0,0.31393676079585,-0.0672382112984552,0,0.118579046646327,-0.0327236639424902,0,0,0,-0.147767081279621,0,0,0,0,0.0791050779522476
EOS,0.731879540807638,0.309359040038993,-0.160319807811411,0.0358638343853787,0,0,0,-0.0595064952355397,0,0.0338309420730385,0.734326067885309,0,0.228042776824629,-0.20426803780932,-0.0686201722864119,0.432438259956056,0,0,0,0.293100700226401
XLM,0.297028756037884,0,0.127478437468165,-0.036324948561303,0,0,0,-0.0833025531128316,0.156216942264856,-0.151243015957144,-0.0466529771107141,0.476614459728314,0,0.279496336841213,-0.0791582247046135,0,0,0,0,0.0407010217144642
LTC,0,-0.121807904988794,-0.083680950246263,0.330458686700898,0.0818611009101511,0,0,0.114896609770501,0.273965755139494,0,0,0.23526112790543,-0.0196246896777619,0.00443731553306789,0.10879988150685,0,0,0,0,0
XMR,0,0.372499404430684,0,0,0.136453974265564,0,0,0,0,0,0,0,0,0.294388255284751,0,0,0,0,0,0
ADA,-0.142124454999695,0,0.304418682006534,0.24000345414626,0,0.0733789858795427,0,0.137193714995122,0,0,-0.1441901241985,0.288030395419465,0.264865827464278,0,0,0,0,0,0,0.136087409338408
DASH,0,0,0.0893557655133209,0,0.245764114087214,-0.122582170419906,0,0,0,0,0.696649050086746,0,0,0.0423095305935108,0.120328475168577,0,0.237082960846478,0,0,0.204471229541147
MIOTA,0,-0.200717176156575,0.265312856388241,-0.396987140978282,0.381147143448741,-0.126431224899039,0,-0.13133024957948,-0.348804219199425,0.111433079749521,0,0.808353859281564,0,0.550297031926716,0,0,-0.388238127365643,0,0,-0.200834485292548
TRX,0,0.249556948229401,0,0,0,0.350849535018426,0,0.0647425806764341,0.165929570560503,0,0.263265821666856,0,-0.167244239036638,0.0321242911443947,0.107714051529314,0,0,0,0,0
ETC,0,0,-0.00442000999148362,0.210723578164239,0.0620400661129838,0,0,0,0.322562627074093,0.094507649339441,0,0,0,0,0.0996065844981265,0,-0.639459268059246,0,0,0.0354712622796028
NEO,0,0,0,0,0.0146475308009382,3.46944695195361e-18,0,0.225694432240602,0,0.132004450556241,0.470627212363669,0,0.14053112483413,0,0,-0.364052244974842,0,0,0,0.0966046981947029
XTZ,0,0.271737690518028,-0.210033884909749,-0.159891368214262,0,-0.288718704242557,1.14184244573785,-0.0705197318317252,0,0.0540669914965704,0,0,0.0903043952486888,-0.0328400576253049,0,0,-0.539685421601218,0,0,0
BV010082.Index,0,0,0,0,0,0,0,-0.0157522617172327,0,0,0,0,0,0,0,0,0,0,0,-0.116964947996986
CVIX.Index,0,-0.0834936117983833,-0.129221587560115,0,-0.113002190267468,0.107038295584702,0,0.201389555064058,0.568843761697267,0.0945927982942018,-0.12331605035721,0,-0.565734872578832,0,-0.0764252463693751,0.56359040727405,0,0,-1.03071525933739,-0.10690558956315
DXY.Curncy,0.0338164048153535,-0.00428271899620404,-0.0164525943555028,0.00793838247172036,0,-0.00865576853098428,0,0,-0.009790703814581,0.00626526529820536,-0.00598744152297722,0,-0.00627919759519201,0,-0.00105070873563981,0,0.11723993686075,0,0,0
SPX.Index,0.00713409725249251,-0.00648423069530099,0,1.0842021724855e-19,0,0,0.000549205964789223,0.00485410586272504,0,-0.0160226426800384,0.0160806704190691,0,0,0,0.00388808921650434,0,0,0,0,-0.0358992333850968
VIX.Index,-0.325656801974744,0,0,-0.402063442995337,0.4099003244376,-0.649324262579476,-1.15367814551944,0,0.946749960313761,0.263549950542549,0,0.355458706984028,0,0,-0.020519081974384,-1.78006729044385,0.278634607239281,0,0,0
