,BTC,ETH,XRP,BCH,LTC,EOS,ADA,XLM,NEO,MIOTA,DASH,XMR,TRX,XEM,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,-0.0916502126033791,0.0460546270360148,0,0.13093401800326,-0.0374539198786538,-0.0304369694266574,0,0.216656473746848,0.250261973468847,0.193507303451643,-0.0302944879831664,0.0871141154081238,0,0,0,0,0,0.0476798109922973
ETH,0,0,0.10082429044165,0.132824119284676,0.185117170610918,0.131017119811827,0,0,-0.370132493993911,0,0.314779564289785,0.234707035796697,0.0566062511053116,0.0987631280866976,-0.027432607387462,0,0,0,0,-8.67361737988404e-19
XRP,0,0.253092572034457,0,0,0,0,0,0,0.129806297270726,0.00474382458646401,0,0.220756900930293,-0.203305772520841,0,0.280485568626548,0,0,0,0,-0.115458410104937
BCH,0,0,0,0,0.71702390590495,0,0,0,0,0,0.0907170306618712,0,0.130519213853687,-0.019361605951709,0.0863085438803148,0,0,0,0,0
LTC,0,0,0,0.160082587320389,0,0.167620914674824,-0.125044881151884,0,0,0,0.395907404661839,0.207907331231252,-0.125731112904226,0.0730292019676322,0.0598472691545314,0,0.107879066655077,0,0,0.0907692893788096
EOS,0.768791115809045,0,0.406096943062496,0,0.107240481852911,0,0,-0.427842118560863,0,0.119669595776755,0,0,0,0.141927734649576,0,0,-0.320793945366621,0,0,-0.059818947659548
ADA,0,0.353685322629566,0.273986091132833,-0.247903778419294,0,0.593016990546252,0,0,-0.12477405978029,0.169752355030862,-0.419716909914067,0.513270455580381,0.302179596107591,0.454704299788013,-0.234268152111489,1.46157703718102,0.657861008799178,0,0,-0.0897491749529157
XLM,0,0,0.427111441999022,0,0,0,0,0,0.323820566472376,0,0,0,0.0952311870456244,0.157775982959043,0,0,0,0,0,0
NEO,0,0,-0.366697321449389,0,0,0,0.0616216504571174,0.585749433090626,0,0.00345665697678724,0,0.236203566305997,0.0265648010314114,-0.089421576715462,0.342132742753335,0.21000017530939,-0.492036692477371,0,0,-0.0569978210179936
MIOTA,0.228579587763771,0,0,0,0.17438689283339,0,0,0,0.405047166416948,0,0,0.0208999111668636,0.214489960726393,0.0704025357527441,0,0,0,0,0,0.0489103397076223
DASH,0,0.919433119420056,0,0,0,-0.0120945679594466,-4.33680868994202e-19,0,0,0.142843073455207,0,0,0.122025595540884,-0.0168721442051473,0,0,0.0298794723636538,0,0,0.0964824441322427
XMR,0.875597150702354,0.572736575332544,0.292622269831332,0,0.209612407859658,-0.324476834802745,0.37977728573652,0,0,0,-0.122721479787,0,0,-0.323719352294711,-0.165818870894186,0,0,0,0,0.0317163923803933
TRX,0,0,-0.166427597591262,0.457919323453091,0,0,0.070038869122205,0,0,0.1793151494193,0.329835452208565,0,0,0.0662057659750498,0,0,0,0,0,0
XEM,1.66380337270626,0,-0.174006482677957,-0.0354929625651214,0.629930449648378,-0.500634485772638,0.310519366782146,1.19607625016522,-0.371996754482581,-0.295846748961523,0,-1.47447429278239,0.185427399802543,0,0.196663750289666,-1.40842755556309,-2.24617324021017,0,0,-0.204453733110556
ETC,0,0,0.68196524038196,0.2767110847192,0,0.120512364003572,0,0,0.425743862570399,0,0,-0.550171735301748,0.123940113495499,-0.0342719492965626,0,0,0,0,0,0
BV010082.Index,0,0,-0.101598613449852,0.121622039427966,0.100935758603393,-0.0895841937361384,0.179854088843487,0.097300943133478,0.00718891400131871,0.107431262807566,0.0985478795185376,-0.233885713036261,-0.191591954437852,-0.107782745609124,0,0,0,0,0,0.0144397439665885
CVIX.Index,0,-0.150335945841986,-0.193007716464967,-0.00625667783624743,0.191216696382763,-0.133805827240013,0.105085063674748,0.348772534257035,-0.165747266959128,0,0.249718509947633,-0.286572878103578,0.0306371434826341,-0.329456005783993,0.261212867533913,-0.608256376694745,0,0,0,-0.0626299213822459
DXY.Curncy,0,0.166425100245743,0,-0.00200828094176352,0,0.00576373660910327,0,0,0.016012366665438,0,-1.73472347597681e-18,-0.0728716040967844,-0.0186512756226244,-0.023075244214624,-0.0184596759008685,0.0205237701235924,0,0,0,0.00352496130454433
SPX.Index,0,0,-0.0211562988697654,0.0401557669929702,0,0.00737766184986844,0.0128646543386406,0.0327998133080623,0,0,-0.00326168875226894,0.0176401293390137,-0.0735985748596188,0.0155858936376753,-0.00263442157005097,0,0,0,0,-0.0611180841088
VIX.Index,0.606597845239166,0,0,0,-0.292820120069393,0,0,0.146738272463416,0,0,-0.185405681214943,0,-0.038139722082158,0.0540027576177467,0,0,0,0,-4.53455224161171,0
