,BTC,ETH,XRP,EOS,LTC,BCH,BNB,XLM,ADA,TRX,BSV,XMR,MIOTA,DASH,MKR,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.0954919636056724,0,0.0755356900084304,0.0369396075537135,0.0246014486417599,0.0309552540356847,0,0,0.21723012290678,0.0926562301048807,-0.0565323888153299,-0.053389011237335,0,-0.0112865020209365,0,0,0
ETH,0,0,0,0.123809647130589,0.153828015668555,0.236782533148521,0.00513352209042409,-0.0687527122523906,0.0840069249901969,-0.0770454983453518,0,0.279018204478463,-0.0915286955982443,0.0242120380966014,-0.136009462467539,0,0,0,0,-0.0237865348706406
XRP,0,0,0,0.0935026435233586,0,0.0898682107710094,0.00495278866424511,0.0671295919529377,0.0481266571416862,0,0,0.111819482265762,-0.0260876377063116,0,0,0,-0.0276988736395482,0,0,0
EOS,0,0.297549447440002,0,0,0.22708784757561,0,0.117482783690685,0,0,0.303682742185042,0,0.204849347632297,0,0,0,0,-0.0694580474261685,0,0,-0.0404752191931718
LTC,0,0.99569762312864,0,-0.0656078036164997,0,0.053831917990477,-0.0391697293262694,-0.086248415735513,-0.0604011857799176,0,0.50484470589886,-0.226351175139803,0.0455180859006178,0.30425691562286,0,0,0.0186286562378354,0,0,0.0424432111078576
BCH,0,2.12380303552232,0,-0.161159309143903,0,0,0.11072789149485,0.119369955096209,0.0963575223874248,0.30732471420836,0,-1.07987051976224,-0.0445525684819643,-0.0591345763997907,0.433662747339346,-0.0709067870518778,-0.143697725523917,0,0,0
BNB,0,0,0,0,0,0.476405445469858,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.227448132089914
XLM,0,0,0,0,0,0.286092306037811,0,0,0,0,0,0,0,0.298984470861559,0,0,0,0,0,-0.0267022534768387
ADA,0,0,0,0.210908230424164,0,0.679415734826761,-0.0380363967942848,-0.0703080329144091,0,0.268670970943472,0,0,0.382548790127541,0.36063178227114,-0.289796395490052,0,0.671394139497138,0,0,0.219169300373697
TRX,0,0,0,0.169588592811252,0.0249127824015023,0.0782521644325044,-0.133274993692421,0.107616808912145,-0.0901756691664364,0,0.81862717517417,0.0938523942568267,0,0.0878543060081024,0.0502860961612448,0.0864138775955062,0.181033406459971,0,0,0
BSV,0,0,0,-0.0286839355240823,0.415198931532793,0,8.67361737988404e-19,-0.0204570383192507,0.070280986268296,0.0900142437671938,0,0,0.164835014368481,0,-0.0272146214236438,-0.0129518862711079,0,0,0,-0.0251918547134357
XMR,0,0.472293111574926,0,0.0388624815806233,0,0,0.0679527596008505,0.16593678102383,0.0606335984415169,0.000363712609097722,0,0,0,0.0445299899921006,0,0.0748137382631019,-0.0211840663602076,0,0,1.73472347597681e-18
MIOTA,0,0,0,0,0.0942162526044155,0,0.103121477083733,0.102275623341308,0.212943511572358,0,0,0.342516706010693,0,0,0,0.3192710430131,-0.203246877972199,0,0,0.0300906567949591
DASH,0,0,0,0.0952659912393722,0.366618650890254,-0.250495175454503,0.285612334084784,0.158905115316356,0.316660318843309,0.485362548678751,-0.67274388990129,-0.240647895867027,0,0,0,0,-0.231069540025343,0,0,-0.157249576176851
MKR,0,0,-0.304919769597155,0.300592239085837,0,0.24243684181624,0.0742489994663486,0.0749626938787986,0,-0.0471631820928918,0,0.15848959918149,0,0,0,0,0.00354228792638203,0,3.47833709213093,0.414764573409964
BV010082.Index,0,0,0,0,0,0,0.156717657901209,0.176056838260577,-0.164377442423459,0,0,0,0,0.110749107760864,0,0,0,0,0,-0.0028655359431526
CVIX.Index,0,-0.733003498904483,-0.973433740933342,0.0760223927345011,0,-0.113279266996029,0.198622000892684,0.0558550173902228,0.296389311059926,0.446706888042743,0,0,0,-0.355140618895612,-0.363424332338011,-0.114122009594233,0,0,0,-0.183939558398502
DXY.Curncy,0,0,0,0,0,0,0.00784610621479265,0.0094033193186521,7.43634958826475e-05,0,0,0.0270729563609345,-0.0742877974891743,0,0.032508482590153,0.00826731713189714,0.0104714387272857,0,0,0.0104099463281822
SPX.Index,0,0,0,0,0,0,0.00532100127579401,0,-0.0324457634956592,0,0,0,0,0,0.051420859629157,0,0,0,0,-0.0888736458420805
VIX.Index,0,0,-0.929276414791222,-0.317636098792805,0.145481002096103,0,0.115469947931026,0,0,0.391893413943943,0,6.93889390390723e-18,-0.165253582340524,-0.455613248085118,0.38076193342365,-0.195639937857324,0.10801821513084,0,-4.70976216748977,0
