,BTC,ETH,BCH,XRP,LTC,DASH,NEO,MIOTA,XMR,XEM,ETC,EOS,ZEC,ADA,XLM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,-0.153582584533177,0,0.36158979813631,-0.25956194159511,0,0.0970358882818031,0,0,-0.119438229187297,0.19044974253966,0,0,-0.357074458996529,0,0,0,0,-0.181917409606279
ETH,0,0,-0.0155372233396373,0,0,0.0758741647801765,0.0635930570929588,0,0.103854304886634,0.0130125298183095,0.106924457918208,0.0816016000552345,0,0.13398812778504,0,0,0.140556390665724,0,0,0
BCH,-2.17185633078077,-1.01672636331277,0,-0.635087996658232,0,0.449316523554091,0.310464492804124,1.36206057943958,-0.911829700741108,-0.425584793315054,0.480156920609568,0.286337230796162,-1.62485524033319,2.77555756156289e-17,-0.367082579874201,0,-2.98579290192315,0,0,-0.461919929899471
XRP,0,0.175875609660986,-0.0685254301188898,0,0.248842883932624,-0.00652827045716631,0.119246400345279,0.0926292677732936,0.0112569778248041,-0.110193879049038,0.0312966885614563,-0.0433284887642739,-0.169916336995623,-0.0728796173139218,0.112394200470507,0,0,0,0,0.08295509179824
LTC,0.169785704502571,0,-0.0407152593993737,0.539817132506888,0,0,-0.0673636577131687,0.00475027436636257,0.0198312148347451,0.0991690716646184,0.0545512962351161,0,0,0.0364877017131841,0,0,0,0,0,-0.00734282983023846
DASH,-0.749111710275145,0,0,0,0,0,0,0,0,0,-0.165898337907182,0,1.1740345454069,1.38777878078145e-17,-0.42809954905654,0,0,0,0,0
NEO,0,0,1.73472347597681e-18,-0.333212468702117,0,0.0770373376439264,0,0,0.447474902391007,0,0,0.192273724564564,0,0.12496107457391,0.20939573705655,0,0,0,0,0
MIOTA,0,0,0.188682800344392,0,0.087575593235268,0,-0.0576372197837322,0,0.330194474801788,0,0,0,0.314559080562899,0.186908659577379,0.333948420563585,0,0,0,0,0.239887787327045
XMR,0,0,-0.099613453943979,0,-0.121132617364191,0.195995177696912,0.234033349616513,0.0298218353310175,0,0.278828121754067,0,0,0,0.175483266928181,-0.0875050229540959,0,0,0,0,-0.144581338909008
XEM,0,0.678333467372301,-0.0583566329419195,0,0,0,0.0144693662851205,0.0999529385327638,0.0468981081082667,0,0.021297451708395,-0.120247080291938,0,0,0.147475586836792,0,0,0,0,-0.219128906465709
ETC,-0.68672985195104,0.743685967058402,0.0876143603422877,0.522458989282833,0,-0.580611754503509,0.00665449458611859,0.240181701065993,0.106451980872534,-0.427802240027767,0,0,0,4.33680868994202e-19,0,0,0,0,0,0.061086302351484
EOS,0.829967812828236,2.83106517846399,0.0903423799208841,0,-0.827057962713533,0.304285885438131,0.344694505180495,0,-0.84833767989243,3.46944695195361e-18,-0.0402438480930471,0,0,-0.744204799349926,1.01348424547742,1.02964043518615,-1.48226397209507,0,0,1.12659664252958
ZEC,0,-0.498464632059532,-0.160967483033286,0,0.233261965413076,0.389714217485031,0,0.257943231399901,-0.0682047323168343,-0.230751162921191,0.201752075854631,0.0523486587837329,0,0.130434178094187,0.0499287902378627,0,0,0,0,-0.430072623303777
ADA,0,2.00275885784235,0.0221543731862991,-0.0494298155574299,0,-0.127100472794479,0.144810489597785,0.196806756745765,-0.30697922825678,0.135624821705889,-0.240727095133191,-0.45879717629826,0,0,0.471457461673312,0,-0.832466836048926,0,0,0.544052074216529
XLM,0,0,0,0,0.206571744157308,-0.136486906445105,0,0.202866197596626,0,0.803150315606217,-0.0933319252107916,0.235152051553098,0,0,0,0,0,0,0,-0.142814749177023
BV010082.Index,0,-0.07142017540805,0.0107436016854571,0,0.0932160901112919,0.00440054664461846,0,0.0297169528227093,0.0221274986242858,0,-0.00439876674986735,0.0217823962765914,0,-0.0258671692064703,0.00666247163146261,0,0,0,0,0
CVIX.Index,-0.129255138169392,0.0638456610255957,-0.0191715341966525,0.312720416653781,-0.294111113390274,0,0,0.105818283539445,-0.318292599927411,0.131563060415801,0.0362666157470046,0.0139726377858449,0,0,0,0,0,0,0,0.126741992455616
DXY.Curncy,-0.00730614980426095,0,-2.16840434497101e-19,0,0,0,0,-0.0163450205916341,0,0,0,0,0,0,0.0182762451345901,0,0,0,0,0
SPX.Index,0,0,0.000468860701073013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0266086389644163
VIX.Index,-0.478307417385161,-1.41695284014794,-0.260612036851591,0.285950409223305,0.456428746242901,0.384644412286516,-0.0422465118821457,0.223457799322985,0,-0.342607256371944,0.279618587339001,0.280405415041039,-0.77439309418744,0.390670451328639,-0.306198826905776,0,0.888302267387627,0,0,0
