,BTC,ETH,XRP,LTC,ETC,XMR,DASH,XEM,DOGE,XLM,NEO,ZEC,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.179771988597696,-0.104835023119459,0.923882098910495,0.00430055593352965,-0.235939172749952,-6.93889390390723e-18,0.086099229122178,0,0.00964940603906341,-0.0217904517135617,0.00450215111667814,0.0914781852342445,0,0,0,0,-0.026865943175895
ETH,0,0,0.268986406587783,0,-0.0451134358129356,0.163439392843444,0.436702431473361,0,0,0.215108815330612,0.047382010344454,-0.0238190634832948,-0.482624187881709,0,0.196775730343798,0,0,0.150747516218847
XRP,0,0.418174688827033,0,0.319428788425257,0,0,-0.236533320045739,-0.0566066205729569,0,0.163454788730891,-0.144251530839633,-0.0493946835812803,-0.0495553677475862,0,0,0,0,-0.0859550827502736
LTC,0.821646329042466,-0.157295957617692,0,0,0.0306221281330887,0.029480265744202,0.215510930478879,-0.0435855291100934,0.0827412764480794,-0.0262109531121643,0.0105543367991601,0.00188672091657461,-0.0758794443309418,0,0.0691005584546077,0,0,-0.0393598635273103
ETC,0,0,0.371557222803427,0,0,0,-0.294637509636423,0.558496977966741,0,-0.0134931338234337,-0.0185764564432346,0.0264468349477977,1.02366875972687,0,-0.505571770227469,0,0,0.292060481554026
XMR,-0.705462876535413,1.27334491618952,0,0,0.0539034305099535,0,0,-0.238027323064704,0,-0.279403351795011,-0.103761621722928,-0.0203346588697137,0.203505952374501,0,-0.329894552472533,0,0,-0.114905460010867
DASH,-0.566333069572667,0.109294435169325,-0.506650655712085,1.04142412266459,0,0.365542818000814,0,0.0621901499446491,-0.259014937523306,0,-0.0948041957051505,-0.0980438116481741,0.0168930548364318,0,0,0,0,-0.0166725974593545
XEM,0,0,0.386998416815245,0,0.159506312116475,0.173059848879289,0,0,0,0,0.0409726024609246,-0.0241673045942503,0.00169790820814503,0,0,0,0,0
DOGE,0,0,0.0209359314327413,0,0.00457028945232379,-0.0955934435034984,0,0.0391947704314281,0,0,0,-0.0119994562582569,-0.0388530219382114,0,0,0,0,0
XLM,0,0,0.772096528297406,-0.567090200630888,0,0,-0.111395786717669,0,0,0,0.013904825453461,0.000576194519824295,0.461416007030868,-0.282831590730482,0,0,0,0.288964224516785
NEO,-0.216877072536896,5.97646549706471,-3.56576740951076,0,0,-1.42736791806291,-1.47510233200887,-0.668226300737362,2.29415050238379,0,0,8.67361737988404e-19,0,0,-0.0368880757334216,0,0,0
ZEC,0,0,0,0,0,0,-7.21377508126142,0,0,0,-0.584977823118044,0,-0.877913795485396,0,0,0,0,-1.36772734233942
DGB,0,-1.55336177514428,0,0,-0.166723954878776,0.397984717933034,0.409113201244313,0.308331868493797,0,0.546734408492493,0.0382891097904459,-0.0615829332249605,0,0,0,0,0,0.150693129907772
BV010082.Index,0,0,0,0,0.0152488300864847,0,0.0860709267639516,0.0917031585941325,-0.202532461247235,-0.102303696113569,0.0160652520035327,0.00303398713026085,0,0,0,0,0,-0.0570293353288711
CVIX.Index,0,0,0,0,-0.0895597265578038,0,0,0,0,0.0637405621238309,0.0202914847955678,0.0063381861335532,0,0,0,0,0,-0.0278883021597868
DXY.Curncy,0.00982215366973382,0.00328643907906822,0.00327748194707505,0,0.00388703319828549,0,0,0.0274659693948984,0,-1.6940658945086e-21,1.80741092601872e-05,0.00105066830496387,0,0.103688999106881,-0.0423563294706892,0,0,-0.0232620292097835
SPX.Index,0,-0.0253032085006583,0.0128643412997567,0,0,-0.015167018055062,0.011201831248842,0.0385579712707582,0,0,0.00602991170164127,-0.000195103552134905,0,0,-0.0351610408076248,0,0,-0.0302611856698965
VIX.Index,0,0,0,-1.04445385361873,0.0187763748952841,-0.498332155779792,0.2209093481998,0.0473771290168173,0,-0.238935981876543,0.0377029190538196,-0.0371318954840256,-0.158028632039639,-1.72451463036807,0.41788397589801,0,-5.52565086761299,0
