,BTC,XRP,ETH,BCH,EOS,XLM,BSV,LTC,TRX,ADA,MIOTA,XMR,BNB,DASH,XEM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.185770727674915,0,0.00168866167514921,0.0482096247489851,0,0,0.0753835625004421,0.0290941768160954,0,0,0.153390344354199,0.122755295084396,0.157412256984382,0,0,0,0,0,0
XRP,0.184027054351093,0,0.0281826952591326,0.0251541806659314,0.0224964543980779,0,0,0.0608191720845875,-0.0121436641196473,0,0.120442713852755,6.93889390390723e-18,0.0901283802748138,-1.38777878078145e-17,0.174666521296244,-0.658279935073287,-0.385947316148434,0,0,0
ETH,0,0.153085187892034,0,0.0921669524706866,0,0,-0.0326383220898455,0.160039680955936,-0.0107245325062497,-0.000527229589564572,0.0516027705981414,0.435165402700741,0.0524999416202423,0.0365081469188455,-0.11833596341588,0,0,0,0,0
BCH,0,-0.0793879953352161,0.180324185369322,0,0,2.77555756156289e-17,0.0936382761572619,0,0.501922583741615,0.499400814421239,0,0,0,0.298615192438618,0,0,0.273541429891418,0,0,0.0880368116509424
EOS,0,0.646567502371124,-0.434912557710438,-0.2115653409852,0,0.4727446754478,-0.215999041081141,0.442558053661362,-0.148018445448931,0.770157195887875,-0.12971854754177,0.803087347693939,-0.332694332924942,0,-0.210469872232259,0,0,0,0,0.227981522568943
XLM,0.270448742563667,0,0,0,0.330428385345445,0,0.032820618814818,0.00158910989348908,0.0773016174616077,0,0.0508548109991124,0,0.0617773421643499,0,0.304297340468525,0,0.158327279299134,0,0,-0.0200550580221189
BSV,0,0,0,0.410646629543089,0,0,0,0,0,0,0,0,0.232830369250992,0,0,0,0,0,0,0
LTC,0,0,0,3.46944695195361e-18,0.34354806678162,0,0.198074139123983,0,0.0773811200848162,0,0.0502894455315162,0,0.219088575793277,0.0195726685228651,0,0,0,0,0,-0.165372575340247
TRX,0,0,0.419662765440165,0,-0.231942655771081,0,-0.111392625583135,0.350156336255123,0,0.602499616566239,0,0,-0.246889907768672,0.00852151935311678,0,0,0,0,0,0.223164903844228
ADA,0,0,0,0.0735538021752515,0.351476002362702,0,0.0928974103409964,0,0.295401606316217,0,0.109928437254301,0,0,0.0144495837623804,0,0,0,0,0,-0.038185399637247
MIOTA,0,0,0,-2.16840434497101e-19,0.178166273534787,0.314316992521448,0.306920323669627,-0.228883713495387,0,0,0,0.447999843405111,0.705722651603884,0,0,0,2.08244236182247,0,0,0.0846128218933142
XMR,0,0,0.0401548975667996,-0.00118723881601845,0.0412849991742485,0,0.116873988679098,-0.0857648700661292,0.0959169105154674,0,0,0,0.0991629166606204,0.435171400757121,0.136943088121357,0,0,0,0,-0.205587233548956
BNB,0,0,0,0.206230148323306,0.519217433155892,0,-0.167872598593494,0,0,0,-0.00555816096827166,0,0,0,0,0,-0.419432742292798,0,0,0.163327267891647
DASH,0,0,0.413231704513888,0,-0.317523843178116,0,-0.336831677202529,0.714220330816975,-0.311141251994467,0,-0.117938189507855,1.37345180715378,-0.310968753598565,0,0,0,0.578993323017784,0,0,0.0241698393310469
XEM,0,0,-0.126875748445258,0.0268543895081399,-0.317800741173971,0.969234659265005,0,-0.00362903195562135,0.163045223688196,0,-0.0212660554513808,0.387589252333157,0,-0.130140679415975,0,0,0,0,0.567561618688113,-0.064297944426454
BV010082.Index,0,0,-0.0743601967650058,-0.0358256859173511,0,0,0.0465205879229125,0,0,0,0.0353479597529944,0,0.0740579653367831,0,0,0,0,0,0,-0.183575129118035
CVIX.Index,-0.448795016758642,0,0.295683688433088,-0.0192588675169839,0,0.262744418713522,0.0531198596502863,-0.234574439861853,-0.0414499908085823,0,0.0428537638716653,-0.065316000136121,-0.172554043645559,-0.0357249618316453,0.360168408797365,-0.171007857268578,0,0,0,0.0597132770099594
DXY.Curncy,0.0242622476042096,0,0.0395233261085635,0.000400532738428613,0,0,0.00287072862974598,0.0192129074181861,-0.041121053049269,0,-0.0128383967625285,-0.0150957416571571,-0.00120552531151811,0,-0.0194034377455779,0.103427071088915,0.0504818548293108,0,0,0
SPX.Index,-0.00289570349479993,0,-0.0429343373053552,0.0167876680499418,0,-0.0311573429220274,-0.015113542401639,0,-0.0120366026951721,0,0,0,-0.0160365059867378,-0.035420409211656,0.0839532299780731,0,0,0,0,-0.173173247124254
VIX.Index,0,0,-0.197501416256418,-0.0194981267338536,0.128104491271139,0,-0.0201288729421751,0,0,0.0876529609118172,0.0528515677889228,0,-0.081332922364106,-0.237849650296593,0.325786107640489,-1.21535407855953,0.22556939090628,0,-3.56211675700401,0
