,BTC,ETH,XRP,BCH,BSV,LTC,EOS,BNB,XTZ,INNBCL,LINK,ADA,XLM,LEO,TRX,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0.116631815253218,-8.67361737988404e-19,6.93889390390723e-18,0.236355795563704,0.1544291145122,0,0.0366502467077084,-0.00316817319793315,0,0,0,0,0,-0.0274629638565651,0,0,0,0.00247214228184574
ETH,0.305608862112672,0,0.594371620660629,0.105933742665752,0,0.159659232304367,1.38777878078145e-17,0,0.0454630778629093,-0.00391565301469649,0,0,0,0,0,0.026340456436164,0.00756026682629681,0,0,0.0309364218350727
XRP,0.149988249861823,0,0,0.14741475117874,6.93889390390723e-18,0.2926022238256,0,1.38777878078145e-17,0.122660523117066,0.00631203507231719,0.0241734865242675,0.183157337344279,0,0,0,-0.0316799817332379,0,0,0,0.00247770639285618
BCH,0,0,0,0,0.212857779059947,0.444046702637884,0.116478502359704,0.21633134688312,0,-0.00406477565591028,0,0,0,0,0,0,0.00629316958689646,0,0,0.0243877678674567
BSV,0,0.0865123579666603,0,0.620545379244151,0,0,0,0,-0.264213887335202,-0.00148222272655506,0,0,0.371575281573494,0,0.101073881351271,0,0.0646073709049521,0,0,-0.0353286111077977
LTC,0,0,0,0,0.126674681831671,0,0.319732233489968,0,0,-0.00294003599283552,0,0,0,0,0.527967889952123,0,0,0,0,-0.0411018084957804
EOS,0.934775964212885,0,0,0,0.0158998587492928,0,0,0.231925068965517,-0.221421088330369,0.00456785339858988,0,0,0,0,0.476003259234386,-0.0685706168504121,0.0533782064418633,0,0,-0.0234464447432853
BNB,0,0.21702459293405,0,0.478789639888698,0,0,0,0,0.182615227738555,-0.0032995846237858,0,0,0,0,0,-0.184852779422079,0,0,0,-0.00542997128054281
XTZ,0,0.0119902788672446,0,0,0.317293486899279,-0.307745701691587,-0.549482596190627,0,0,-0.00503820710530732,0.213419984988567,0,1.38153492776033,0.306809025162869,0,-0.279654587701789,3.46944695195361e-18,0,-0.096231292008918,-3.46944695195361e-18
INNBCL,0,17.1343725752422,0,0,10.4905038148931,0,2.30114645836947,-14.5311772036658,-2.4217776127335,0,0,-16.4907333403432,-14.8017696727882,-13.604331259078,0,-9.90394179304724,-2.079892708371,0,0,-3.34823359602738
LINK,0,0,0,0.31036065818386,0,0,0,0,0.362532327602036,-0.0075583027471648,0,0,0,0.433597476514777,0,-0.0499489410356395,-0.0672594018198826,0,0,-0.000211655251088592
ADA,0,0,0,0,0,0.228406919984855,0.193943779517561,0,0,-0.00859009512313164,0,0,0,0,0.366181191658454,0,0,0,0,-0.033287753304804
XLM,0,0,0,0.220150393154251,0,0.177275687250156,0,0,0.230738375489456,-0.00533448865571857,0,0.208757885938713,0,0,0,0,0,0,0,-0.00886340322796739
LEO,0,0,0,0,0.0628475411751861,-0.273175154947853,0,0,0.0282798241005368,-0.00120621938410355,0.105001910293304,0,0,0,0,0,-0.109396514838966,0,0,-0.0737622792956704
TRX,0,0.0240386018682837,0,0,0.125066891205104,0.254344555942083,0.203370844998108,0,0,0.00212113686822352,0.137264788658975,0.429348486493132,0,0,0,0.0460567856027843,-0.000799830600226547,0,0,0.0944964088030312
BV010082.Index,0,0.319574479916199,-0.674311965597696,0,1.08315285315175,0.982181380216128,1.38777878078145e-17,-1.7779533987904,-0.0658170430102361,-0.00760494842262785,0.716686439087113,0,0,-0.0134157453221978,-0.841244995600431,0,0,0,-0.544148088901278,0
CVIX.Index,0,-0.128519126484524,0,0,0.228371807727083,0,0,0,-0.25966805434364,-0.00742276983467271,0,0,0,0,0,0.058466992573154,0,0,0,0
DXY.Curncy,0,0,0,-0.00789136552865572,0.0353053299203512,-4.33680868994202e-19,0,-0.0374042164205672,-0.00139972725226206,-0.00179894370904552,-0.0230279922695626,0,0,0,0,0,-0.0335503080762183,0,0,-0.00230255943182098
SPX.Index,0,0,0,0,0.0026932948318841,0.093222796220783,0,0,-0.0721003908970789,-0.000439543192915075,0,0,0,0,0,0.0313774774667746,-0.0221169040578865,0,0,-0.136262722983488
VIX.Index,0,0,0,0,0,0,0,0,-0.0663831293635044,-0.00517798326415013,-0.0123817903542499,0,0,0,0,0,-0.10774275500752,0,-3.61011242312714,0
