,BTC,ETH,XRP,LTC,ETC,XMR,DASH,XEM,DOGE,XLM,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,-0.0243497646505184,0.00889990387298466,-0.0392551232819602,0,0.0128134886090261,0,-0.0122736549100933,-0.025804108284025,-0.176071546918054,0,0,0,-0.0169232306727053
ETH,0,0,0,0.213682220084328,0,0.0580516950906345,0,0.0362572634929431,0,0.113986271735747,0,0.621519961561919,0,0,0,-0.0110541670489371
XRP,0.569938892327376,0.11228178205514,0,0,0,-0.0378088620951537,0.459563641887847,0,0.137381562761503,0.46473014860614,-0.165978608262196,-1.29492011850225,0,0,0,3.46944695195361e-18
LTC,0.244196454492049,-0.0217892447061068,0.0312255423198446,0,0.0229849301807235,-0.0101029339339988,0,0.0361504218088847,0,-0.0491786094852034,-0.0163665488961684,0,0.112079085662741,0,0,-0.0748137615899589
ETC,0,0,0,0,0,0.105806389659689,0.414506511607661,-0.081218027645615,0.0811655585492441,0,-0.0672189320398021,-0.839595774291576,0.325993694837868,0,0,-0.259525413872677
XMR,0,1.19879436052403,0.652340486675665,0,0.131188722402967,0,0,0,0,0,-0.17819201480473,0,0,0,0,0.0681475077573591
DASH,0,0,0.195170233028063,0,-0.0183747933350067,0,0,0.0597247034034754,0,0,-0.00457317476189573,0,0,0,0,0.0359051892233744
XEM,4.44047327494643,0,0.0490469549219834,1.82774773095732,-0.0458117275622727,0.459667862715719,-0.907779124289953,0,-0.0914560047009479,0.288929612086443,-0.2548272626323,2.23254166858208,-2.62344130038256,3.35643680841204,0,0.415197982603686
DOGE,0,-0.0616325778625955,0.139668184937887,0,0.0193519584335817,-0.240249900706759,0,0.182618408811275,0,0.0529278526627908,0,-0.393483046950872,0.526954528240515,0,0,0
XLM,0,0,0.439083926173841,0,0,-0.130031539005229,-0.38177180792054,-0.299964954185649,0,0,0,0,0,0,0,0.0737173436311076
DGB,0,0,-0.336975201552768,0,-0.329812555291639,0.073185692050058,0,0.0309204611383958,0,0.23274224193608,0,0,0.226426457722999,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0,0,0,0.0521168280592521,0,0.213248866520073,0,0,-0.128812208774097
CVIX.Index,0,-0.0522865694721123,-0.222213798346754,0.174982889030241,-0.00764896927580209,0,-0.0531428379157372,-0.139534133505524,0.778518504704542,0.135249366714636,-0.150516474725969,0.177995608418226,0,2.48080387950731,0,0.171154612570865
DXY.Curncy,0,-0.0149738628494764,0,-0.0315503680044642,0.0122924144252815,0.000718933185557582,0,0.0267453935979451,-0.00688542728482446,-0.00185117543405629,0.0295938452239547,0,0.136425814264046,0,0,-0.0139689401330089
SPX.Index,0.267926870807036,0.0343850087184016,0,0.0865130143714315,0,0.0132059840626003,0.0314152730176777,-0.0260098012374367,-0.0430417780427608,0.00656850595195733,8.67361737988404e-19,0,-0.0322342904123203,0,0,-0.0680800493808047
VIX.Index,0,6.93889390390723e-18,-0.241650420575699,0,-0.623659351624582,0.00855281469080991,0,0.0497017237352239,0.0879010882049004,0.016773130940701,-0.215776331113535,-1.68076211643786,0.273773957547985,0,-6.84566541107289,0
