,BTC,ETH,XRP,XEM,LTC,ETC,DASH,XLM,XMR,DOGE,ZEC,DGB,NEO,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,-0.0374283640325686,0.182001803114469,0,0,0,0,0,0,0.0241428063949362,0,0,0,0,0,-0.160216695782271
ETH,0.127811885087403,0,-0.219963216924237,-0.0508414082649572,0.0493614629903194,0,0,-0.0356654367155621,-0.0365565250138397,0,0.923728348225292,0.0566524809233904,0,0,-0.788089745530093,0,0,0.332147896047658
XRP,0,-0.860326218680932,0,0,-0.329210229858019,0,0,0.118873395588855,-0.486811751039756,-1.38777878078145e-17,0,0.133283345703662,1.02979800456015,0,0,0,0,0.255385846960765
XEM,0,0,0,0,0,0,0,-0.0360155392402666,0,0.232514891473304,0,-0.03349977946827,0,0,0,0,0,0
LTC,0.762553277745515,-0.00975475451201774,-0.0727708992596555,0.121295742405832,0,0,0,0.155231342911302,0.138255891891896,0.0574292518774414,0,0,0,0,0,0,0,0
ETC,0,0.795823921151421,-0.0455791407579937,0.247565455846124,0.0303230642513917,0,0,0.0371376438499278,0,-0.10104047889585,0,0.0265291889002883,0,0,0,0,0,1.38777878078145e-17
DASH,0.205109078618325,0.325350458703916,0,-0.0323153670682583,0,0.0226988881638267,0,0.0686286254387329,0.558522107649094,-0.0721974920208545,0.0294244979707127,-0.00123764220501028,-0.0218910811342983,-1.44196880286311,0,0,0,-0.0317978104489886
XLM,-1.64922563872779,0,0.521576041759291,-0.191577809136658,-0.194286347023625,0.308642293717757,0.121448438335676,0,1.13409232945007,0.0100766275927328,0.505930089170054,0.065076036291291,0.279314404543708,0,0,0,0,0
XMR,-0.0150857742673625,-0.174715051033373,-0.147390737029048,0.0831259351196216,0.0737405163853209,0,0.522425592822211,0.0343984358872772,0,0,0,0.0137334397544678,0.17178099323934,0,0.354808390086732,0,0,0
DOGE,0,0,0,0.372752432021703,0.0813328444250433,0,0,0.163735393048925,0,0,0,0.0536772862588837,0.206966180064596,0,0,0,0,0
ZEC,0,0.0444358512028335,0,0,-0.127657129388169,0.142122947739334,0,0,0,0.162674977954234,0,0,0.219965106885664,0,0,0,0,0
DGB,0,0,0,-0.371723864494424,-0.292569971534499,-0.129990885412358,0,-0.0366005214231939,0,0.811649439427779,0,0,0.261358528539213,0,0,0,0,0
NEO,0,0,0,-0.204476550122653,0.240060474303806,-0.217076744148532,1.19616038437434,-0.0902234471816694,0.118047306852921,-0.0588152211464149,0.892332988958153,0.100562076483233,0,1.53071728514492,0,0,0,0.266884383293381
BV010082.Index,0.0436025473577037,0.0382616044049801,-0.0185365272424058,-0.0218397817427131,0.0104012733741701,0.0786108996364539,-0.331012486479009,0.0443372394371867,0.166229338815615,-0.0320743328320095,0,-2.16840434497101e-19,0.0527149668688644,0,0.172827992481343,0,0,-0.0783446340629805
CVIX.Index,0,-0.0191309261319462,0,0.0265753113011662,-0.0647030744905793,0,0,-0.0109993853448411,0.254629934940047,-0.0408460777062115,0.239621330705604,0.0406989281419644,-0.0732332609946457,0.17133130147794,0,0,0,0.176146982340903
DXY.Curncy,-0.0170472912105113,0.0144584189315404,0,0.00179354427587569,0,0.0142189831037626,-0.00180141618336301,0.00362794778376285,0,-0.0109462098646778,0,-0.00142968363979147,-0.00939255833515193,0.0877732520391536,-0.0611281801101092,0,0,0.00543211264115873
SPX.Index,0.00878090811232438,0.00321029138692116,0.000975531022347983,-0.00416602453047028,0,0,-0.0223001628555015,0.00596839841306503,0,0,0,0.00325536343791611,-0.00167575290519711,0,0,0,0,-0.0316716684420106
VIX.Index,-0.251483404925962,0,0.0296110435475886,0.0648969002786148,0.154153044020421,6.93889390390723e-18,0,0.120664687949223,-0.968007388054389,0.0916658030747149,0,-0.152160979431188,0.137287644752229,-1.62190679032001,0.957967466529118,0,0,0
