,BTC,ETH,XRP,BCH,BSV,LTC,EOS,BNB,INNBCL,XTZ,TAGZ5,LEO,XLM,XMR,LINK,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0.0824871029718379,0,0.404737656603255,0,-0.0132810033401237,0,0,0.254103676937295,0,0,0,0,0.047848279151461,0,0.0122241259013721,0,0,0.0887948571861633
ETH,0.212273148455952,0,0,0,0,0,0.365155227765372,0.273178299301785,-0.0020462482586333,0,0.0150560642850863,0.0797710575143534,2.16840434497101e-19,0,0.0696575553157057,0.0590481043430038,0.0241319600647251,0,0,0.0574962592809893
XRP,0,0,0,0,0,0,0,0.74597817068156,-0.00669319119261506,0,-0.0924832213724518,0,0.1521266515927,0,0,-0.182046792010518,-0.0748779758199861,0,0.23788443142211,0.118467545698152
BCH,0,0.218540415687758,0.133209695416751,0,0.203518280926064,0,0,0.335215994603243,-0.00984349487018661,0.00432737532849987,-0.0094466049039021,0,0,0,-3.46944695195361e-18,0,0,0,0,0.0170163963030475
BSV,0.508840547657516,0,0,0.348553316042645,0,0,0,0,-0.00821083445251259,0.0689389369049722,0.109797895166457,0.373781321880029,0.0840344317598826,0,0,-0.140575659988906,0.143484770395819,0,0.128006588792997,-0.0269704103274804
LTC,0,0,0.173863611751241,0.118930398380044,0,0,0.21300836805808,0,0,0.113018572018605,-0.0487774850813515,0.131004826006163,0,0,0.253805754146022,-0.0127530668216465,0,0,0,0.0388348576599607
EOS,0,0.519511676211414,-0.0539121539684486,0.116904164347623,0.0441489731319861,0.778489593591037,0,0,4.33680868994202e-19,0,0.0441973539895804,0.128866831747621,0,-0.124616155610631,-0.33481175868071,0,-0.0313123983881599,0,0,-0.127873769673018
BNB,0,0,0.083812700621808,0,0.305435772307317,0,0,0,0.00483100451980193,0,0,0,0.336796115876793,0.215542262767625,0.0882101675215236,0.0230129978310305,-0.0547937027607433,0.37985023679058,0,0
INNBCL,0,0,0,-4.07847283373286,0,0,0,0,0,2.94914696114081,0,0,0,0,0,0,3.25755283675676,0,15.3099732266664,16.2790409474051
XTZ,0.776592152134524,0,-0.29698147753867,0,0,0.0441911844246995,0,0,0.0037574983706606,0,0.0510218292270027,0,0,0.0292261852969008,0.492399457244147,0,0.0328338063735303,0,-0.12837750480108,0.116341365888675
TAGZ5,0,0,0,0,0,0,0.286193924141004,0,-0.0124405068935387,0,0,0,0,0.0255348583289306,0.732275281970082,-0.732233089600272,0,0,0,-0.180679682723153
LEO,0.0871529969733368,-0.115082614803291,0,0,0.244253843492345,0.254025081799537,0,-8.67361737988404e-19,0.000404511181860955,-0.245696086986801,0,0,0.096109147639765,-0.0997525127844725,0,-0.0743178510420234,0,0,0.124240072084232,0.023130391188225
XLM,0,0,0,0.0925013102853545,0,0,0,0.675616946611155,-4.33680868994202e-19,0.0494778914114727,-0.0806251251694868,0,0,0,0,0,0,0,0,0.0269670460934981
XMR,0,0,0.203567081413754,0,0,0,0,0.682049750034713,0,-1.38777878078145e-17,0.0296852655826078,0,0,0,-0.0959432338742043,-0.128428169866126,0,0,0,-0.151380246293473
LINK,0,0,0,0,0,0.772299443628724,0,0,0.0024195027306799,0.287646327253283,0.131528442361936,0,0,0,0,0,0,0,0,-0.0273716576365181
BV010082.Index,1.9094294339387,0.327388645053823,0,0,-0.582640047999373,0,0,-0.471942412366304,-0.0124806480959991,0,-0.0790862347084184,0,0,-0.455904003732367,0,0,-0.143949540898378,0,0.680149954251247,1.38777878078145e-17
CVIX.Index,-0.593408955694637,2.81735475373487,0,0,0.384672742337354,5.39891253761424,-3.79578229849852,-0.867222719227923,0.0227980846860595,0.847583596045348,-0.0328611027446839,0,0,-0.99481347209269,-2.5398469975446,0.551026932427671,0,0,-0.557280838728121,-1.19381484147813
DXY.Curncy,-0.045250153273133,0,-0.171051167254242,0,0,0,0,0.154012757701732,0.000128230070394619,0.0683321845909387,0.0173315213255429,0,0,-0.039267444383715,0,0,-4.33680868994202e-19,0,-0.0250727596478379,-0.0422266461799133
SPX.Index,0,0,0,-0.576552258690457,0,0,0,0,0.00575341544340298,0,0.0287773224345395,0.779994334935788,0,0,0.337966368818514,0.275833010641791,0.0615095605094195,0,0,-0.143528438939409
VIX.Index,0.736419873113247,0.238631212465502,0,0,0,0,0,-1.16448498859114,0.0126755203272405,1.31182000350468,0,0,0.721514795671191,-0.931680364107877,-1.04592670448264,0.0153958876216744,-0.24700466648988,0,0,0
