,BTC,ETH,XRP,LTC,XMR,ETC,DASH,XEM,DOGE,XLM,NEO,ZEC,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,-0.703080339958016,1.11001730653255,0.206711015255601,0.190484163211564,-0.308665316448569,-0.0859857560049074,0,0.403036999863971,0,-0.068449857986723,-0.0252772838036497,0.682608605066928,0,0,1.35650331092603,0
ETH,-0.13200353615638,0,0,0,0.198122447803651,0.311521291283786,-0.515511831763341,-0.162119071466005,1.06660021230246,-0.726503140606171,0,0.0615730625547719,0.0143314909651927,0.643221027600103,-0.0851361327714721,0,0,0.0758159394404322
XRP,0,0,0,0.0960979897510036,0.0391678948600089,0.224717430226455,-0.161663175409869,0.000530002289305706,0.0813704206788742,0,-0.0249854269828498,-0.0792202336699031,-0.0234340555101775,-0.13263946792794,0,0,0,-0.0974088347891584
LTC,0.724829155545239,0,0,0,-0.025071641813657,0,0.121198509805698,0,0,-0.0729676834372349,0,0,0,0,-0.00631173919280536,0,0,-0.0160283357771963
XMR,-0.226722104429479,0,0,-0.978491386014745,0,-0.300679965619323,0.594577489880395,0.579947723084924,-0.146069394363937,0.624571084981144,0,-0.0204808229494143,0,-0.626900776854463,0.271525225528446,0,0,0.056131895048866
ETC,0,0,0.485653169209815,0,0,0,0,0.0249197861163842,0,0,-0.278466151878315,0.0557154141904781,0,0,0,0,0,0
DASH,0,0,0,0,0.28890305933679,0,0,0,0,0,-0.290338109180496,-0.100905334136802,-0.450945081937368,0,0,0,0,-0.0994745491628484
XEM,0,-0.451496748099997,0,-0.251651172127712,0,0.130457857216385,0.100252685183029,0,1.40033764921301,0.357153911132584,-0.184558826483073,-0.00942289538504012,0.620906877117619,0,-0.929042690779181,0,0,0
DOGE,-0.00889445803983577,0.736359902258099,0,0,-0.128820656510055,-0.271777114874992,0.43052969435594,0.174940189767136,0,1.06295180222473,0,-0.0348163461956996,0.0490482289406339,-0.118036872769407,0.148703989688258,0,0,-0.0587706074016918
XLM,-1.38777878078145e-17,-0.480891984300617,0.756189829678032,-0.298669179678969,0.118757976012773,0.180803963933298,-0.0378882821592066,-0.15763385302934,0.754466746565202,0,0.0764750702453517,0.0346759699458742,0.102756139138296,0.583009928600069,-0.0243041195963254,0,0,0.089372187362678
NEO,0.69000971582076,0,0,0,0.0870642492840122,-1.0407420392518,-0.530183084914209,0.119290532078795,0,1.50743053398125,0,-0.0321927628962538,0,0,0,0,0,0
ZEC,-3.28861670806123,2.21169795569049,-9.02880754237315,6.14279356609188,0.870865479489807,1.36327562488706,-3.44225266062283,0.0271074097025959,0,1.72542849155593,-0.91989783813152,0,-0.770673792018845,0,-0.0409871951206746,0,0,-1.04735795933612
DGB,0,0,0,0,0,0,0,0.185223382344584,0,0,-0.187871734690231,0.0149664418568736,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0.0320556622572282,0,0.0292395479112017,0,0,0,0,0.0169399328585212,0,0,0,0,0,-0.0935044010304993
CVIX.Index,-0.193681774960347,-0.674019175671145,0,0,0,-4.13086596354447e-05,-0.114266082692678,-0.438557746150572,1.01575016154283,0,-0.139301519900617,-0.00103696066272639,0.40185252246865,0,0,0,0,0.161106685603227
DXY.Curncy,0,-0.0249169916684482,0,0,-2.16840434497101e-19,-0.00117237932007779,-0.0312934269571203,0.0124744471083807,-0.0100167573488528,0,0.0106874407333328,-0.00182741098498642,-4.33680868994202e-19,0,0,0,0,-0.0181388098303987
SPX.Index,0.0734251549255721,0,0,0,-0.0159559458581245,-0.0102517013171552,0.0616138234955135,0.0280476775466138,-0.0426885821302525,0,0,0.00591382902288088,-0.0244629378812843,0,0,0,0,-0.0369154074717189
VIX.Index,-0.510589388960816,0.789561990614444,0,0,-0.133821030040548,0,0,0.244989286747637,0,0.261415860714266,0.0665104926901034,0,0,-3.53224358399883,1.63866019624977,0,0,0
