,BTC,ETH,XRP,BCH,LTC,DASH,XEM,NEO,MIOTA,XMR,ETC,ADA,ZEC,BAT,EOS,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.160959078890021,0,0,0,0,0.426023133040577,0.0916720352993595,0.116610238267753,-0.0817093189837561,0,0,0,0.0233207382082878,0.0325156392327049,0,0,0,0,0
ETH,0.18601536227433,0,0.153966939434809,0,0,0.261335782052105,0,-0.0645376446172821,0.206219289735626,0.378851653373874,0,0,0,0,-0.0381310953238719,0,0,0,0,0.118388232661174
XRP,0,0.319589512185664,0,0,0,0.0987516816521189,0,0.0890831197090527,-0.0347172047522926,0.104824632178892,0.0838071943324069,0,0,0,0,0,0,0,0,0.0208017751987075
BCH,0,0,-0.963093552984601,0,0.528025758752414,-0.457212834441693,0.691468086619381,0.0946625293521314,-0.13641099589923,0.621901058159795,6.93889390390723e-18,0,-0.0277610774089,-0.271556448645405,0.228333584538385,0,0,0,0,0.336629026644018
LTC,0,0,-0.0983774742057769,0.000975275734512254,0,0.192308338665128,0.253558927334158,0.221339933055004,0,-0.136343042998139,0.600818078578956,0,-0.0272165648675385,-0.0167749765872345,-0.0429993635523623,0,-0.133187114310031,0,0,0
DASH,0.596114302870389,0.192524719345029,-0.432455394754457,0,0.659951338281366,0,0,-0.0526713800609189,-0.195236231956511,0,-0.315921330251287,0,0.0645663562380439,0.218442884861873,0,0,0,0,0,-0.616381849053403
XEM,0.929638749454277,0,0,0.16790606142875,-1.38777878078145e-17,0,0,-0.260281678325392,0,0.453027816246883,0,-1.2028625091389,0.0313613874726513,0.181585605327898,-0.111906342861212,0,0,0,0,-0.201904657922526
NEO,0.611046209386803,0,1.24263181694432,0,0,-0.376355185126908,-0.338194381938962,0,0,0.735160105341779,-0.419206652069072,0,0.303946521775931,0.0616312470423759,-0.0972420503550922,0,0,0,0,0
MIOTA,0,0.764923679233565,-0.0517237014985049,0.131034756622688,0,0,-8.67361737988404e-19,0.288507264550238,0,-0.63688448242776,0,0,-0.0315779498574463,0,0.458750407605599,0,0,0,0,-0.425246398091217
XMR,0,0.848427947423807,0,0.0898945166917205,-0.0633428739345697,0,-0.100324506815839,0.183046298780809,-0.455440641185482,0,0.261363837000742,0,0.0456810060481389,-0.0744821820436096,0.177828205935443,0,0,0,0,-0.193218759783338
ETC,0,0,0.00478719951300092,0.104316995319962,1.41713052243212,-0.293763694010732,-0.111296947179428,-0.242099601455611,-1.73472347597681e-18,0.0310636830763959,0,0,-0.0567278363719959,0,0.111048031821408,0,0,0,0,0
ADA,0,0,0,0,0,0,-0.000589352309057491,0,0,0,0,0,0,0,0,0,0,0,0,-0.0064110139482499
ZEC,0,0,-0.665514253368552,0.031717470879987,0,0,0.220457114759031,-0.105061495019242,0,0.533196317849443,0.196635652079904,0,0,0.0375679497442815,0.400367414393762,0,1.14383395450917,0,0,0.214978839763819
BAT,0,0,0.226456300990834,-0.774792728020768,0,0.346617569990543,0.324668389855528,0.26070262227987,-0.0269767279894467,0.864237228838019,0,0,-0.417855093643157,0,0.308917628518648,0,1.62236449227068,0,0,0
EOS,0,0,0,6.93889390390723e-18,0,0,0.118548150829986,0,0,0,0,0,0.784062429126063,0.147387688572172,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0,0.00682265631076824,0,-0.0501861119774724,0,-0.0023478339952265,0.0495637375220161,0,0,0,0,0,0
CVIX.Index,0,0.0390852693353056,0,0.0362099087571751,-0.215372286999675,-0.0496824736811919,0.0389032158625704,-0.0779837672127505,0.0753076892367353,-8.67361737988404e-19,0,0,0.043550222129143,0.165269816888373,-0.144679432730112,0,0,0,0,0.226364365272943
DXY.Curncy,0,0,0,0,-0.00764570290490253,-0.0272270982553757,0,0,0,0,0,0,0,0.00136743513032574,0.0168347979752361,0.0508214622867535,0.0157425782735981,0,0,0.0235463751552352
SPX.Index,0.00132819444531536,-0.0249485543334344,1.73472347597681e-18,0.0042311051730419,-0.0223942588908718,-0.0170970638079312,-0.00889294773318007,0,0.0239097121285216,0.0320083025660747,0.0196969813640991,0,-0.0190132160854959,0.00708814368311635,0.00166470231899712,0.0897560602191162,0,0,0,-0.0204396551430029
VIX.Index,-0.0334453158895851,0,0.0486404782025215,0.0699001965285499,0,0,0,0,-0.454212522443248,0,0,-0.00753298345595815,0.307507566427443,0.11540196403643,0,-1.2536501916288,0.978591814332265,0,0,0
