,BTC,ETH,XRP,INNBCL,BCH,BSV,LTC,BNB,EOS,XTZ,TAGZ5,LINK,LEO,XLM,XMR,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.0687989429110957,0,-0.00202140259744742,0,0.0371236725778741,0,0.291571781841254,0,0,0.0128833987200391,0.0750154961592051,0,0.234800927472263,0,0.252632224529857,0,0,0.0326504549227978,0
ETH,0,0,0.0933608869521388,-0.0046301230647993,0,0.235316600030586,0,0.0843775828653093,0,0.0676746172460473,0.0262700743275776,0,0,0.0787306998067865,0,0,0,0,-0.0676305145463355,0
XRP,0,0.119312347034112,0,0,0,0,0,0.197320755410084,0,0.304368029028727,-0.0252391185857451,0.0212246233792354,0,0,0.296501456956947,0,-0.134476095773636,0,0,0.00275786506399764
INNBCL,-29.6248850732613,32.6928990312749,0,0,0,-12.3119335413451,0,0,-19.0318544314256,0,1.25984602923797,-5.6437527193585,-66.0418174606511,7.46583672178366,5.8187430752018,0,0,0,6.17461136222841,-5.94393270913369
BCH,0,0.219711264929243,0.526241963858119,-0.00297208446838477,0,0.133646345706473,0,-0.0617132848575659,0,0.391059428766552,0.0197720772435286,-0.0433046508873484,0,-0.189515382059999,0,0,0.000872334130286244,0,0,0
BSV,0,0,0,-0.0170166014029953,0,0,0,0.204834870377778,0.0729408159988531,0.362501210874135,0,0,0,0.114569282897798,0.162825566358872,0,0.138993029301066,0,0,-0.0758703945562038
LTC,0,0,0,-0.000911423565722813,0,0.126486228267442,0,0,0.211444606549894,0.0629098054398426,0,0,0,0.217461083898272,0.205269420629942,0,0.0747655754719208,0,0,0
BNB,0,0,0,-0.0039706437594825,0,0,0,0,0,0.236780605555111,0.0347069638497502,0,0,0,0.608531451126133,0,-0.0258283008662743,0,0,0
EOS,0,0.0725490182657454,0,-0.00486050211502734,0,0.281380708067726,0.115074372657334,0.00287901068295056,0,0,0.0176316310947697,-0.0854584481866489,0,0.234155383100721,0,0,0,0,-0.118040900657325,-0.0439971195689415
XTZ,0,0.0818619768272055,0,0.00389466546747879,0.280648661201927,0.0823810504397918,0,0.347931277044523,0.13583523511795,0,0.0146302561889496,0.300140266762661,0,0,0,0.146387036607196,-0.0269656527959578,0,-0.0681881078858007,0.0524458347438092
TAGZ5,0,0,0,0.0210118087015328,3.15857411279575,-1.23328049677141,0,-6.20143769891309,0,0,0,0,0,2.14764477128534,3.14683782005589,0,-1.10357942401499,0,0,-0.585643163983738
LINK,0,0,0,-0.00638488718653103,0.210851982868336,0,0,-0.0706697275352957,0,0.730846446099747,-0.0377197224219466,0,0,0,0,0,0,0,0.204691825386215,0
LEO,0,0,0,-0.00550538380824573,0,0.118765319668026,0,0,0,-0.140868912094781,-0.00272921947704261,0,0,0,0,-0.0186760394727408,0,0,0.0913693873669868,0.0178371057322856
XLM,0,0.319819908357699,0,0.00453426491286097,0,0.0221932019826462,0.102203290487483,0.124491468655924,0.450012852053435,0,-0.0106996105608463,0,0,0,0,0,-0.0370933412387655,0,0.155025364970732,0
XMR,0,0,0.336890947863922,0.000772231163170552,0.187160250545584,0.0399793171556271,0,0.377784389619191,0,0,0.0196400657595088,-0.092631023330696,0,0.135941769218714,0,-0.14135735016299,-0.0572703903976344,0,-0.100192474843496,-0.158750924853895
BV010082.Index,0.611273572635996,0.249625616430648,-0.379937257952176,-0.0016298702295587,-0.277771022905164,0.0244845625518757,0,0,0,0.133929366457745,0.0216532871635041,0.0604924146762144,-0.378893227230365,0,-0.466951161789865,0,0,0,0.0689991279105212,0
CVIX.Index,0,0.429553605191693,-1.20917899640385,0.038493513860741,0,-0.533113753073545,1.89172659204761,0,0,0,-0.153265607058713,-0.012326270297039,0,0,0,0,0,0,-0.836752792559031,-0.62383154246465
DXY.Curncy,0,0,-0.182155900969919,0.000633027082818987,0,-0.055357226802613,0,0.0446517468175871,0,0.107571388142655,-0.00658588320618098,0.00797936775170329,0,0,0.082183204446435,1.73472347597681e-18,-0.00054664968361193,0,-0.0282708014382379,-0.0551367718934265
SPX.Index,0,0,0,0.00222115490882814,-0.588590600913233,-0.0840375858912051,0,0.251523040403922,0,0,0.0254746606541451,0.312931031027006,0.923794803424643,0.149195475592628,0,0,0,0,0,-0.0782888359048963
VIX.Index,0,0.0977853147553852,0,0.0167627821110009,0,0.0896757144104916,0,0,0,1.02504951394704,-0.0997222140841196,-0.747303897570179,0,0.639894360898691,-1.20322332490614,0,-0.366551623047635,-3.54060198713649,-0.172312620396706,0
