,BTC,ETH,BCH,XRP,LTC,DASH,NEO,XEM,XMR,MIOTA,ETC,ADA,ZEC,EOS,XLM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0.00410886749210438,-0.174110394553553,0.0911808583020643,0,0,-0.278114818760857,0.470237647625066,-0.575819042636372,0,0.197389039205869,0.188598300014762,0.101200088404242,0.0869940530001511,0.451117993967751,-0.978163002712911,0,0,0.108969009067335
ETH,0,0,0,0.271670798729448,0.19800527725232,0,0,0,0,0.113367839375241,0,0.0994962834646117,0,0.0558433602288836,0.0162011475914059,0,0,0,0,0.0170978242004933
BCH,0.514432844219065,0,0,0,-0.865244123661038,0.125653752019443,0,0,0,0.387031051934128,2.65142928841857,-0.140110970894612,-0.966733068296971,0,-0.0715639687563471,0,0,0,0,-0.179668185268981
XRP,-0.16906165006142,1.05263682247964,-0.165779971326539,0,0.0128699724316954,-0.941044841532734,-0.332224743711676,-0.604892564492419,0,0.696749599044675,0,0.0469000508766642,0,0.185302049437842,0.0248789437896207,0,1.33780396278437,0,0,-0.4174584653098
LTC,0,0,-0.130258701870922,0.162592609124226,0,0,-0.326758409012469,0,0,0,1.01053026769092,-0.073653540365843,0,0,-0.00434206598292647,-0.955998780216348,0,0,0,0.165981458499043
DASH,0,0,-0.15974377940944,0,0,0,0.0425772729368682,0.0264200694782678,0.262326533908394,0.143222752556314,0.417588693813591,-0.0530731136584342,0.0772820473757025,0.0906792627757469,-0.0421498408447609,0,0,0,0,-0.0965897520231088
NEO,-0.594411229155385,0,0.130341101221704,0,0,-0.0707778522826824,0,0.064973243389324,0,0,0,0.214192193470521,0,0.213450449691859,0.0867164343033952,0,0.645775521339865,0,0,0.299812503756187
XEM,-0.204163303377942,0.115805994596445,-0.0361144831725061,0.0825882454468175,0.152770709396692,-0.428946916440467,6.93889390390723e-18,0,0,0.452917490708021,0.420839756248099,0.0851463647285735,0,0,0.0491022164331168,0,0.60454106272793,0,0,-0.287081889069813
XMR,0.447671761735037,0.750906728997913,-0.105058362054397,-0.295050391621316,-0.222227072882981,0,-0.0603656917238581,0,0,0.181980283009105,0,0,0.185224488085021,0,0.0128851759370601,-0.543365882320628,0,0,0,-0.312539035632689
MIOTA,-0.390766205144131,0,0,0,-0.22994872018691,0.596712280479202,0.362006353177729,0.237386459630364,0.377069465177911,0,0,0,-0.0468561688203606,0,0.0357562352787218,0,-0.931120736660465,0,0,0.23184038132896
ETC,0.172695868996468,0,0.11528200951906,0,0.289230537495633,-3.46944695195361e-18,0.164112856274676,0.102964570716114,0.0401514014715656,0.0625408342862554,0,0.0418550971856993,0,0.00516029026194128,-1.73472347597681e-18,0,0,0,0,-0.0363828849780509
ADA,0.628672395605519,2.27776160877614,0,-0.4192511175253,-0.0660034190183516,0,0.241403985383798,0,0,-0.230658586668751,0.905365101625941,0,0,-0.4758144135206,-0.0260357327644351,0,0.235723457399058,0,0,0.706974002277388
ZEC,0,0,0,0,0.190660751470874,0,0,0,0,0.369604033215349,0,0,0,0,-0.0264563870615173,0,0,0,0,0.0653236677019174
EOS,0,0,0.124860463693737,0,0.123257208589063,0,0,0,0,0,0,-0.0415636571838481,0.414761781819585,0,0,0,0,0,0,0
XLM,0,-0.112514858410182,0.614726047097121,2.15587616586973,0,0,0.021318608021828,0,0,0,0,0,0,0,0,0,0,0,0,0.51819251943455
BV010082.Index,0,0.276184211505005,0.0711869481772931,-0.127733392982808,-0.0568073207448167,0.137474805371234,-0.0472535034567628,0.0390854828949632,-0.131221722805622,-0.122624846253695,0.141071507783087,-0.0676486953604863,0.0337706484365385,-0.0179020618433838,0.00636510892833886,0,0,0,0,0.127223827010527
CVIX.Index,0,0,-0.0091924170771343,0.0291067064327236,0,0,0.158376770015259,0.0514164274171642,0,-0.127771440002443,0,0.0171472427921923,0,-0.0333884762725241,0.0070191928416597,0,0,0,0,-0.0337255921473274
DXY.Curncy,-0.0323511202641412,0,0.0102211282601799,0,0.00064754617984176,0.00574271018288645,0,0,0,0.00835068022270132,0,0,0,0,0.000658580474028546,0,0,0,0,-0.0147539704302153
SPX.Index,0,0,0.00588957882606306,-0.00702124559138283,0,0,0,0.0137541105172947,-0.00706675536333607,0.0129605343805982,0,0.00288869671941857,-0.0396326872341507,-0.000556432413059912,-0.00143322675191391,0,0,0,0,-0.0427803171060806
VIX.Index,0.8810292214881,0,-0.167891563189524,-0.206519262444316,0,-0.277155686241821,0.269868150885549,-0.469350128174865,-0.56034163313211,0.626481713916007,-0.728939261807455,0.125448791381522,0.413978502460131,0,0.0350269845929623,0,0,0,0,0
