,BTC,ETH,XRP,BCH,EOS,LTC,XLM,ADA,MIOTA,NEO,TRX,XMR,DASH,ETC,XEM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.364041907694367,0,0,0,0,0,0.0202197423363574,0,0,0.141386365261092,0.119249373511608,0.0207758172500333,0,-0.0882488151832023,0,0,-0.0288207850211323
ETH,0.566983683372388,0,0,0.0461939970573878,0.0629658013587827,0,0.092052467888577,0,0,0.000966484233032002,0.349465814103793,-0.160022408567231,0,0.00840708849895903,0.0655417405571252,0,-0.0275312897300862,0,0,-0.00607889154587083
XRP,0,0,0,0,0.12458142574597,0.242585758673448,0,0,0.0207658937711328,0,0.291090451786525,-0.0410092723466412,-0.108912182485541,0,0,0,0,0,0,-0.0744159787075279
BCH,0.561620440808644,0,0.00632355044456607,0,0,0.149204674124538,0.0683919466642683,0.0293910472984437,0.0208923714198698,0.00335719306292194,0.286469816769447,0.0652132145381499,0,0,0,0,0,0,0,-0.0248301614778327
EOS,0,2.08377250995351,-0.615420989296271,-2.23823716989508,0,1.53945582992396,-0.605879910074097,1.42809878178177,0.220846628964184,0.0399098460562497,0,0.393762970216325,0.781476890149262,-0.302587936407855,-0.829069821024292,0,2.77555756156289e-17,2.24097714892354,0,0.0995522020334368
LTC,0,-0.59660385696582,0.344794607891085,0.585958357330871,0.445811501034834,0,0.138151383788296,0,-0.177343479171242,0.0538352650599268,0,-0.0263990775035208,0,0.14004255174727,0,0,0,0,0,0.015381982295408
XLM,0,-0.230052725991058,0,0,0,0.222689764206896,0,0.0515759722019165,0.317929293385072,0,0.108962849106019,0,0,0,0.234955932318488,0,0,0,0,0
ADA,0,0,0,0.0693993985996571,0.04294170439132,0.224252222109412,0,0,0,0.114342397099192,0,0,0,-0.016518547200317,0.470752970994192,0,0.0325395172194642,0,0,-0.0464247451189283
MIOTA,0,0,0.617111404764252,0,0,0,0.547983965748883,1.0707074552922,0,0.544686356159547,-0.359555861305151,0.0440106942998761,0,0.126554587147069,-0.913297670681998,-1.19208217179795,0.377875400728889,0,0,0.119781242924739
NEO,0,0.223360942041024,0,0,0,0,0,-0.164139248720329,0.523191197042524,0,0.204509049465796,-0.0187300729465708,0.398270336404805,-0.191468126575864,0.361500320482926,0,0,0,0,0.133750717097349
TRX,0,0,0.386005804889299,0,0.0157358751386916,0,0,0,0.100229427268125,0.115785153765707,0,0.0353185202374199,0.0451465040823599,0.0194002734026157,0,0,0,0,0,-0.1890620128435
XMR,0,0,0,0,0,0.728728508949482,3.46944695195361e-18,0,0.197588098896464,0,0,0,-0.0321269645911372,0,0.188346660416172,0.729533861393837,0,0,0,0
DASH,0,0,0,0,0.00811145746327585,-0.130932425561567,0.156245173130355,0,0,0.319924743786254,0.0720499939715485,0.27630352278211,0,0.113118702457451,0,0,-0.478638903659672,0,0,0.0876880662658043
ETC,0.850615242415545,0.157679545476131,0,0,0.403747391953201,0,0,0,0.133607414928203,-0.228947294064189,0,0,0,0,0,0,0,0,0,0
XEM,0,0,0,0,0,0,0.965724658637022,0.747682482186487,0,-0.124260814798329,-0.109680946054783,-0.173977763179744,0,0,0,0,-0.119337554429822,0,0,0.209969038452625
BV010082.Index,0,0,0,0,-0.0352552298684427,0,0.0536660864799318,0,-0.035164619986085,0.0329871728089919,0,0.0567964541662632,-0.00976855840126816,0.0363492103910491,-0.0268455546001144,0,-0.196041213068668,0,0,-0.00521506752572148
CVIX.Index,0,0,-0.615159482968165,0,-0.0639424654703552,0.343237872016503,0,0,-0.0713458500580026,0.209037696673677,0.324759543228076,0,-0.236680326718217,-2.62184886634306e-06,-0.017671730452552,-1.95902744900905,0,0.867364000676946,0,0.00406892886977743
DXY.Curncy,0,-0.0337205511710041,0,0,0.0140389859623841,0.0335898832726078,0.0219936125797386,-0.13372181795651,-0.0221535871273815,0,0.0321400948967306,0.0399716555831377,-0.0177724995298888,0.00792383189503061,0.0607871644419644,0,0.110309099207029,0,0,-0.00745351809720086
SPX.Index,0,0,0,0,-0.0150767565155691,0,0,0,-0.038945959538347,0.00835416523110011,0,0.0106400684684689,0.0141998605997247,0,0.0112740554367911,0,0,0,0,-0.0689950648285071
VIX.Index,0,-0.807179386970124,-0.711267595720149,0,-0.183213482614879,0,-0.14046279209949,0,-0.178758671709937,0.255108105744593,0,0,0.237377999018491,0.101913200064894,0.447758765005308,0,0.872287395911391,0,-5.16824423386199,0
