,BTC,ETH,XRP,BCH,LTC,ADA,NEO,XLM,EOS,XEM,XMR,DASH,MIOTA,TRX,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,-0.106602844653038,0.0273178766108631,-0.100703119407484,0.0369507335308752,0.135075572214341,0.0734448094901449,0.413337093677132,0.0513017996223602,0.142134653833392,0.163100003187002,0,0,0,0,0,0,0,0.00637021142539329
ETH,0,0,0.0119257420066245,0.0154796506023273,0,0.213666401292852,0.0671773869477493,0.113042410991444,0,0,0.094641556059002,0,0.0849749338452508,0.0949404311375238,0.145596481902833,0,0,0,0,0
XRP,0,0,0,0.0471220487469457,0,0.118861297233137,0.0929924240709688,0.308929919945512,-0.107446536177461,-0.045456567172341,0.143254460229935,0,-0.128310642242548,0,0.396619648182794,0,0,0,0,0.142654464551827
BCH,0,0.161259069209385,-0.0389853727922333,0,0.323262758143859,-0.178966119106226,0.117278190261864,0.00237702981967813,0.290195434177312,-0.0459263982912622,0,0.741332396231315,-0.236085393298306,0,0,0,0,0,0,0.0832320133632204
LTC,0,0,-0.174365117552477,0.600145971442778,0,0,-0.096599781789736,-0.344794722581178,-0.0436223717825069,0.125103757659209,0.617065479156908,0,0,-0.569550765979643,0.559009772180692,0,0,0,-1.53179437615233,-0.0921263689762988
ADA,0,1.10882631222829,0,0,0,0,-0.212075997869992,1.0842021724855e-19,0.0110096265954199,0,-0.149657597854526,0.32868861666461,0.293105973654626,-0.00518164130233717,-0.263811426185011,0,-0.768068493155332,0,0,-0.0623621285717467
NEO,0,0.880643540457195,0,0,0,0,0,0,0,-0.0299530289012664,0,-0.0486278274950584,0,0.0976829159965296,0.072092886709902,0,-0.440301457266026,0,0,-0.12257788721372
XLM,0.345167651311143,0,0.589325116454479,0.116015492892959,-0.00170176366744453,0,0.0414673309299727,0,0.0256832782272601,0.172551932754587,0,0,0,-0.105000139298577,-0.0799458254655588,0,0,0,0,-0.106451342726575
EOS,0.534564442763913,0,0,0.067612810940054,0,0,0,0.110087545850072,0,0.104597838851368,-0.10107349343634,0,0.329345408956187,0,0.175265414565796,0,0,0,0,-0.0424441352910472
XEM,0,0,0,-0.243319390767508,0,0,0,0.753739371035504,0,0,-0.772766873843394,0.0748801337512199,0.200891513521045,1.05897893439334,-0.242442998555908,0.655536560240017,0,0,1.61003760290639,0.135576146044602
XMR,0.966560550407713,0,0.605204679779301,0,0.670828483686059,0,-0.119360515208069,0.159411088398865,0,-0.194887668936991,0,-0.418869116075887,0.0073268229000527,0.407229428572455,-0.63451214665929,0,0,0,0,0
DASH,0.207394418359065,0,0,0.501573644476258,0,0.135072852333701,0,0,0,0.098901471069459,-1.38777878078145e-17,0,0.0503360944539283,0.158659042276716,-0.194360931295714,0,0.374981653465886,0,0,-0.15682003333937
MIOTA,0,0,0,0,0,0,0.12339752791705,0,0.328246280671765,0.0751131854494305,0.304770851106671,0,0,0.0831528308749079,0.183519333951103,0,0,0,0,0
TRX,0,0.684785179288928,-0.203439766583709,0.45073526051318,0.127809657375912,-0.254954199470895,0,-0.366448048360239,0,0.16324881751843,0.228580986103519,0,0.115512031706433,0,0.182733996133173,0,0.417145151397459,0,0,0.188833701113891
ETC,0,0,0.695218586202445,0,0.107650440996672,0,0.124485578195651,0.290286436993291,0.333519556755511,0.00443077992617723,-0.459954060363736,-0.51101319528049,0,0.562386086677857,0,0,0,0,0,-0.161785239613643
BV010082.Index,0,-0.108561924585048,0,0,0,0,0,0.107571115194307,0,0.0514092998326651,0.0193348779511059,0.0862293208425665,0,-0.0640819078513267,-0.0106655227584953,0,0,0,0,-0.0622681346918869
CVIX.Index,0,0,0,-0.0342197887060299,0,0,-0.0515826913587998,0,-0.171775720082013,-0.242620295430689,-0.0889231300324144,0.501788372193605,0,0,0,0,0,0,0,-0.0171762371839806
DXY.Curncy,-0.0346034330846258,0,0,0,-0.0375505527973092,0,0.00297590382339353,-8.67361737988404e-19,0,-0.00486957659949477,-0.01921569689304,0.048278506426572,0.0441443017044424,-0.00433647336330234,0,0,0.022094681867652,0,0,0.0197786011558227
SPX.Index,0,0,0,0,0.0434528785947486,-6.93889390390723e-18,0,0,0,0.0242886287204385,0.0216905737341366,0,0,-0.0760605712857128,0.012953961835497,0,-0.0215395155772843,0,0,-0.0332075687158822
VIX.Index,0,-0.780126442635102,0.573224210314415,0.751030246208792,-0.781671525161943,0.0885268216462795,0.0704339020976555,-0.694336269017114,-0.0801949557135415,0.336995934450368,0.621830608974159,-0.652598156365598,0,0.116107182067972,0,0,-0.395357033035333,0,-4.76659202942962,0
