,BTC,ETH,XRP,BCH,LTC,EOS,ADA,XLM,NEO,MIOTA,XMR,TRX,DASH,XEM,BNB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.462783459054348,-0.139193808662439,0.043647428254899,0,0.0465966939878438,0.0250297209166744,0,0.0655812549486693,-0.0351795393112077,0.375354243386835,-0.0654883510134834,0.035288987550055,0,-0.0703129570404726,0,0,0
ETH,0,0,0,0.277978964250474,0.38778489428031,0.0202165683868521,0.131482861478598,-0.0554169600780043,0,-0.00903524738090391,0,-0.11113264109709,0,0.0413279184845466,0.182123543901406,0,0,0,0,0
XRP,0,0,0,0,-4.33680868994202e-19,0.108694946224935,0,0.139462506124868,0.763421777143658,-0.0821643019139771,0,-0.061169337309039,0,0.0733658221836894,0.00508108961264518,0,-0.574333735307159,0,0,-0.197357800701345
BCH,0.365310359613797,0.451863068293541,0.135518072391827,0,0.127974891464161,0,0,0.0436727697183362,0,0,0,0.0339315194173864,0,0.0625309660552844,0.0490523778722618,0,0,0,0,0
LTC,0,0.65163815685254,0,0,0,0.0468295797692753,-0.0260886574195864,0,0.000813038787087844,0.13342543240825,-0.0271063341628776,-0.0170874139332898,0.425018484530684,0,0,0,0,0,0.956005105191174,0.0653472278865604
EOS,0,0,0.152142094479849,0,0,0,0.279819004238136,-0.67166652888957,0,0,0.984651824395813,-0.028438965677316,0,0,0,0,0,0,0,-0.0765154638607577
ADA,0.576186676683858,0,0,0,0,0.469686850435208,0,0.310882945622678,0.586967213595073,0,-0.862491854929032,-0.109220556760812,0,0.220403513916134,-0.198303258573413,0,0,0,-0.537297002357519,0
XLM,0.353007985685914,0,0,-3.46944695195361e-18,-0.25450922056746,-0.0706163350581983,0.216249146069897,0,0,0.913259534919625,-1.38777878078145e-17,0.0272528901918071,0,-1.38777878078145e-17,0.137719005025281,0,0,0,0,-0.0947679153866031
NEO,0,0,0.0254047575996645,0,0,0.187875856076426,0,0.237466583201896,0,0.316725017073416,0.266005330656469,0,0,0.0994207667321567,-0.0967053067011506,0,0,0,0,0.0735920247775866
MIOTA,0,0,0,0.745040712480228,-0.296741547769086,0,0,-0.0190900112498022,0.395741567212196,0,0,0.0477140210581952,0,0.0938275104554304,0,0,0,0,0,0.0909806339874225
XMR,0,0,0,0.039073225725204,0.406612753317422,0.00728521488725432,0,0,0.154911662565476,0,0,0.132292165828348,0,0,0.000223678958361589,0,0,0,0,0.0376279285488514
TRX,0,-1.14261984984202,-1.00844130285804,1.32378298521782,0,0.808528060681862,-0.524713119136696,0,0,1.84196584927254,-0.906602246902793,0,0,0.257581729473123,0.30800575590815,0,0,0,0,0.057503617538631
DASH,0,0,0.164539993864109,0,0.161016818481775,0,0.108745952862103,0.0564737021190416,0,0.0592342742706439,0,0,0,0,0.0430283201353702,0,0,0,0,0.255538059798386
XEM,-0.228215686080877,0.520217321392371,0.23408957438898,0,0,-0.301836702458463,0.339325781005689,0.15539985696045,0.172677510977936,0,0,0.169162259015602,0,0,-0.0419452901872062,0,0,0,0,-0.0669536545800569
BNB,0,0.628473126079134,0,0,0,-0.0870764533278176,0,0,0,0,0.0410869952567714,0.13630968010656,0,0.0738160730308697,0,0,0,0,0,-0.000564540489631716
BV010082.Index,0,0,0.0410259546879207,0,0,0,0.0408921873657715,0.053427508741813,0,0,0,-0.00867253421805418,0.0716178599070167,-0.249072265319158,0,0,0,0,0,-0.0590997509942536
CVIX.Index,-0.177442052421389,-0.353635903294854,0,-0.0688870523193498,0.161119392611479,0,0.0863616086590213,0.0253424866618313,0,8.67361737988404e-19,0.104470699032128,-0.00697145808995613,0.0273846992573602,0.0352848752019297,0.0703337145055783,0.181482128799243,0,0,0,0.0436268619681969
DXY.Curncy,0,0,0,-0.0843225025385511,0.0433286287975467,0.0172086877254447,0,-0.0105072948470972,0,0,0,-0.00800271364196059,0.0647234940933393,-0.0102132510653167,0,0.07387085945253,0,0,0,-0.00370667826089003
SPX.Index,0,-0.127876074747107,-0.040603565945963,0.0719015189788973,0.0970936965339304,0.0168196684848612,-0.0229221846903644,0.0221615906330618,0,-0.0164736143406129,0,9.85794472900051e-05,0,0.0220706455831483,-0.0382480227852693,0.23856297845389,0,0,0,-0.132263135643608
VIX.Index,0,0,0,0.0447914131700321,0,-0.138612058060716,0,0,0,-0.342594728069682,0.103551083978834,0.0600384071855644,0.923757426230246,0.0390208008099616,-0.444210437964291,0,0,0,-4.64873110316141,0
